JLPT,Word,Reading,Meaning,Word Type,Example Sentence JP,Example Sentence EN,breakdown
N5,ちゃいけない・じゃいけない,ちゃいけない / じゃいけない,must not do (in spoken Japanese),Expression,ここで走ってはいけない。,You must not run here.,"{""vocabulary"": [{""word"": ""ここ"", ""reading"": ""ここ"", ""meaning"": ""here"", ""role"": ""Adverb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""で"", ""reading"": ""で"", ""meaning"": ""at / in"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""走って"", ""reading"": ""はしって"", ""meaning"": ""running"", ""role"": ""Verb, gerund form"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""はいけない"", ""reading"": ""はいけない"", ""meaning"": ""must not"", ""role"": ""Verb phrase, negative potential form"", ""components"": [{""part"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""contribution"": ""Particle""}, {""part"": ""いけない"", ""reading"": ""いけない"", ""meaning"": ""must not go"", ""contribution"": ""Verb, negative potential form""}, {""part"": ""行く"", ""reading"": ""いく"", ""meaning"": ""to go"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence conveys a rule or prohibition, stating that running is not allowed in a particular place. It is often used in signs or instructions to ensure safety."", ""steps"": [""**ここ** - Indicates the location where the action is being discussed (here)."", ""**で** - Marks the location where the action takes place."", ""**走って** - The gerund form of the verb “走る” (to run), indicating the action of running."", ""**はいけない** - This phrase indicates prohibition, meaning “must not go” or “is not allowed.”""], ""sentence_pattern"": ""- [Location] + [で] + [Verb (gerund)] + [はいけない]\n- **Kanji**: 公園で走ってはいけない。\n- **Hiragana**: こうえんではしってはいけない。\n- **English Translation**: You must not run in the park."", ""sentence_pattern_kanji"": ""公園で走ってはいけない。"", ""sentence_pattern_hiragana"": ""こうえんではしってはいけない。"", ""sentence_pattern_english"": ""You must not run in the park."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that “はいけない” is a way to express prohibition. It’s a useful phrase to know when discussing rules or restrictions."", ""common_mistake"": ""Beginners might confuse the use of で with other location markers like に or へ. Remember that で indicates the location where an action occurs, while に indicates a destination and へ indicates direction."", ""alternative_expression"": {""kanji"": ""ここで走ることは禁止です。"", ""hiragana"": ""ここではしることはきんしです。"", ""english"": ""Running here is prohibited.""}, ""new_words_in_alternative"": [{""word"": ""禁止"", ""reading"": ""きんし"", ""meaning"": ""prohibition"", ""description"": ""Noun""}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Polite ending particle]"", ""description"": ""Copula""}]}}"
N5,だ・です,だ / です,"to be (am, is, are)",Auxiliary verb (Copula),彼は学生です。,He is a student.,"{""vocabulary"": [{""word"": ""彼"", ""reading"": ""かれ"", ""meaning"": ""he"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""学生"", ""reading"": ""がくせい"", ""meaning"": ""student"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence states that the subject, a male person referred to as \""he,\"" is identified as a student. It provides a simple assertion about his status or role."", ""steps"": [""**彼** - Refers to the male subject of the sentence, meaning \""he.\"""", ""**は** - Marks “彼” as the topic of the sentence, indicating what the sentence is about."", ""**学生** - Indicates the role or status of the subject, meaning \""student.\"""", ""**です** - A polite ending that functions as the copula, linking the subject to the predicate.""], ""sentence_pattern"": ""- [Topic] + [は] + [Noun] + [です]\n- **Kanji**: 彼は先生です。\n- **Hiragana**: かれはせんせいです。\n- **English Translation**: He is a teacher."", ""sentence_pattern_kanji"": ""彼は先生です。"", ""sentence_pattern_hiragana"": ""かれはせんせいです。"", ""sentence_pattern_english"": ""He is a teacher."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は indicates the topic of the sentence, which is often the subject but can also be used for other contexts. It helps to focus on what the sentence is about."", ""common_mistake"": ""Beginners often confuse は with が. While は marks the topic, が is used to mark the subject of a sentence, especially when introducing new information."", ""alternative_expression"": {""kanji"": ""彼は学び手です。"", ""hiragana"": ""かれはまなびてです。"", ""english"": ""He is a learner.""}, ""new_words_in_alternative"": [{""word"": ""学び手"", ""reading"": ""まなびて"", ""meaning"": ""learner"", ""description"": ""Noun""}]}}"
N5,だろう,だろう,I think; it seems; probably; right?,Auxiliary verb,明日は雨が降るだろう。,It will probably rain tomorrow.,"{""vocabulary"": [{""word"": ""明日"", ""reading"": ""あした"", ""meaning"": ""tomorrow"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""雨"", ""reading"": ""あめ"", ""meaning"": ""rain"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": "" **降る (ふる)**: “to fall” (in this context, referring to rain) - [Verb, dictionary form]""}, {""word"": ""だろう"", ""reading"": ""だろう"", ""meaning"": ""probably"", ""role"": ""Verb, conjectural form"", ""components"": [{""part"": ""だ"", ""reading"": ""だ"", ""meaning"": ""is"", ""contribution"": ""Copula""}, {""part"": ""ろう"", ""reading"": ""ろう"", ""meaning"": ""probably"", ""contribution"": ""Conjectural suffix""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses a prediction about the weather, specifically that rain is expected to fall the next day. It conveys uncertainty but suggests a high likelihood of rain."", ""steps"": [""**明日** - Refers to the time frame, meaning “tomorrow.”"", ""**は** - Marks “明日” as the topic of the sentence."", ""**雨** - Indicates the subject of the action, which is “rain.”"", ""**が** - Marks “雨” as the subject of the verb."", ""**降る** - The dictionary form of the verb meaning “to fall,” used here to describe rain falling."", ""**だろう** - Indicates conjecture or probability, suggesting that the speaker believes it is likely to rain.""], ""sentence_pattern"": ""- [Time] + [は] + [Subject] + [が] + [Verb] + [Conjectural form]\n- **Kanji**: 明日は雪が降るだろう。\n- **Hiragana**: あしたはゆきがふるだろう。\n- **English Translation**: It will probably snow tomorrow."", ""sentence_pattern_kanji"": ""明日は雪が降るだろう。"", ""sentence_pattern_hiragana"": ""あしたはゆきがふるだろう。"", ""sentence_pattern_english"": ""It will probably snow tomorrow."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that だろう expresses a conjecture or assumption about the future. It’s a useful way to express uncertainty while still making a prediction."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used to mark the topic (tomorrow), while が marks the subject (rain) that is performing the action of the verb."", ""alternative_expression"": {""kanji"": ""明日は雨が降るかもしれない。"", ""hiragana"": ""あしたはあめがふるかもしれない。"", ""english"": ""It might rain tomorrow.""}, ""new_words_in_alternative"": []}}"
N5,で,で,in; at; on; by; with; via,Particle,公園で遊びます。,I play in the park.,"{""vocabulary"": [{""word"": ""公園"", ""reading"": ""こうえん"", ""meaning"": ""park"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""で"", ""reading"": ""で"", ""meaning"": ""[Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""遊びます"", ""reading"": ""あそびます"", ""meaning"": ""play"", ""role"": ""Verb, polite form"", ""components"": [{""part"": ""遊ぶ"", ""reading"": ""あそぶ"", ""meaning"": ""to play"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes an action where the speaker engages in playing at a specific location, which is the park. It conveys a simple activity in a polite manner."", ""steps"": [""**公園** - Refers to the location where the action takes place, meaning \""park.\"""", ""**で** - Indicates the location of the action, meaning \""at\"" or \""in.\"""", ""**遊びます** - The polite form of the verb “遊ぶ,” indicating the action of playing.""], ""sentence_pattern"": ""- [Location] + [で] + [Verb (polite form)]\n- **Kanji**: 学校で勉強します。\n- **Hiragana**: がっこうでべんきょうします。\n- **English Translation**: I study at school."", ""sentence_pattern_kanji"": ""学校で勉強します。"", ""sentence_pattern_hiragana"": ""がっこうでべんきょうします。"", ""sentence_pattern_english"": ""I study at school."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that で indicates the location where the action occurs. It helps to visualize where you are doing the action."", ""common_mistake"": ""Beginners sometimes confuse で with に. While で marks the location of the action, に indicates direction or a destination."", ""alternative_expression"": {""kanji"": ""公園で遊ぶ。"", ""hiragana"": ""こうえんであそぶ。"", ""english"": ""I play in the park. (casual)""}, ""new_words_in_alternative"": [{""word"": ""遊ぶ"", ""reading"": ""あそぶ"", ""meaning"": ""to play"", ""description"": ""Verb""}]}}"
N5,でも,でも,but; however,Conjunction,今日は雨が降っています。でも、私は行きます。,"It is raining today. But, I will go.","{""vocabulary"": [{""word"": ""今日"", ""reading"": ""きょう"", ""meaning"": ""today"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""雨"", ""reading"": ""あめ"", ""meaning"": ""rain"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""降っています"", ""reading"": ""ふっています"", ""meaning"": ""is raining"", ""role"": ""Verb, present continuous"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""でも"", ""reading"": ""でも"", ""meaning"": ""but"", ""role"": ""Conjunction"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""私は"", ""reading"": ""わたしは"", ""meaning"": ""I (as for me)"", ""role"": ""Pronoun + Topic Marker"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""行きます"", ""reading"": ""いきます"", ""meaning"": ""will go"", ""role"": ""Verb, polite present/future tense"", ""components"": [{""part"": ""行く"", ""reading"": ""いく"", ""meaning"": ""to go"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence conveys that it is currently raining, but the speaker intends to go out regardless of the weather. It contrasts the situation of rain with the speaker's determination to go."", ""steps"": [""**今日** - Refers to the current day, marking the time reference."", ""**は** - Marks “今日” as the topic of the sentence."", ""**雨** - Indicates the subject of the action (the rain)."", ""**が** - Marks “雨” as the subject of the verb."", ""**降っています** - The present continuous form of “降る,” indicating that the action of raining is ongoing."", ""**でも** - Introduces a contrast, meaning “but.”"", ""**私は** - Refers to the speaker, marking them as the topic of the second clause."", ""**行きます** - The polite present/future tense of “行く,” indicating the speaker's intention to go.""], ""sentence_pattern"": ""- [Topic] + [は] + [Subject] + [が] + [Verb (present continuous)] + [Conjunction] + [Topic] + [は] + [Verb (polite present/future)]\n- **Kanji**: 今日は雨が降っています。でも、私は行きます。\n- **Hiragana**: きょうはあめがふっています。でも、わたしはいきます。\n- **English Translation**: It is raining today. But, I will go."", ""sentence_pattern_kanji"": ""今日は雨が降っています。でも、私は行きます。"", ""sentence_pattern_hiragana"": ""きょうはあめがふっています。でも、わたしはいきます。"", ""sentence_pattern_english"": ""It is raining today. But, I will go."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while が marks the subject of the verb. This distinction helps clarify who or what is being discussed versus what is performing the action."", ""common_mistake"": ""Beginners might confuse the use of でも with しかし (shikashi), which also means “but.” While both can be used to contrast statements, でも is more casual and commonly used in spoken Japanese."", ""alternative_expression"": {""kanji"": ""今日は雨が降っているけれど、私は行きます。"", ""hiragana"": ""きょうはあめがふっているけれど、わたしはいきます。"", ""english"": ""It is raining today, but I will go.""}, ""new_words_in_alternative"": [{""word"": ""けれど"", ""reading"": ""けれど"", ""meaning"": ""but"", ""description"": ""Conjunction""}]}}"
N5,でしょう,でしょう,I think; it seems; probably; right?,Auxiliary verb / Expression,明日は雨が降るでしょう。,It will probably rain tomorrow.,"{""vocabulary"": [{""word"": ""明日"", ""reading"": ""あした"", ""meaning"": ""tomorrow"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""雨"", ""reading"": ""あめ"", ""meaning"": ""rain"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [{""part"": ""で"", ""reading"": ""で"", ""meaning"": ""[Particle indicating means or reason]"", ""contribution"": ""Particle""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses a prediction about the weather, specifically that it is likely to rain the following day. It conveys uncertainty but leans towards a probable outcome."", ""steps"": [""**明日** - Refers to the time frame, meaning “tomorrow.”"", ""**は** - Marks “明日” as the topic of the sentence."", ""**雨** - Indicates the subject of the action, which is “rain.”"", ""**が** - Marks “雨” as the subject of the verb."", ""**降る** - The dictionary form of the verb meaning “to fall,” used here to mean “to rain.”"", ""**でしょう** - A polite way to express conjecture or probability, indicating that the speaker believes it will rain.""], ""sentence_pattern"": ""- [Time] + [は] + [Subject] + [が] + [Verb] + [でしょう]\n- **Kanji**: 明日は雪が降るでしょう。\n- **Hiragana**: あしたはゆきがふるでしょう。\n- **English Translation**: It will probably snow tomorrow."", ""sentence_pattern_kanji"": ""明日は雪が降るでしょう。"", ""sentence_pattern_hiragana"": ""あしたはゆきがふるでしょう。"", ""sentence_pattern_english"": ""It will probably snow tomorrow."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that でしょう is used to express probability or conjecture. It’s a useful way to soften statements and indicate uncertainty."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は marks the topic (tomorrow), while が marks the subject (rain) of the verb."", ""alternative_expression"": {""kanji"": ""明日は雨が降るかもしれません。"", ""hiragana"": ""あしたはあめがふるかもしれません。"", ""english"": ""It might rain tomorrow.""}, ""new_words_in_alternative"": []}}"
N5,が,が,subject marker; but,Particle,猫が好きです。,I like cats.,"{""vocabulary"": [{""word"": ""猫"", ""reading"": ""ねこ"", ""meaning"": ""cat"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""好き"", ""reading"": ""すき"", ""meaning"": ""like"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Polite ending particle]"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's fondness for cats. It is a simple statement indicating a preference or liking."", ""steps"": [""**猫** - Refers to the subject of the sentence, which is \""cats.\"""", ""**が** - Marks “猫” as the subject of the sentence."", ""**好き** - An adjective that expresses liking or fondness."", ""**です** - A polite ending that makes the sentence more formal.""], ""sentence_pattern"": ""- [Subject] + [が] + [Adjective] + [です]\n- **Kanji**: 彼は犬が好きです。\n- **Hiragana**: かれはいぬがすきです。\n- **English Translation**: He likes dogs."", ""sentence_pattern_kanji"": ""彼は犬が好きです。"", ""sentence_pattern_hiragana"": ""かれはいぬがすきです。"", ""sentence_pattern_english"": ""He likes dogs."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the structure \""Xが好きです\"" is a common way to express likes in Japanese. Just replace \""X\"" with whatever you like."", ""common_mistake"": ""Beginners often confuse the subject marker が with the topic marker は. In this case, が is used to emphasize the subject (cats) that the speaker likes."", ""alternative_expression"": {""kanji"": ""猫が大好きです。"", ""hiragana"": ""ねこがだいすきです。"", ""english"": ""I really like cats.""}, ""new_words_in_alternative"": []}}"
N5,があります,があります,there is; there are (for non-living things),Expression,公園に木があります。,There is a tree in the park.,"{""vocabulary"": [{""word"": ""公園"", ""reading"": ""こうえん"", ""meaning"": ""park"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""木"", ""reading"": ""き"", ""meaning"": ""tree"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""あります"", ""reading"": ""あります"", ""meaning"": ""there is"", ""role"": ""Verb, non-past form"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the presence of a tree located within a park. It conveys a simple fact about the existence of an object in a specific place."", ""steps"": [""**公園** - Refers to the location, the park."", ""**に** - Indicates the location where something exists."", ""**木** - Refers to the subject of the sentence, the tree."", ""**が** - Marks “木” as the subject of the sentence."", ""**あります** - The polite form of the verb “ある,” indicating that the tree exists in the park.""], ""sentence_pattern"": ""- [Location] + [に] + [Subject] + [が] + [Verb (non-past)]\n- **Kanji**: 学校に本があります。\n- **Hiragana**: がっこうにほんがあります。\n- **English Translation**: There is a book in the school."", ""sentence_pattern_kanji"": ""学校に本があります。"", ""sentence_pattern_hiragana"": ""がっこうにほんがあります。"", ""sentence_pattern_english"": ""There is a book in the school."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that に indicates the location where something exists, while が marks the subject of the sentence. This structure helps you clearly express where things are."", ""common_mistake"": ""Beginners often confuse に with で. Remember that に is used for indicating existence or direction, while で is used to indicate the location of an action."", ""alternative_expression"": {""kanji"": ""公園に木がある。"", ""hiragana"": ""こうえんにきがある。"", ""english"": ""There is a tree in the park.""}, ""new_words_in_alternative"": []}}"
N5,がほしい,がほしい,to want something,Expression,私はりんごがほしいです。,I want an apple.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""りんご"", ""reading"": ""りんご"", ""meaning"": ""apple"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""ほしい"", ""reading"": ""ほしい"", ""meaning"": ""want"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Polite ending particle]"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's desire to have an apple. It clearly states who wants the apple and emphasizes the wish in a polite manner."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**りんご** - The object of desire, meaning “apple.”"", ""**が** - Marks “りんご” as the subject of the desire."", ""**ほしい** - An adjective that expresses the desire for something."", ""**です** - A polite ending that adds formality to the sentence.""], ""sentence_pattern"": ""- [Topic] + [は] + [Object] + [が] + [Adjective (want)] + [です]\n- **Kanji**: 彼は本がほしいです。\n- **Hiragana**: かれはほんがほしいです。\n- **English Translation**: He wants a book."", ""sentence_pattern_kanji"": ""彼は本がほしいです。"", ""sentence_pattern_hiragana"": ""かれはほんがほしいです。"", ""sentence_pattern_english"": ""He wants a book."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while が marks the subject of the desire. This distinction helps clarify what you are talking about and what you want."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used to introduce the topic (the speaker), while が is used to indicate the subject of the desire (the apple)."", ""alternative_expression"": {""kanji"": ""私はりんごが欲しい。"", ""hiragana"": ""わたしはりんごがほしい。"", ""english"": ""I want an apple. (This is a more casual way to express the same idea without the polite ending.)""}, ""new_words_in_alternative"": [{""word"": ""欲しい"", ""reading"": ""ほしい"", ""meaning"": ""want"", ""description"": ""Adjective""}]}}"
N5,がいます,がいます,there is; to be (for living things),Expression,公園に犬がいます。,There is a dog in the park.,"{""vocabulary"": [{""word"": ""公園"", ""reading"": ""こうえん"", ""meaning"": ""park"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""in"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""犬"", ""reading"": ""いぬ"", ""meaning"": ""dog"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the presence of a dog in a specific location, which is the park. It conveys a simple observation about the existence of an animal in that place."", ""steps"": [""**公園** - Refers to the location, the park."", ""**に** - Indicates the direction or location where something exists, meaning “in.”"", ""**犬** - Refers to the subject of the sentence, the dog."", ""**が** - Marks “犬” as the subject of the sentence."", ""**います** - The polite form of the verb indicating existence for animate objects.""], ""sentence_pattern"": ""- [Location] + [に] + [Subject] + [が] + [Verb (existence)]\n- **Kanji**: 学校に学生がいます。\n- **Hiragana**: がっこうにがくせいがいます。\n- **English Translation**: There is a student in the school."", ""sentence_pattern_kanji"": ""学校に学生がいます。"", ""sentence_pattern_hiragana"": ""がっこうにがくせいがいます。"", ""sentence_pattern_english"": ""There is a student in the school."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that に indicates the location where something exists, while が marks the subject of the sentence. This structure helps clarify where and what you are talking about."", ""common_mistake"": ""Beginners often confuse います with ある, which is used for inanimate objects. Make sure to use います for living things like animals and people."", ""alternative_expression"": {""kanji"": ""公園に犬がいる。"", ""hiragana"": ""こうえんにいぬがいる。"", ""english"": ""There is a dog in the park.""}, ""new_words_in_alternative"": []}}"
