JLPT Level,Grammar,Reading,Meaning,Word Type,Example Sentence JP,Example Sentence EN
N5,ちゃいけない・じゃいけない,ちゃいけない / じゃいけない,must not do (spoken Japanese),Noun,「もう邪魔しないなら、今までのことは許してあげるよ。」「優しいんだね…」,"""If you won't bother us anymore, I'll let bygones be bygones."" ""You're quite kind..."""
N5,だ・です,だ / です,"to be (am, is, are, were, used to)",Auxiliary verb,「そろそろ、人物写真でもやってみたらどうだ？」「え？スナップ・・・ですか？それは・・・」,"""Isn't it about time you tried photographing people or something?"" ""Eh? Snapshots? I don't know ..."""
N5,だけ,だけ,only; just; as much as,Particle,私だけ？,Is it just me?
N5,だろう,だろう,I think; it seems; probably; right?,"Expressions (phrases, clauses, etc.)",馬鹿じゃないの？,Aren't you an idiot?
N5,で,で,in; at; on; by; with; via,Noun,出て！,Get out!
N5,でも,でも,but; however,Conjunction,でもなんで？,But why?
N5,でしょう,でしょう,I think; it seems; probably; right?,"Expressions (phrases, clauses, etc.)",冗談でしょう。,You must be kidding!
N5,どんな,どんな,what kind of; what sort of,Pre-noun adjectival (rentaishi),どんな方なの？,What is he like?
N5,どうして,どうして,why; for what reason; how,Adverb (fukushi),どうして？,Why?
N5,どうやって,どうやって,how; in what way; by what means,"Expressions (phrases, clauses, etc.)",どうやってやるの？,How do you do that?
N5,が,が,subject marker; however; but,Particle,違う！,No!
N5,があります,があります,there is; is (non-living things),Particle,微熱があります。,I have a slight fever.
N5,がほしい,がほしい,to want something,Particle,飴がほしい。,I want a piece of candy.
N5,がいます,がいます,there is; to be; is (living things),Particle,違います！,That is not the case.
N5,ほうがいい,ほうがいい,had better; it'd be better to; should~,"Expressions (phrases, clauses, etc.)",早い方がいい。,The earlier the better.
N5,い-adjectives,いけいようし,i-adjectives,Noun,痛！,Ouch!
N5,一番,いちばん,the most; the best,Noun,私が一番。,I'm first.
N5,一緒に,いっしょに,together,Adverb (fukushi),一緒に来るの？,Are you coming with me?
N5,いつも,いつも,always; usually; habitually,Adverb (fukushi),いつも忙しいの？,Are you always busy?
N5,じゃない・ではない,じゃない / ではない,to not be (am not; is not; are not),Conjunction,翌日、新聞社で、彼は中にダックスフントの入ったパンを描いた。ダックスフント・ソーセージではなく、犬のダックスフントの入ったものをである。,"The next day at the newspaper office he drew a bun which contained a dachshund inside - not a dachshund sausage, but a dachshund."
N5,か,か,question particle,Noun,乾杯！,Bottoms up!
N5,か〜か,か〜か,or,Noun,私、水族館初めてなんだ〜。,It's my first time coming to an aquarium.
N5,から,から,because; since; from,Particle,辛い？,Is it hot?
N5,方,かた,the way of doing something; how to do,Noun,嘘も方便。,The end justifies the means.
N5,けど,けど,but; however; although,Conjunction,やけどしたの？,Did you burn yourself?
N5,けれども,けれども,but; however; although,Conjunction,彼は若いけれども経験がある。,"He is young, but experienced."
N5,まだ,まだ,still; not yet,Adverb (fukushi),まだ寒い？,Are you still cold?
N5,まだ〜ていません,まだ〜ていません,have not yet,Adverb (fukushi),「変な日本語でごめんなさい。でも英語もできません」「ちょっと、聞いてもいい？君は日本人？」「いいえ、宇宙人です」「あ、そういうことね！僕もキツネで、まだ人間の言葉を勉強してるところだから、その気持ち分かるよ！英語、やけに難しいしね〜」,"""I am sorry for my odd Japanese. But I cannot speak English."" ""Hey, can I ask you something? Are you Japanese?"" ""No. I am an alien."" ""Ah, I gotcha! I'm a fox, and I'm still trying to learn human languages, so I get what you're going through. English is so friggin' hard, isn't it?"""
N5,まで,まで,until ~; as far as ~; to (an extent); even ~,Particle,暇ですか？,Are you free?
N5,前に,まえに,before ~; in front of ~,Adverb (fukushi),７時前にね。,See you a little before 7.
N5,ませんか,ませんか,would you; do you want to; shall we~,"Expressions (phrases, clauses, etc.)",座りませんか？,Why don't we sit?
N5,ましょう,ましょう,let's ~; shall we ~,Noun,忘れましょう！,Let's forget it!
N5,ましょうか,ましょうか,shall I ~; used to offer help to the listener,"Expressions (phrases, clauses, etc.)",踊りましょうか。,"Let's dance, shall we?"
N5,も,も,too; also; as well,Particle,萌え～,Very Moe!
N5,もう,もう,already; anymore; again; other,Adverb (fukushi),もう。,Not again.
N5,な-adjectives,なけいようし,na-adjectives,Particle,何？,What?
N5,なあ,なあ,"sentence ending particle; confirmation; admiration, etc",Particle,若いなあ。,You're young.
N5,ないで,ないで,without doing~ ; To do [B] without doing [A],Conjunction,店内で。,"For here, please."
N5,ないでください,ないでください,please don't do,Conjunction,撃たないでください！,Don't shoot!
N5,なくてもいい,なくてもいい,don't have to,"Expressions (phrases, clauses, etc.)",急がなくてもいいよ。,There's no hurry.
N5,なくちゃ,なくちゃ,must do; need to; gotta do,"Expressions (phrases, clauses, etc.)",寝なくちゃ。,I have to go to bed.
N5,なくてはいけない,なくてはいけない,must do; need to do,"Expressions (phrases, clauses, etc.)",出発しなくてはいけない。,I should head out.
N5,なくてはならない,なくてはならない,must do; need to do,"Expressions (phrases, clauses, etc.)",家を修繕しなくてはならない。,The house is in need of repair.
N5,なる,なる,to become,Godan verb with 'ru' ending,なるほど。,I understand.
N5,んです,んです,to explain something; show emphasis,"Expressions (phrases, clauses, etc.)",禁煙です！,No smoking!
N5,ね,ね,isn't it? right? eh?,Noun,やめて！,Stop it!
N5,に,に,destination particle; in; at; on; to,Numeric,何？,What?
