JLPT Level,Grammar,Reading,Meaning,Word Type,Example Sentence JP,Example Sentence EN
N5,ちゃいけない・じゃいけない,ちゃいけない / じゃいけない,must not do (spoken Japanese),Noun,ここに入っちゃいけない。,You must not enter here.
N5,だ・です,だ / です,"to be (am, is, are, were, used to)",Auxiliary verb,これはペンです。,This is a pen.
N5,だけ,だけ,only; just; as much as,Particle,私だけ？,Is it just me?
N5,だろう,だろう,I think; it seems; probably; right?,"Expressions (phrases, clauses, etc.)",明日は晴れるだろう。,It will probably be sunny tomorrow.
N5,で,で,in; at; on; by; with; via,Noun,バスで学校に行きます。,I go to school by bus.
N5,でも,でも,but; however,Conjunction,でもなんで？,But why?
N5,でしょう,でしょう,I think; it seems; probably; right?,"Expressions (phrases, clauses, etc.)",彼は学生でしょう。,He is probably a student.
N5,どんな,どんな,what kind of; what sort of,Pre-noun adjectival (rentaishi),どんな方なの？,What is he like?
N5,どうして,どうして,why; for what reason; how,Adverb (fukushi),どうして行かないの？,Why aren’t you going?
N5,どうやって,どうやって,how; in what way; by what means,"Expressions (phrases, clauses, etc.)",どうやってやるの？,How do you do that?
N5,が,が,subject marker; however; but,Particle,違う！,No!
N5,があります,があります,there is; is (non-living things),Particle,微熱があります。,I have a slight fever.
N5,がほしい,がほしい,to want something,Particle,飴がほしい。,I want a piece of candy.
N5,がいます,がいます,there is; to be; is (living things),Particle,庭に犬がいます。,There is a dog in the garden.
N5,ほうがいい,ほうがいい,had better; it'd be better to; should~,"Expressions (phrases, clauses, etc.)",早い方がいい。,The earlier the better.
N5,い-adjectives,いけいようし,i-adjectives,Noun,痛！,Ouch!
N5,一番,いちばん,the most; the best,Noun,私が一番。,I'm first.
N5,一緒に,いっしょに,together,Adverb (fukushi),一緒に来るの？,Are you coming with me?
N5,いつも,いつも,always; usually; habitually,Adverb (fukushi),いつも忙しいの？,Are you always busy?
N5,じゃない・ではない,じゃない / ではない,to not be (am not; is not; are not),Conjunction,彼は学生じゃない。,He is not a student.
N5,か,か,question particle,Noun,これは何ですか？,What is this?
N5,か〜か,か〜か,or,Noun,コーヒーかお茶がいいですか？,Would you prefer coffee or tea?
N5,から,から,because; since; from,Particle,今日は雨だから出かけません。,"It’s raining today, so I won’t go out."
N5,方,かた,the way of doing something; how to do,Noun,漢字の書き方を教えてください。,Please teach me how to write kanji.
N5,けど,けど,but; however; although,Conjunction,やけどしたの？,Did you burn yourself?
N5,けれども,けれども,but; however; although,Conjunction,彼は若いけれども経験がある。,"He is young, but experienced."
N5,まだ,まだ,still; not yet,Adverb (fukushi),まだ寒い？,Are you still cold?
N5,まだ〜ていません,まだ〜ていません,have not yet,Adverb (fukushi),私はまだ朝ごはんを食べていません。,I have not eaten breakfast yet.
N5,まで,まで,until ~; as far as ~; to (an extent); even ~,Particle,暇ですか？,Are you free?
N5,前に,まえに,before ~; in front of ~,Adverb (fukushi),７時前にね。,See you a little before 7.
N5,ませんか,ませんか,would you; do you want to; shall we~,"Expressions (phrases, clauses, etc.)",座りませんか？,Why don't we sit?
N5,ましょう,ましょう,let's ~; shall we ~,Noun,忘れましょう！,Let's forget it!
N5,ましょうか,ましょうか,shall I ~; used to offer help to the listener,"Expressions (phrases, clauses, etc.)",踊りましょうか。,"Let's dance, shall we?"
N5,も,も,too; also; as well,Particle,私も学生です。,I am also a student.
N5,もう,もう,already; anymore; again; other,Adverb (fukushi),もう。,Not again.
N5,な-adjectives,なけいようし,na-adjectives,Particle,何？,What?
N5,なあ,なあ,"sentence ending particle; confirmation; admiration, etc",Particle,この景色はきれいだなあ。,"This scenery is beautiful, isn't it?"
N5,ないで,ないで,without doing~ ; To do [B] without doing [A],Conjunction,朝ごはんを食べないで学校に行きました。,I went to school without eating breakfast.
N5,ないでください,ないでください,please don't do,Conjunction,撃たないでください！,Don't shoot!
N5,なくてもいい,なくてもいい,don't have to,"Expressions (phrases, clauses, etc.)",急がなくてもいいよ。,There's no hurry.
N5,なくちゃ,なくちゃ,must do; need to; gotta do,"Expressions (phrases, clauses, etc.)",寝なくちゃ。,I have to go to bed.
N5,なくてはいけない,なくてはいけない,must do; need to do,"Expressions (phrases, clauses, etc.)",出発しなくてはいけない。,I should head out.
N5,なくてはならない,なくてはならない,must do; need to do,"Expressions (phrases, clauses, etc.)",家を修繕しなくてはならない。,The house is in need of repair.
N5,なる,なる,to become,Godan verb with 'ru' ending,先生になりたいです。,I want to become a teacher.
N5,んです,んです,to explain something; show emphasis,"Expressions (phrases, clauses, etc.)",禁煙です！,No smoking!
N5,ね,ね,isn't it? right? eh?,Noun,きれいな景色ですね。,"It’s a beautiful view, isn’t it?"
N5,に,に,destination particle; in; at; on; to,Numeric,学校に行きます。,I go to school.
N5,にいく,にいく,go to do,Unknown,友達と映画を見に行く。,I go to watch a movie with my friends.
N5,にする,にする,to decide on,Numeric,何するの？,What are you doing?
N5,に/へ,に / へ,to (indicates direction / destination),Numeric,再来年、国へ帰ります。,I'm returning to my home country the year after next.
N5,の,の,possessive particle,Particle,これは私の本です。,This is my book.
N5,のです,のです,to explain something; show emphasis,"Expressions (phrases, clauses, etc.)",どうして行かなかったのですか？,Why didn’t you go?
N5,のが下手,のがへた,to be bad at doing something,Particle,彼は名前を覚えるのが下手だ。,He is weak on names.
N5,のが上手,のがじょうず,to be good at,Particle,彼は歌うのが上手だ。,He is good at singing.
N5,のが好き,のがすき,to like doing something,Particle,歌うのが好きです。,I like to sing.
N5,の中で[A]が一番,のなかで[A]がいちばん,"out of this group, [A] is best",Particle,果物の中でリンゴが一番好きです。,"Out of all the fruits, I like apples the most."
N5,ので,ので,because of; given that; since,Particle,疲れたので休みます。,"I’m tired, so I’ll take a break."
N5,を,を,object marker particle,Particle,恥ずかしいよ！,That's embarrassing!
N5,をください,をください,please give me~,Particle,水をください。,"Can I have some water, please?"
N5,しかし,しかし,but; however,Conjunction,しかし、なぜ？,But why?
N5,すぎる,すぎる,too much,Ichidan verb,この本は難しすぎる。,This book is too difficult.
N5,たことがある,たことがある,to have done something before,Noun,僕を見たことがある？,Have you seen me before?
N5,たい,たい,want to do something,Noun,絶対！,Absolutely!
N5,たり〜たり,たり〜たり,do such things as A and B,Particle,休みの日は本を読んだり、音楽を聞いたりします。,"On my days off, I do things like read books and listen to music."
N5,てある,てある,is/has been done (resulting state),Wikipedia definition,予約してある。,I have a reservation.
N5,ている,ている,ongoing action or current state,Noun,馬鹿げている！,Nonsense!
N5,てから,てから,after doing~,Noun,食べてから寝たよ。,"After we ate, we went to sleep."
N5,てください,てください,please do,Noun,入ってください！,Come in.
N5,てはいけない,てはいけない,must not; may not; cannot,Noun,笑わないでください。,Don't laugh.
N5,てもいいです,てもいいです,is OK to..; is alright to..; may I..?,Noun,寝てもいいですか。,May I go to bed?
N5,と,と,and; with; as; connecting particle,Noun,本当？,Are you sure?
N5,とき,とき,when; at this time,Noun,時は金なり。,Time is money.
N5,とても,とても,very; awfully; exceedingly,Adverb (fukushi),とても高い。,It's very high.
N5,つもり,つもり,plan to ~; intend to ~,Noun,何するつもり？,What do you intend to do?
N5,は,は,topic marker,Particle,早く！,Hurry up.
N5,は〜より・・・です,は〜より・・・です,[A] is more ~ than [B],Particle,犬は猫より大きいです。,Dogs are bigger than cats.
N5,はどうですか,はどうですか,how about; how is,Particle,この映画はどうですか。,How about this movie?
N5,や,や,and; or; connecting particle,Noun,嫌だ！,No!
N5,よ,よ,you know; emphasis (ending particle),Noun,これは本当によ！,"This is true, you know!"
N5,より〜ほうが,より〜ほうが,[A] is more than [B],Particle,海より山のほうが好きです。,I like mountains more than the sea.
