JLPT Level,Grammar,Reading,Meaning,Word Type,Example Sentence JP,Example Sentence EN,breakdown
N5,ちゃいけない・じゃいけない,ちゃいけない / じゃいけない,must not do (spoken Japanese),Expression (Grammar),ここに入っちゃいけない。,You must not enter here.,"{""vocabulary"": [{""word"": ""ここ"", ""reading"": ""ここ"", ""meaning"": ""here"", ""role"": ""Noun""}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""to\"" or \""at"", ""role"": ""Particle""}, {""word"": ""入っちゃいけない"", ""reading"": ""はいっちゃいけない"", ""meaning"": ""must not enter"", ""role"": ""Verb phrase""}, {""word"": ""入る"", ""reading"": ""はいる"", ""meaning"": ""to enter"", ""role"": ""Verb""}], ""grammar"": {""context"": ""The sentence expresses a prohibition, indicating that entering the specified location (ここ) is not allowed."", ""steps"": [""**Steps**:"", ""**ここ (ここ)**: This is the location being referred to, meaning \""here.\"""", ""**に (に)**: This particle indicates the direction or target of the action, which in this case is \""here.\"""", ""**入っちゃいけない (はいっちゃいけない)**: This is a negative form of the verb \""to enter.\"""", ""**入る (はいる)** is the base verb meaning \""to enter.\"""", ""The addition of **ちゃいけない** (from **てはいけない**) transforms it into a prohibition, meaning \""must not enter.\""""], ""contribution to meaning"": [""**ここ** establishes the location."", ""**に** indicates that the action of entering is directed towards this location."", ""**入っちゃいけない** conveys the prohibition, making it clear that entering this location is not allowed.""]}, ""tips"": [[""Tip"", ""To remember the negative form \""ちゃいけない,\"" think of it as a way to express rules or restrictions. Associating it with \""you cannot\"" can help solidify its meaning.""], [""Common Mistake"", ""A frequent error is confusing the negative form with the affirmative. Beginners might say \""入ってもいい\"" (you may enter) instead of \""入っちゃいけない.\"" To avoid this, practice forming both affirmative and negative sentences with the same verb to reinforce the differences.""]]}"
N5,だ・です,だ / です,"to be (am, is, are, were, used to)",Auxiliary verb (Copula),これはペンです。,This is a pen.,"{""vocabulary"": [{""word"": ""これ"", ""reading"": ""kore"", ""meaning"": ""This"", ""role"": ""Demonstrative pronoun""}, {""word"": ""ペン"", ""reading"": ""pen"", ""meaning"": ""pen"", ""role"": ""Noun""}], ""grammar"": {""context"": ""The sentence \""これはペンです。\"" translates to \""This is a pen.\"" It is a simple statement identifying an object (a pen) using a demonstrative pronoun (this)."", ""steps"": [""**Steps**:"", ""**これ (kore)**: This word indicates the object being referred to, which is close to the speaker."", ""**は (wa)**: This particle marks the topic of the sentence, indicating that what follows is about \""this.\"""", ""**ペン (pen)**: This is the noun that identifies what \""this\"" is."", ""**です (desu)**: This is a polite ending that functions as a copula, linking the subject to the predicate.""], ""contribution to meaning"": [""**これ (kore)** establishes what is being talked about."", ""**は (wa)** indicates that the sentence is about \""this,\"" making it clear that \""this\"" is the topic."", ""**ペン (pen)** specifies what \""this\"" refers to, providing the essential information."", ""**です (desu)** adds politeness to the statement, making it suitable for formal or polite contexts.""]}, ""tips"": [[""Tip"", ""Remember that \""は\"" (wa) is used to mark the topic of the sentence, not the subject. This can be confusing, but think of it as what you are talking about rather than who is doing the action.""], [""Common Mistake"", ""A common mistake is to confuse \""これ\"" (kore) with \""それ\"" (sore) or \""あれ\"" (are). \""これ\"" refers to something close to the speaker, \""それ\"" refers to something close to the listener, and \""あれ\"" refers to something far from both. To avoid this, practice using these words in context to reinforce their meanings.""]]}"
N5,だけ,だけ,only; just; as much as,Particle,私だけ？,Is it just me?,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun""}], ""grammar"": {""context"": ""The sentence \""私だけ？\"" translates to \""Is it just me?\"" and is used to express surprise or confusion about being the only one in a situation."", ""steps"": [""**Steps**:"", ""**私 (わたし)**: This is the first-person pronoun meaning \""I.\"" It indicates the speaker."", ""**だけ**: This particle means \""only\"" or \""just.\"" It emphasizes exclusivity, suggesting that the speaker is questioning whether they are the sole individual in a particular context."", ""**？**: The question mark indicates that the sentence is a question, prompting a response or clarification.""], ""contribution to meaning"": [""The use of **私** establishes the subject of the sentence as the speaker."", ""The particle **だけ** modifies the subject to imply that the speaker is inquiring if they are the only one involved in whatever situation is being discussed."", ""The question mark **？** signals that the speaker is seeking confirmation or clarification, enhancing the overall meaning of surprise or uncertainty.""]}, ""tips"": [[""Tip"", ""To remember the use of **だけ**, think of it as a spotlight that shines only on the subject it modifies, highlighting exclusivity.""], [""Common Mistake"", ""A common mistake is to confuse **だけ** with **しか**. While both can imply \""only,\"" **しか** is used with a negative verb to indicate that something is the only option available (e.g., 私しか行けない - \""Only I can go\""). To avoid this mistake, remember that **だけ** can be used with affirmative sentences, while **しか** is used with negatives.""]]}"
N5,だろう,だろう,I think; it seems; probably; right?,Auxiliary verb / Expression,明日は晴れるだろう。,It will probably be sunny tomorrow.,"{""vocabulary"": [{""word"": ""明日"", ""reading"": ""あした"", ""meaning"": ""Tomorrow"", ""role"": ""Noun""}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""Topic marker"", ""role"": ""Particle""}, {""word"": ""晴れる"", ""reading"": ""はれる"", ""meaning"": ""To be sunny"", ""role"": ""Verb, dictionary form""}, {""word"": ""だろう"", ""reading"": ""だろう"", ""meaning"": ""Probably\"" or \""I suppose"", ""role"": ""Auxiliary verb, conjectural form""}], ""grammar"": {""context"": ""The sentence expresses a prediction about the weather, indicating that it is likely to be sunny the following day."", ""steps"": [""**Steps**:"", ""**明日 (あした)**: This is the subject of the sentence, indicating the time frame (tomorrow)."", ""**は (は)**: This particle marks \""明日\"" as the topic of the sentence, emphasizing that the statement is about tomorrow."", ""**晴れる (はれる)**: This is the main verb in its dictionary form, meaning \""to be sunny.\"" It describes the expected weather condition."", ""**だろう (だろう)**: This auxiliary verb is used to express conjecture or probability, suggesting that the speaker believes it will likely be sunny.""], ""contribution to meaning"": [""The combination of these elements conveys a prediction about the weather, with \""明日\"" setting the time, \""は\"" marking it as the topic, \""晴れる\"" providing the action (being sunny), and \""だろう\"" indicating that this is a probable outcome rather than a certainty.""]}, ""tips"": [[""Tip"", ""To remember the use of \""だろう,\"" think of it as a way to soften statements, making them less assertive. It’s similar to saying \""I think\"" or \""probably\"" in English.""], [""Common Mistake"", ""A common mistake is to confuse \""だろう\"" with \""です\"" (desu). While \""です\"" is used for definitive statements, \""だろう\"" is used for conjecture. To avoid this, remember that \""だろう\"" implies uncertainty or probability, while \""です\"" indicates certainty.""]]}"
N5,で,で,in; at; on; by; with; via,Particle,バスで学校に行きます。,I go to school by bus.,"{""vocabulary"": [{""word"": ""バス"", ""reading"": ""ばす"", ""meaning"": ""bus"", ""role"": ""Noun""}, {""word"": ""で"", ""reading"": ""で"", ""meaning"": ""by\"" or \""with"", ""role"": ""Particle""}, {""word"": ""学校"", ""reading"": ""がっこう"", ""meaning"": ""school"", ""role"": ""Noun""}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""to"", ""role"": ""Particle""}, {""word"": ""行きます"", ""reading"": ""いきます"", ""meaning"": ""go"", ""role"": ""Verb, polite form""}], ""grammar"": {""context"": ""The sentence expresses the action of going to school using a bus as the mode of transportation."", ""steps"": [""**Steps**:"", ""**バスで**: This phrase indicates the means of transportation. The particle で is used to denote the method or means by which an action is performed."", ""**学校に**: Here, 学校 (school) is the destination, and the particle に indicates the direction or target of the action."", ""**行きます**: This is the polite form of the verb 行く (いく), which means \""to go.\"" It indicates the action being taken.""], ""contribution to meaning"": [""**バスで**: Specifies that the bus is the mode of transport, which is crucial for understanding how the action is performed."", ""**学校に**: Indicates where the subject is going, providing clarity on the destination."", ""**行きます**: Conveys the action of going in a polite manner, making the sentence appropriate for various contexts.""]}, ""tips"": [[""Tip"", ""To remember the use of で for means of transportation, think of it as \""by\"" in English. Just like you say \""by bus,\"" you can use バスで in Japanese.""], [""Common Mistake"", ""A frequent error is confusing the particles で and に. Remember that で is used for the means of doing something (like transportation), while に is used to indicate the destination. To avoid this, practice using both particles in different contexts to solidify their functions.""]]}"
N5,でも,でも,but; however,Conjunction,でもなんで？,But why?,"{""vocabulary"": [{""word"": ""でも"", ""reading"": ""demo"", ""meaning"": ""But"", ""role"": ""Conjunction""}, {""word"": ""なんで"", ""reading"": ""nande"", ""meaning"": ""Why"", ""role"": ""Interrogative phrase""}], ""grammar"": {""context"": ""The sentence \""でもなんで？\"" translates to \""But why?\"" and is typically used to express confusion or to question a statement that has been made, often in a conversational context."", ""steps"": [""**Steps**:"", ""**でも (demo)**: This is a conjunction used to contrast or introduce an opposing idea. It can be translated as \""but\"" in English."", ""**なんで (nande)**: This is an informal way to ask \""why.\"" It is derived from the more formal \""なぜ (naze)\"" but is commonly used in casual conversation.""], ""contribution to meaning"": [""The use of **でも (demo)** indicates that the speaker is responding to something previously stated, suggesting that they find the previous statement surprising or contradictory."", ""The word **なんで (nande)** directly asks for the reason behind the statement or situation, making the sentence a question.""]}, ""tips"": [[""Tip"", ""To remember the use of **でも (demo)**, think of it as a way to introduce a contrasting thought, similar to how you might say \""however\"" or \""on the other hand\"" in English.""], [""Common Mistake"", ""A common mistake is using **なんで (nande)** in overly formal situations. In formal contexts, it's better to use **なぜ (naze)** instead. To avoid this, pay attention to the level of formality in the conversation and choose your words accordingly.""]]}"
N5,でしょう,でしょう,I think; it seems; probably; right?,Auxiliary verb / Expression,彼は学生でしょう。,He is probably a student.,"{""vocabulary"": [{""word"": ""彼"", ""reading"": ""かれ"", ""meaning"": ""He"", ""role"": ""Pronoun""}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""Topic marker"", ""role"": ""Particle""}, {""word"": ""学生"", ""reading"": ""がくせい"", ""meaning"": ""Student"", ""role"": ""Noun""}, {""word"": ""でしょう"", ""reading"": ""でしょう"", ""meaning"": ""Probably\"" or \""I suppose"", ""role"": ""Sentence-ending expression""}], ""grammar"": {""context"": ""The sentence expresses a supposition about someone's status, indicating that the speaker believes that \""he\"" is likely a student."", ""steps"": [""**Steps**:"", ""**彼 (かれ)**: The subject of the sentence, referring to \""he.\"""", ""**は (は)**: This particle marks \""彼\"" as the topic of the sentence, indicating that the following information pertains to him."", ""**学生 (がくせい)**: This noun describes the topic, stating what he is (a student)."", ""**でしょう (でしょう)**: This expression adds a nuance of uncertainty or probability, suggesting that the speaker is not completely sure but believes it to be true.""], ""contribution to meaning"": [""The use of **は** indicates that the sentence is about \""he,\"" focusing the listener's attention on him."", ""**学生** provides the essential information about the topic, identifying his role or status."", ""**でしょう** softens the statement, making it less definitive and more speculative, which is crucial for conveying the idea of probability.""]}, ""tips"": [[""Tip"", ""To remember the use of **でしょう**, think of it as a way to express uncertainty or a polite assumption. It’s similar to saying \""I think\"" or \""probably\"" in English.""], [""Common Mistake"", ""A frequent error is omitting **は** and saying \""彼学生でしょう\"" instead of \""彼は学生でしょう.\"" This omission can lead to confusion about the topic of the sentence. Always remember to use the topic marker **は** to clarify what you are talking about.""]]}"
N5,どんな,どんな,what kind of; what sort of,Pre-noun adjectival (連体詞),どんな方なの？,What is he like?,"{""vocabulary"": [{""word"": ""どんな"", ""reading"": ""donna"", ""meaning"": ""What kind of"", ""role"": ""Adjective/Interrogative""}, {""word"": ""なの"", ""reading"": ""nano"", ""meaning"": ""Is it?"", ""role"": ""Sentence-ending particle, informal""}], ""grammar"": {""context"": ""The sentence is asking about the characteristics or qualities of a person in a polite manner. It is often used when inquiring about someone’s personality or demeanor."", ""steps"": [""**Steps**:"", ""**どんな**: This interrogative adjective is used to ask about the type or kind of something. In this case, it is asking about the kind of person."", ""**方**: This noun refers to a person, and using 方 (kata) instead of 人 (hito) adds a level of politeness to the question."", ""**なの**: This is a colloquial way to end a question, combining the explanatory particle だ (da) with the informal question marker の (no). It softens the question and makes it more conversational.""], ""contribution to meaning"": [""**どんな** sets the context of the inquiry, indicating that the speaker is interested in the qualities or characteristics of the person."", ""**方** provides the subject of the inquiry, emphasizing politeness."", ""**なの** turns the statement into a question, inviting a response about the person's traits.""]}, ""tips"": [[""Tip"", ""To remember the use of どんな, think of it as a way to ask for descriptions. It’s similar to asking \""What kind of...\"" in English, which can help you recall its function in questions.""], [""Common Mistake"", ""A common mistake is using 人 (hito) instead of 方 (kata) when asking about a person. While 人 is correct, it is less polite. To avoid this, remember that 方 is a more respectful way to refer to someone, especially in formal or polite contexts.""]]}"
N5,どうして,どうして,why; for what reason; how,Adverb (fukushi),どうして行かないの？,Why aren’t you going?,"{""vocabulary"": [{""word"": ""どうして"", ""reading"": ""dōshite"", ""meaning"": ""Why"", ""role"": ""Interrogative adverb""}, {""word"": ""行かない"", ""reading"": ""ikanai"", ""meaning"": ""Not going"", ""role"": ""Negative form of the verb 行く (iku), meaning \""to go\""""}, {""word"": ""の"", ""reading"": ""no"", ""meaning"": ""?"", ""role"": ""Sentence-ending particle used to seek explanation or confirmation""}], ""grammar"": {""context"": ""The sentence \""どうして行かないの？\"" is asking someone why they are not going somewhere. It implies a sense of curiosity or concern about the person's decision not to go."", ""steps"": [""**Steps**:"", ""**どうして (dōshite)**: This word is used to ask for a reason or explanation. It sets the tone for the question."", ""**行かない (ikanai)**: This is the negative form of the verb 行く (iku). The suffix -ない indicates that the action of going is not happening."", ""**の (no)**: This particle at the end of the sentence softens the question and indicates that the speaker is looking for an explanation or reason.""], ""contribution to meaning"": [""**どうして** introduces the inquiry, prompting the listener to provide a reason."", ""**行かない** specifies the action in question, indicating that the person is not going."", ""**の** adds a nuance of seeking clarification, making the question feel more personal and inviting a response.""]}, ""tips"": [[""Tip"", ""To remember the structure of asking \""why\"" in Japanese, think of \""どうして\"" as a way to open a conversation about reasons. Associating it with curiosity can help reinforce its use.""], [""Common Mistake"", ""A common mistake is to confuse the negative form of verbs. Beginners might say \""行くの？\"" (iku no?) when they mean to ask why someone is not going. To avoid this, remember to use the negative form \""行かない\"" (ikanai) when the action is not occurring.""]]}"
N5,どうやって,どうやって,how; in what way; by what means,Expression / Phrase,どうやってやるの？,How do you do that?,"{""vocabulary"": [{""word"": ""どうやって"", ""reading"": ""douyatte"", ""meaning"": ""How"", ""role"": ""Adverbial phrase indicating method or way""}, {""word"": ""やる"", ""reading"": ""yaru"", ""meaning"": ""to do"", ""role"": ""Verb, dictionary form""}], ""grammar"": {""context"": ""The sentence is asking for the method or way to perform a certain action. It is an informal way of inquiring about how something is done."", ""steps"": [""**Steps**:"", ""**どうやって**: This phrase means \""how\"" and is used to ask about the method or way of doing something."", ""**やる**: This is the verb meaning \""to do.\"" It is in its dictionary form, which is commonly used in informal speech."", ""**の**: This particle is used here to turn the preceding phrase into a question. It adds a sense of inquiry to the sentence.""], ""contribution to meaning"": [""**どうやって** sets the context of the question, focusing on the method."", ""**やる** specifies the action being inquired about."", ""**の** indicates that the speaker is asking for clarification or information, making it a question.""]}, ""tips"": [[""Tip"", ""To remember the phrase \""どうやって,\"" think of it as \""how\"" combined with \""way,\"" which can help you recall that it asks for a method.""], [""Common Mistake"", ""A common mistake is to confuse \""やる\"" with more formal verbs like \""する\"" (suru), which also means \""to do.\"" To avoid this, remember that \""やる\"" is often used in casual contexts, while \""する\"" is more formal and versatile.""]]}"
