JLPT Level,Grammar,Reading,Meaning
N5,ちゃいけない・じゃいけない,ちゃいけない / じゃいけない,must not do (spoken Japanese)
N5,だ・です,だ / です,"to be (am, is, are, were, used to)"
N5,だけ,だけ,only; just; as much as
N5,だろう,だろう,I think; it seems; probably; right?
N5,で,で,in; at; on; by; with; via
N5,でも,でも,but; however
N5,でしょう,でしょう,I think; it seems; probably; right?
N5,どんな,どんな,what kind of; what sort of
N5,どうして,どうして,why; for what reason; how
N5,どうやって,どうやって,how; in what way; by what means
N5,が,が,subject marker; however; but
N5,があります,があります,there is; is (non-living things)
N5,がほしい,がほしい,to want something
N5,がいます,がいます,there is; to be; is (living things)
N5,ほうがいい,ほうがいい,had better; it'd be better to; should~
N5,い-adjectives,いけいようし,i-adjectives
N5,一番,いちばん,the most; the best
N5,一緒に,いっしょに,together
N5,いつも,いつも,always; usually; habitually
N5,じゃない・ではない,じゃない / ではない,to not be (am not; is not; are not)
N5,か,か,question particle
N5,か〜か,か〜か,or
N5,から,から,because; since; from
N5,方,かた,the way of doing something; how to do
N5,けど,けど,but; however; although
N5,けれども,けれども,but; however; although
N5,まだ,まだ,still; not yet
N5,まだ〜ていません,まだ〜ていません,have not yet
N5,まで,まで,until ~; as far as ~; to (an extent); even ~
N5,前に,まえに,before ~; in front of ~
N5,ませんか,ませんか,would you; do you want to; shall we~
N5,ましょう,ましょう,let's ~; shall we ~
N5,ましょうか,ましょうか,shall I ~; used to offer help to the listener
N5,も,も,too; also; as well
N5,もう,もう,already; anymore; again; other
N5,な-adjectives,なけいようし,na-adjectives
N5,なあ,なあ,"sentence ending particle; confirmation; admiration, etc"
N5,ないで,ないで,without doing~ ; To do [B] without doing [A]
N5,ないでください,ないでください,please don't do
N5,なくてもいい,なくてもいい,don't have to
N5,なくちゃ,なくちゃ,must do; need to; gotta do
N5,なくてはいけない,なくてはいけない,must do; need to do
N5,なくてはならない,なくてはならない,must do; need to do
N5,なる,なる,to become
N5,んです,んです,to explain something; show emphasis
N5,ね,ね,isn't it? right? eh?
N5,に,に,destination particle; in; at; on; to
N5,にいく,にいく,go to do
N5,にする,にする,to decide on
N5,に/へ,に / へ,to (indicates direction / destination)
N5,の,の,possessive particle
N5,のです,のです,to explain something; show emphasis
N5,のが下手,のがへた,to be bad at doing something
N5,のが上手,のがじょうず,to be good at
N5,のが好き,のがすき,to like doing something
N5,の中で[A]が一番,のなかで[A]がいちばん,"out of this group, [A] is best"
N5,ので,ので,because of; given that; since
N5,を,を,object marker particle
N5,をください,をください,please give me~
N5,しかし,しかし,but; however
N5,すぎる,すぎる,too much
N5,たことがある,たことがある,to have done something before
N5,たい,たい,want to do something
N5,たり〜たり,たり〜たり,do such things as A and B
N5,てある,てある,is/has been done (resulting state)
N5,ている,ている,ongoing action or current state
N5,てから,てから,after doing~
N5,てください,てください,please do
N5,てはいけない,てはいけない,must not; may not; cannot
N5,てもいいです,てもいいです,is OK to..; is alright to..; may I..?
N5,と,と,and; with; as; connecting particle
N5,とき,とき,when; at this time
N5,とても,とても,very; awfully; exceedingly
N5,つもり,つもり,plan to ~; intend to ~
N5,は,は,topic marker
N5,は〜より・・・です,は〜より・・・です,[A] is more ~ than [B]
N5,はどうですか,はどうですか,how about; how is
N5,や,や,and; or; connecting particle
N5,よ,よ,you know; emphasis (ending particle)
N5,より〜ほうが,より〜ほうが,[A] is more than [B]
