JLPT,Word,Reading,Meaning,Word Type
N5,ああ,ああ,"Ah!, Oh!",Interjection
N5,会う,あう,"to meet, to see",Godan verb with 'u' ending
N5,青,あお,blue,Noun
N5,青い,あおい,blue,I-adjective (keiyoushi)
N5,赤,あか,red,Noun
N5,赤い,あかい,red,I-adjective (keiyoushi)
N5,明るい,あかるい,bright (in reference to personality or weather); cheerful,I-adjective (keiyoushi)
N5,どんな,どんな,what kind of; what sort of,Pre-noun adjectival (連体詞)
N5,どうして,どうして,why; for what reason; how,Adverb (fukushi)
N5,どうやって,どうやって,how; in what way; by what means,Expression / Phrase
N5,いつも,いつも,always; usually; habitually,Adverb (fukushi)
N5,一番,いちばん,the most; the best,Noun / Adverbial
N5,一緒に,いっしょに,together,Adverb (fukushi)
N5,まだ,まだ,still; not yet,Adverb (fukushi)
N5,なる,なる,to become,Godan verb
N5,とても,とても,very; awfully; exceedingly,Adverb (fukushi)
N5,すぎる,すぎる,too much,Ichidan verb
N5,秋,あき,fall (season),Noun
N5,開く,あく,"to open, to become open",Godan verb with 'ku' ending
N5,開ける,あける,to open (v.t.),Ichidan verb
N5,上げる,あげる,"to raise, to lift",Ichidan verb
N5,朝,あさ,morning,Noun
N5,朝御飯,あさごはん,breakfast,Noun
N5,明後日,あさって,day after tomorrow,Noun
N5,足; 脚,あし,foot; leg,Noun
N5,明日,あした,tomorrow,Noun
N5,あそこ,あそこ,"there, over there, that place",Pronoun
N5,遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,Godan verb with 'bu' ending
N5,暖かい,あたたかい,warm,I-adjective (keiyoushi)
N5,頭,あたま,head,Noun
N5,新しい,あたらしい,new,I-adjective (keiyoushi)
N5,あちら,あちら,"that way (over there, polite)",Pronoun
N5,暑い,あつい,"hot (in reference to weather), warm",I-adjective (keiyoushi)
N5,熱い,あつい,hot (objects),I-adjective (keiyoushi)
N5,厚い,あつい,"kind, warm(hearted), thick, deep",I-adjective (keiyoushi)
N5,あっち,あっち,over there,Pronoun
N5,後,あと,afterwards (later); in the future; the rest; since then,Noun
N5,あなた,あなた,you,Pronoun
N5,兄,あに,(my) older brother (humble),Noun
N5,姉,あね,(my) older sister (humble),Noun
N5,アパート,アパート,apartment (abbr.),Noun
N5,あの,あの,"that over there; like that, that way; um...",Pre-noun adjectival (rentaishi)
N5,浴びる,あびる,"to bathe, to shower",Ichidan verb
N5,危ない,あぶない,"dangerous, critical",I-adjective (keiyoushi)
N5,甘い,あまい,"generous, sweet",I-adjective (keiyoushi)
N5,余り,あまり,not very; surplus,Noun
N5,雨,あめ,rain,Noun
N5,飴,あめ,(hard) candy,Noun
N5,洗う,あらう,to wash,Godan verb with 'u' ending
N5,歩く,あるく,to walk,Godan verb with 'ku' ending
N5,あれ,あれ,that one (over there),Pronoun
N5,いい; よい,いい; よい,good,I-adjective (keiyoushi)
N5,いいえ,いいえ,"no, not at all",Interjection
N5,言う,いう,to say,Godan verb with 'u' ending
N5,家,いえ,"house, home",Noun
N5,いかが,いかが,"how, in what way",Adverb (fukushi)
N5,行く,いく; ゆく,to go,Godan verb - Iku/Yuku special class
N5,いくつ,いくつ,"how many, how old",Adverb (fukushi)
N5,いくら,いくら,"how much, how many",Noun
N5,池,いけ,pond,Noun
N5,医者,いしゃ,doctor; physician,Noun
N5,椅子,いす,chair,Noun
N5,忙しい,いそがしい,"busy (people, days)",I-adjective (keiyoushi)
N5,痛い,いたい,hurt; painful; sore,I-adjective (keiyoushi)
N5,一,いち,one,Numeric
N5,一日,いちにち,one day (duration),Noun
N5,一番,いちばん,"best (most), first, number one",Noun
N5,いつ,いつ,when,Pronoun
N5,五日,いつか,five days; fifth day of the month,Noun
N5,一緒,いっしょ,together,Noun
N5,五つ,いつつ,five things,Numeric
N5,いつも,いつも,"always, usually, every time, never (with neg. verb)",Adverb (fukushi)
N5,犬,いぬ,dog,Noun
N5,今,いま,now,Noun
N5,意味,いみ,"meaning, significance",Noun
N5,妹,いもうと,younger sister (humble),Noun
N5,嫌,いや,"disagreeable, detestable, unpleasant",Na-adjective (keiyodoshi)
N5,入口,いりぐち,entrance,Noun
N5,居る,いる,"(humble) to be (animate), to exist",Ichidan verb
N5,要る,いる,to need,Godan verb with 'ru' ending
N5,入れる,いれる,to put in,Ichidan verb
N5,色,いろ,color,Noun
N5,色々,いろいろ,various,Na-adjective (keiyodoshi)
N5,上,うえ,"above (up, top, etc.), over, on top of",Noun
N5,後ろ,うしろ,"back, behind, rear",Noun
N5,薄い,うすい,"thin, weak",I-adjective (keiyoushi)
N5,歌,うた,a song,Noun
N5,歌う,うたう,to sing,Godan verb with 'u' ending
N5,うち,うち,home; house; my place,Noun
N5,生まれる,うまれる,to be born,Ichidan verb
N5,海,うみ,"sea, beach",Noun
N5,売る,うる,to sell (v.t.),Godan verb with 'ru' ending
N5,うるさい,うるさい,noisy; annoying,I-adjective (keiyoushi)
N5,上着,うわぎ,"coat, jacket",Noun
N5,絵,え,a painting; a picture; a drawing,Noun
N5,映画,えいが,"movie, film",Noun
N5,映画館,えいがかん,"movie theater, cinema",Noun
