JLPT,Word,Reading,Meaning,Word Type,Example Sentence JP,Example Sentence EN
N5,ああ,ああ,Ah! Oh!,Interjection,ああ、忘れてしまった！,"Ah, I forgot!"
N5,会う,あう,"to meet, to see",Godan verb with 'u' ending,友達に会う。,I will meet my friend.
N5,青,あお,blue,Noun,青が好きです。,I like blue.
N5,青い,あおい,blue,I-adjective (keiyoushi),空は青いです。,The sky is blue.
N5,赤,あか,red,Noun,赤が好きです。,I like red.
N5,赤い,あかい,red,I-adjective (keiyoushi),りんごは赤いです。,The apple is red.
N5,明るい,あかるい,bright; cheerful,I-adjective (keiyoushi),彼女は明るい性格です。,She has a bright personality.
N5,どんな,どんな,what kind of; what sort of,Pre-noun adjectival (連体詞),あなたはどんな本が好きですか？,What kind of books do you like?
N5,どうして,どうして,why; for what reason,Adverb (fukushi),どうして学校に行きませんか？,Why aren't you going to school?
N5,どうやって,どうやって,how; in what way; by what means,Expression / Phrase,どうやって行きますか？,How do you go there?
N5,いつも,いつも,always; usually; habitually,Adverb (fukushi),私はいつも朝ごはんを食べます。,I always eat breakfast.
N5,一番,いちばん,the most; the best,Noun / Adverbial,彼はクラスで一番です。,He is the best in the class.
N5,一緒に,いっしょに,together,Adverb (fukushi),友達と一緒に映画を見ました。,I watched a movie together with my friend.
N5,まだ,まだ,still; not yet,Adverb (fukushi),私はまだ宿題をしていません。,I have not done my homework yet.
N5,なる,なる,to become,Godan verb,彼は先生になります。,He will become a teacher.
N5,とても,とても,very; extremely,Adverb (fukushi),このケーキはとてもおいしいです。,This cake is very delicious.
N5,すぎる,すぎる,to exceed; to be too much,Ichidan verb,このケーキは甘すぎる。,This cake is too sweet.
N5,秋,あき,autumn (season),Noun,秋はとても美しい季節です。,Autumn is a very beautiful season.
N5,開く,あく,"to open, to become open",Godan verb with 'ku' ending,ドアが開く。,The door opens.
N5,開ける,あける,to open (transitive verb),Ichidan verb,ドアを開ける。,I open the door.
N5,上げる,あげる,"to raise, to lift",Ichidan verb,手を上げてください。,Please raise your hand.
N5,朝,あさ,morning,Noun,私は朝ごはんを食べます。,I eat breakfast in the morning.
N5,朝御飯,あさごはん,breakfast,Noun,私は毎朝朝御飯を食べます。,I eat breakfast every morning.
N5,明後日,あさって,the day after tomorrow,Noun,明後日は友達と遊びます。,I will hang out with my friend the day after tomorrow.
N5,足; 脚,あし,foot; leg,Noun,私の足が痛いです。,My foot hurts.
N5,明日,あした,tomorrow,Noun,明日は学校に行きます。,I will go to school tomorrow.
N5,あそこ,あそこ,"that place, over there",Pronoun,あそこに行きましょう。,Let's go over there.
N5,遊ぶ,あそぶ,to play; to have fun,Godan verb with 'bu' ending,友達と公園で遊びます。,I will play in the park with my friends.
N5,暖かい,あたたかい,warm,I-adjective (keiyoushi),今日は暖かいです。,Today is warm.
N5,頭,あたま,head,Noun,私の頭が痛いです。,My head hurts.
N5,新しい,あたらしい,new,I-adjective (keiyoushi),これは新しい本です。,This is a new book.
N5,あちら,あちら,"that way (over there, polite)",Pronoun,あちらに行きましょう。,Let's go that way.
N5,暑い,あつい,"hot (in reference to weather), warm",I-adjective (keiyoushi),今日はとても暑いです。,It is very hot today.
N5,熱い,あつい,"hot (to the touch, objects)",I-adjective (keiyoushi),このお茶は熱いです。,This tea is hot.
N5,厚い,あつい,"thick, deep",I-adjective (keiyoushi),この本は厚いです。,This book is thick.
N5,あっち,あっち,over there,Pronoun,あっちに行きましょう。,Let's go over there.
N5,後,あと,afterwards; later; in the future; the rest,Noun,授業の後で友達と遊びます。,I will play with my friends after class.
N5,あなた,あなた,you,Pronoun,あなたは学生ですか？,Are you a student?
N5,兄,あに,(my) older brother,Noun,私の兄は学生です。,My older brother is a student.
N5,姉,あね,(my) older sister,Noun,私の姉は学生です。,My older sister is a student.
N5,アパート,アパート,apartment (abbreviation for アパートメント),Noun,私はアパートに住んでいます。,I live in an apartment.
N5,あの,あの,that over there; um...,Pre-noun adjectival (rentaishi),あの本は面白いです。,That book over there is interesting.
N5,浴びる,あびる,"to bathe, to shower",Ichidan verb,毎朝シャワーを浴びます。,I take a shower every morning.
N5,危ない,あぶない,"dangerous, risky",I-adjective (keiyoushi),この道は危ないです。,This road is dangerous.
N5,甘い,あまい,sweet,I-adjective (keiyoushi),このケーキは甘いです。,This cake is sweet.
N5,余り,あまり,not very; surplus,Noun,このケーキは余りがあるから、食べてみてください。,"There is some surplus cake, so please try it."
N5,雨,あめ,rain,Noun,今日は雨が降っています。,It is raining today.
N5,飴,あめ,(hard) candy; sweets,Noun,私は飴が好きです。,I like candy.
N5,洗う,あらう,to wash,Godan verb with 'u' ending,私は手を洗います。,I wash my hands.
N5,歩く,あるく,to walk,Godan verb with 'ku' ending,私は公園を歩く。,I walk in the park.
N5,あれ,あれ,that one (over there),Pronoun,あれは私の本です。,That is my book.
N5,いい; よい,いい; よい,good,I-adjective (keiyoushi),このりんごはいいです。,This apple is good.
N5,いいえ,いいえ,no,Interjection,いいえ、私は行きません。,"No, I will not go."
N5,言う,いう,to say,Godan verb with 'u' ending,彼は「こんにちは」と言った。,"He said, 'Hello.'"
N5,家,いえ,"house, home",Noun,私の家は大きいです。,My house is big.
N5,いかが,いかが,"how, in what way",Adverb (fukushi),お元気ですか？いかがですか？,How are you? How is it?
N5,行く,いく; ゆく,to go,Godan verb - Iku/Yuku special class,私は学校に行く。,I go to school.
N5,いくつ,いくつ,"how many, how old",Noun,あなたは今、いくつですか？,How old are you now?
N5,いくら,いくら,"how much, how many",Noun,このリンゴはいくらですか？,How much is this apple?
N5,池,いけ,"pond",Noun,公園に池があります。,There is a pond in the park.
N5,医者,いしゃ,doctor; physician,Noun,私は医者になりたいです。,I want to become a doctor.
N5,椅子,いす,chair,Noun,私は椅子に座ります。,I sit on the chair.
N5,忙しい,いそがしい,"busy (people, days)",I-adjective (keiyoushi),今日はとても忙しいです。,Today is very busy.
N5,痛い,いたい,hurt; painful; sore,I-adjective (keiyoushi),私の頭が痛いです。,My head hurts.
N5,一,いち,one,Numeric,私は一つのリンゴを食べます。,I will eat one apple.
N5,一日,いちにち,one day (duration),Noun,私は一日中勉強しました。,I studied for one whole day.
N5,一番,いちばん,"best, number one",Noun,彼はクラスで一番です。,He is number one in the class.
N5,いつ,いつ,when,Pronoun,いつ学校に行きますか？,When do you go to school?
N5,五日,いつか,five days; the fifth day of the month,Noun,五日は私の誕生日です。,The fifth day is my birthday.
N5,一緒,いっしょ,together,Noun,友達と一緒に遊びます。,I will play together with my friend.
N5,五つ,いつつ,five (things),Noun,りんごが五つあります。,There are five apples.
N5,いつも,いつも,"always, usually, every time",Adverb (fukushi),私はいつも朝ごはんを食べます。,I always eat breakfast.
N5,犬,いぬ,dog,Noun,私の犬はとてもかわいいです。,My dog is very cute.
N5,今,いま,now,Noun,今、勉強しています。,I am studying now.
N5,意味,いみ,"meaning, significance",Noun,この言葉の意味は何ですか？,What is the meaning of this word?
N5,妹,いもうと,younger sister,Noun,私の妹は学生です。,My younger sister is a student.
N5,嫌,いや,"disagreeable, unpleasant",Na-adjective (keiyodoshi),この食べ物は嫌です。,This food is unpleasant.
N5,入口,いりぐち,The correct meaning is 'entrance'.,Noun,この建物の入口はどこですか？,Where is the entrance of this building?
N5,居る,いる,"(humble) to be (animate), to exist",Ichidan verb,猫が居る。,There is a cat.
N5,要る,いる,to need,Godan verb with 'ru' ending,私は水が要る。,I need water.
N5,入れる,いれる,to put in,Ichidan verb,私は箱に本を入れました。,I put the book in the box.
N5,色,いろ,color,Noun,空は青い色です。,The sky is blue in color.
N5,色々,いろいろ,various; different kinds,Adjective (na-adjective),色々な果物を食べました。,I ate various kinds of fruit.
N5,上,うえ,"above, on top of",Noun,テーブルの上に本があります。,There is a book on the table.
N5,後ろ,うしろ,"back, behind, rear",Noun,私の後ろに誰かいます。,There is someone behind me.
N5,薄い,うすい,"thin, weak",I-adjective (keiyoushi),この本は薄いです。,This book is thin.
N5,歌,うた,a song,Noun,私は歌が好きです。,I like songs.
N5,歌う,うたう,to sing,Godan verb with 'u' ending,私は歌うのが好きです。,I like to sing.
N5,うち,うち,home; house; my place,Noun,私のうちは大きいです。,My house is big.
N5,生まれる,うまれる,to be born,Ichidan verb,私は日本で生まれました。,I was born in Japan.
N5,海,うみ,"sea, ocean",Noun,私は海に行きます。,I will go to the sea.
N5,売る,うる,to sell,Godan verb with 'ru' ending,私は本を売ります。,I will sell a book.
N5,うるさい,うるさい,noisy; annoying,I-adjective (keiyoushi),この音はうるさいです。,This sound is noisy.
N5,上着,うわぎ,"coat, jacket",Noun,今日は寒いので、上着を着ます。,"It's cold today, so I will wear a coat."
N5,絵,え,a painting; a picture; a drawing,Noun,私は絵を描きます。,I will draw a picture.
N5,映画,えいが,"movie, film",Noun,私は映画が好きです。,I like movies.
N5,映画館,えいがかん,"movie theater, cinema",Noun,私は映画館に行きます。,I will go to the movie theater.
N5,英語,えいご,English (language),Noun,私は英語を勉強しています。,I am studying English.
N5,ええ,ええ,yes,Interjection,はい、ええ、わかりました。,"Yes, I understand."
N5,駅,えき,station,Noun,私は駅に行きます。,I will go to the station.
N5,エレベーター,エレベーター,elevator,Noun,エレベーターは二階にあります。,The elevator is on the second floor.
