JLPT,Lesson,Kanji,Onyomi,Kunyomi,Meaning,Example Words,type
N5,1,日,にち,ひ,day/sun/Japan,日本(にほん): Japan; 日曜日(にちようび): Sunday; 今日(きょう): today,kanji
N5,8,一,いち,ひと,one,一人(ひとり): one person; 一月(いちがつ): January; 一日(ついたち): first day (of month),kanji
N5,1,国,こく,くに,country,国(くに): country; 外国(がいこく): foreign country; 中国(ちゅうごく): China,kanji
N5,1,人,じん,ひと,person,人(ひと): person; 日本人(にほんじん): Japanese person; 二人(ふたり): two people,kanji
N5,8,年,ねん,とし,year,今年(ことし): this year; 来年(らいねん): next year; 去年(きょねん): last year,kanji
N5,3,大,だい,おお,large/big,大きい(おおきい): big; 大人(おとな): adult; 大学(だいがく): university,kanji
N5,8,十,じゅう,と,ten,十日(とおか): tenth day; 十人(じゅうにん): ten people; 十分(じゅっぷん): ten minutes,kanji
N5,8,二,に,ふた, two,二人(ふたり): two people; 二月(にがつ): February; 二時(にじ): two o’clock,kanji
N5,8,本,ほん,もと,book/true/counter for long objects,本(ほん): book; 日本(にほん): Japan; 本屋(ほんや): bookstore,kanji
N5,7,中,ちゅう,なか,inside/center,中国(ちゅうごく): China; 中学校(ちゅうがっこう): middle school; 真ん中(まんなか): center,kanji
N5,3,長,ちょう,なが,long/chief,校長(こうちょう): principal; 社長(しゃちょう): company president; 長い(ながい): long,kanji
N5,7,出,しゅつ,で,exit/leave,出る(でる): to exit; 出口(でぐち): exit; 出来る(できる): can do,kanji
N5,8,三,さん,み,three,三日(みっか): third day; 三角(さんかく): triangle; 三人(さんにん): three people,kanji
N5,5,時,じ,とき,time/hour,時間(じかん): time; 時計(とけい): clock; 何時(なんじ): what time,kanji
N5,2,行,こう,い,go/execute,銀行(ぎんこう): bank; 行く(いく): to go; 旅行(りょこう): travel,kanji
N5,5,見,けん,み,see,見る(みる): to see; 見せる(みせる): to show; 見える(みえる): to be visible,kanji
N5,3,月,げつ,つき,moon/month,月曜日(げつようび): Monday; 一月(いちがつ): January; 今月(こんげつ): this month,kanji
N5,8,分,ぶん,わ,minute/part,分かる(わかる): to understand; 分ける(わける): to divide; 一分(いっぷん): one minute,kanji
N5,7,後,ご,のち,after/behind,午後(ごご): afternoon; 後ろ(うしろ): behind; 後(あと): after,kanji
N5,7,前,ぜん,まえ,front/before,午前(ごぜん): morning (a.m.); 前(まえ): in front/before; 駅前(えきまえ): in front of station,kanji
N5,1,生,せい,い,life/birth,学生(がくせい): student; 生まれる(うまれる): to be born; 生きる(いきる): to live,kanji
N5,8,五,ご,いつ, five,五人(ごにん): five people; 五月(ごがつ): May; 五日(いつか): fifth day,kanji
N5,7,間,かん,あいだ,interval/space,時間(じかん): time; 間(あいだ): interval; 一週間(いっしゅうかん): one week,kanji
N5,7,上,じょう,うえ,up/above,上(うえ): above; 上がる(あがる): to go up; 上手(じょうず): skillful,kanji
N5,7,東,とう,ひがし,east,東京(とうきょう): Tokyo; 東(ひがし): east; 東口(ひがしぐち): east exit,kanji
N5,8,四,し,よ, four,四月(しがつ): April; 四時(よじ): four o’clock; 四人(よにん): four people,kanji
N5,1,今,こん,いま,now/the present,今朝(けさ): this morning; 今日(きょう): today; 今週(こんしゅう): this week,kanji
N5,9,金,きん,かね,gold/money,お金(おかね): money; 金曜日(きんようび): Friday; 金(きん): gold,kanji
N5,8,九,きゅう,ここの, nine,九月(くがつ): September; 九人(きゅうにん): nine people; 九時(くじ): nine o’clock,kanji
N5,5,入,にゅう,い,enter,入る(はいる): to enter; 入れる(いれる): to put in; 入口(いりぐち): entrance,kanji
N5,1,学,がく,まな,study/learning,学生(がくせい): student; 学校(がっこう): school; 留学(りゅうがく): study abroad,kanji
N5,3,高,こう,たか,high/expensive,高い(たかい): tall/expensive; 高校(こうこう): high school; 高校生(こうこうせい): high school student,kanji
N5,8,円,えん,まる,circle/yen,円(えん): yen; 一円(いちえん): one yen; 円い(まるい): round,kanji
N5,4,子,し,こ,child,子供(こども): child; 女の子(おんなのこ): girl; 小学生(しょうがくせい): elementary student,kanji
N5,7,外,がい,そと,outside,外(そと): outside; 外国(がいこく): foreign country; 外食(がいしょく): eating out,kanji
N5,8,八,はち,や, eight,八月(はちがつ): August; 八人(はちにん): eight people; 八日(ようか): eighth day,kanji
N5,8,六,ろく,む, six,六月(ろくがつ): June; 六人(ろくにん): six people; 六時(ろくじ): six o’clock,kanji
N5,7,下,か,した,down/under,下(した): below; 下がる(さがる): to go down; 下手(へた): unskillful,kanji
N5,2,来,らい,くる,come/next,来る(くる): to come; 来月(らいげつ): next month; 来年(らいねん): next year,kanji
N5,3,気,き,いき,spirit/air,元気(げんき): healthy; 天気(てんき): weather; 気分(きぶん): mood,kanji
N5,3,小,しょう,ちい,small,小さい(ちいさい): small; 小学校(しょうがっこう): elementary school; 小学生(しょうがくせい): elementary student,kanji
