JLPT,Example Words,Onyomi,Word,Reading,Word Type,Example Sentence EN,breakdown,type,Lesson,Meaning,Kanji,Example Sentence JP,Kunyomi
N5,,,会う,あう,Godan verb with 'u' ending,I will meet my friend.,"{""vocabulary"": [{""word"": ""友達"", ""reading"": ""ともだち"", ""meaning"": ""friend"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Target Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""会う"", ""reading"": ""あう"", ""meaning"": ""to meet"", ""role"": ""Verb, dictionary form"", ""components"": [{""part"": ""会"", ""reading"": ""あ"", ""meaning"": ""meet"", ""contribution"": ""Verb root""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's intention to meet a friend. It is a straightforward statement about an upcoming action."", ""steps"": [""**友達** - Refers to the subject of the action, which is the friend being met."", ""**に** - Indicates the target or direction of the action, meaning “to” or “for.”"", ""**会う** - The verb meaning “to meet,” in its dictionary form, indicating a future intention.""], ""sentence_pattern"": ""- [Noun] + [に] + [Verb (dictionary form)]\n- **Kanji**: 明日友達に会う。\n- **Hiragana**: あしたともだちにあう。\n- **English Translation**: I will meet my friend tomorrow."", ""sentence_pattern_kanji"": ""明日友達に会う。"", ""sentence_pattern_hiragana"": ""あしたともだちにあう。"", ""sentence_pattern_english"": ""I will meet my friend tomorrow."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that に is used to indicate the target of the action, which in this case is the friend you are meeting. It helps clarify who you are meeting."", ""common_mistake"": ""Beginners might confuse に with で. Remember that に indicates the target of the action (where you are going to), while で indicates the location where the action takes place."", ""alternative_expression"": {""kanji"": ""友達と会う。"", ""hiragana"": ""ともだちとあう。"", ""english"": ""I will meet with my friend.""}, ""new_words_in_alternative"": [{""word"": ""と"", ""reading"": ""と"", ""meaning"": ""[With]"", ""description"": ""Particle""}]}}",Vocab,11,"to meet, to see",,友達に会う。,
N5,,,いつも,いつも,Adverb (fukushi),I always eat breakfast.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""いつも"", ""reading"": ""いつも"", ""meaning"": ""always"", ""role"": ""Adverb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""朝ごはん"", ""reading"": ""あさごはん"", ""meaning"": ""breakfast"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""食べます"", ""reading"": ""たべます"", ""meaning"": ""eat"", ""role"": ""Verb, polite form"", ""components"": [{""part"": ""食べる"", ""reading"": ""たべる"", ""meaning"": ""to eat"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses a habitual action of the speaker, indicating that they regularly eat breakfast. It conveys a sense of routine in their daily life."", ""steps"": [""**私** - Refers to the speaker, marking them as the subject of the sentence."", ""**は** - Marks “私” as the topic of the sentence."", ""**いつも** - Indicates frequency, meaning “always.”"", ""**朝ごはん** - Specifies what is being eaten, which is breakfast."", ""**を** - Marks “朝ごはん” as the object of the verb."", ""**食べます** - The polite form of “食べる,” indicating the action of eating in a respectful manner.""], ""sentence_pattern"": ""- [Subject] + [は] + [Adverb] + [Object] + [を] + [Verb (polite form)]\n- **Kanji**: 彼は毎日昼ごはんを食べます。\n- **Hiragana**: かれはまいにちちゅうごはんをたべます。\n- **English Translation**: He eats lunch every day."", ""sentence_pattern_kanji"": ""彼は毎日昼ごはんを食べます。"", ""sentence_pattern_hiragana"": ""かれはまいにちちゅうごはんをたべます。"", ""sentence_pattern_english"": ""He eats lunch every day."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while を marks the object. This structure helps clarify who is doing the action and what the action is directed towards."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used to indicate the topic (the speaker), while が is typically used to emphasize the subject of a sentence."", ""alternative_expression"": {""kanji"": ""私は毎朝朝ごはんを食べます。"", ""hiragana"": ""わたしはまいあさあさごはんをたべます。"", ""english"": ""I eat breakfast every morning.""}, ""new_words_in_alternative"": [{""word"": ""毎朝"", ""reading"": ""まいあさ"", ""meaning"": ""every morning"", ""description"": ""Adverbial phrase""}]}}",Vocab,11,always; usually; habitually,,私はいつも朝ごはんを食べます。,
N5,,,一緒に,いっしょに,Adverb (fukushi),I watched a movie together with my friend.,"{""vocabulary"": [{""word"": ""友達"", ""reading"": ""ともだち"", ""meaning"": ""friend"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""と"", ""reading"": ""と"", ""meaning"": ""with"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""一緒に"", ""reading"": ""いっしょに"", ""meaning"": ""together"", ""role"": ""Adverbial phrase"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""映画"", ""reading"": ""えいが"", ""meaning"": ""movie"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""見ました"", ""reading"": ""みました"", ""meaning"": ""watched"", ""role"": ""Verb, past tense"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes an action where the speaker has completed watching a movie with a friend. It emphasizes the companionship during the activity."", ""steps"": [""**友達** - Refers to the subject, the friend with whom the action is performed."", ""**と** - Indicates companionship, meaning “with.”"", ""**一緒に** - Means “together,” reinforcing the idea of doing the action in company."", ""**映画** - Specifies what was watched, which is a movie."", ""**を** - Marks “映画” as the object of the verb."", ""**見ました** - The past tense of “見る,” indicating that the action of watching has been completed.""], ""sentence_pattern"": ""- [Subject] + [と] + [Adverbial phrase] + [Object] + [を] + [Verb (past tense)]\n- **Kanji**: 彼女と一緒に本を読みました。\n- **Hiragana**: かのじょといっしょにほんをよみました。\n- **English Translation**: I read a book together with her."", ""sentence_pattern_kanji"": ""彼女と一緒に本を読みました。"", ""sentence_pattern_hiragana"": ""かのじょといっしょにほんをよみました。"", ""sentence_pattern_english"": ""I read a book together with her."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that と is used to indicate companionship, while 一緒に emphasizes the idea of doing something together. This combination is common in Japanese when expressing shared activities."", ""common_mistake"": ""Beginners often confuse を with は. Remember that を is used to mark the direct object of the verb (the movie being watched), while は marks the topic of the sentence."", ""alternative_expression"": {""kanji"": ""友達と映画を見ました。"", ""hiragana"": ""ともだちとえいがをみました。"", ""english"": ""I watched a movie with my friend.""}, ""new_words_in_alternative"": [{""word"": ""映画"", ""reading"": ""えいが"", ""meaning"": ""movie"", ""description"": ""Noun""}]}}",Vocab,11,together,,友達と一緒に映画を見ました。,
N5,,,遊ぶ,あそぶ,Godan verb with 'bu' ending,I will play in the park with my friends.,"{""vocabulary"": [{""word"": ""友達"", ""reading"": ""ともだち"", ""meaning"": ""friends"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""と"", ""reading"": ""と"", ""meaning"": ""with"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""公園"", ""reading"": ""こうえん"", ""meaning"": ""park"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""で"", ""reading"": ""で"", ""meaning"": ""at / in"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""遊びます"", ""reading"": ""あそびます"", ""meaning"": ""will play"", ""role"": ""Verb, polite form"", ""components"": [{""part"": ""遊ぶ"", ""reading"": ""あそぶ"", ""meaning"": ""to play"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's intention to engage in a playful activity with friends at a specific location, the park. It indicates a future action."", ""steps"": [""**友達** - Refers to the friends with whom the speaker will play."", ""**と** - Indicates companionship, meaning “with.”"", ""**公園** - Specifies the location where the action will take place."", ""**で** - Indicates the location marker, meaning “at” or “in.”"", ""**遊びます** - The polite future form of “遊ぶ,” indicating the intention to play.""], ""sentence_pattern"": ""- [Noun 1] + [と] + [Noun 2] + [で] + [Verb (polite form)]\n- **Kanji**: 彼は友達と公園で遊びます。\n- **Hiragana**: かれはともだちとこうえんであそびます。\n- **English Translation**: He will play in the park with his friends."", ""sentence_pattern_kanji"": ""彼は友達と公園で遊びます。"", ""sentence_pattern_hiragana"": ""かれはともだちとこうえんであそびます。"", ""sentence_pattern_english"": ""He will play in the park with his friends."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that と is used to indicate companionship, while で indicates the location of the action. This helps clarify who you are with and where you are."", ""common_mistake"": ""Beginners often confuse で with に. Remember that で is used for the location where an action takes place, while に indicates a destination or direction."", ""alternative_expression"": {""kanji"": ""友達と一緒に公園で遊びます。"", ""hiragana"": ""ともだちといっしょにこうえんであそびます。"", ""english"": ""I will play in the park together with my friends.""}, ""new_words_in_alternative"": [{""word"": ""一緒に"", ""reading"": ""いっしょに"", ""meaning"": ""together"", ""description"": ""Adverb""}]}}",Vocab,11,to play; to have fun,,友達と公園で遊びます。,
N5,,,浴びる,あびる,Ichidan verb,I take a shower every morning.,"{""vocabulary"": [{""word"": ""毎朝"", ""reading"": ""まいあさ"", ""meaning"": ""every morning"", ""role"": ""Noun"", ""components"": [{""part"": ""毎"", ""reading"": ""まい"", ""meaning"": ""every"", ""contribution"": ""Adverb""}, {""part"": ""朝"", ""reading"": ""あさ"", ""meaning"": ""morning"", ""contribution"": ""Noun""}], ""combined_explanation"": """"}, {""word"": ""シャワー"", ""reading"": ""しゃわー"", ""meaning"": ""shower"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""浴びます"", ""reading"": ""あびます"", ""meaning"": ""take (a shower)"", ""role"": ""Verb, polite form"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes a daily routine where the speaker takes a shower every morning. It emphasizes the habitual nature of the action."", ""steps"": [""**毎朝** - Indicates the time when the action occurs (every morning)."", ""**シャワー** - Specifies what the action is about (taking a shower)."", ""**を** - Marks “シャワー” as the direct object of the verb."", ""**浴びます** - The polite form of the verb “浴びる,” indicating the action of taking a shower.""], ""sentence_pattern"": ""- [Time Expression] + [Object] + [を] + [Verb (polite form)]\n- **Kanji**: 毎朝水を飲みます。\n- **Hiragana**: まいあさみずをのみます。\n- **English Translation**: I drink water every morning."", ""sentence_pattern_kanji"": ""毎朝水を飲みます。"", ""sentence_pattern_hiragana"": ""まいあさみずをのみます。"", ""sentence_pattern_english"": ""I drink water every morning."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that 毎朝 sets the time for the action, while を marks the object of the verb. This structure helps clarify what you do regularly."", ""common_mistake"": ""Beginners often forget to use を when mentioning the object of the verb. Always remember to include it to indicate what action is being performed on the object."", ""alternative_expression"": {""kanji"": ""毎朝お風呂に入ります。"", ""hiragana"": ""まいあさおふろにはいります。"", ""english"": ""I take a bath every morning.""}, ""new_words_in_alternative"": [{""word"": ""お風呂"", ""reading"": ""おふろ"", ""meaning"": ""bath"", ""description"": ""Noun""}, {""word"": ""入ります"", ""reading"": ""はいります"", ""meaning"": ""to enter"", ""description"": ""Verb, polite form""}]}}",Vocab,11,"to bathe, to shower",,毎朝シャワーを浴びます。,
N5,,,一緒,いっしょ,Noun,I will play together with my friend.,"{""vocabulary"": [{""word"": ""友達"", ""reading"": ""ともだち"", ""meaning"": ""friend"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""と"", ""reading"": ""と"", ""meaning"": ""with"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""一緒に"", ""reading"": ""いっしょに"", ""meaning"": ""together"", ""role"": ""Adverbial phrase"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""遊びます"", ""reading"": ""あそびます"", ""meaning"": ""will play"", ""role"": ""Verb, polite form"", ""components"": [{""part"": ""遊ぶ"", ""reading"": ""あそぶ"", ""meaning"": ""to play"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's intention to engage in a playful activity with a friend. It conveys a sense of companionship and future action."", ""steps"": [""**友達** - Refers to the subject, “friend.”"", ""**と** - Indicates companionship, meaning “with.”"", ""**一緒に** - Specifies that the action is done together."", ""**遊びます** - The polite future form of “遊ぶ,” indicating the action of playing will occur.""], ""sentence_pattern"": ""- [Subject] + [と] + [Adverbial Phrase] + [Verb (polite form)]\n- **Kanji**: 彼と一緒に遊びます。\n- **Hiragana**: かれといっしょにあそびます。\n- **English Translation**: I will play together with him."", ""sentence_pattern_kanji"": ""彼と一緒に遊びます。"", ""sentence_pattern_hiragana"": ""かれといっしょにあそびます。"", ""sentence_pattern_english"": ""I will play together with him."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that 一緒に emphasizes the idea of doing something together. It’s a great way to express companionship in activities."", ""common_mistake"": ""Beginners might confuse the use of と with other particles like で or に. Remember that と specifically indicates “with” when referring to people or companions."", ""alternative_expression"": {""kanji"": ""友達と遊びます。"", ""hiragana"": ""ともだちとあそびます。"", ""english"": ""I will play with my friend.""}, ""new_words_in_alternative"": [{""word"": ""遊びます"", ""reading"": ""あそびます"", ""meaning"": ""will play"", ""description"": ""Verb, polite form""}]}}",Vocab,11,together,,友達と一緒に遊びます。,
N5,,,いつも,いつも,Adverb (fukushi),I always eat breakfast.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""いつも"", ""reading"": ""いつも"", ""meaning"": ""always"", ""role"": ""Adverb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""朝ごはん"", ""reading"": ""あさごはん"", ""meaning"": ""breakfast"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""食べます"", ""reading"": ""たべます"", ""meaning"": ""eat"", ""role"": ""Verb, polite form"", ""components"": [{""part"": ""食べる"", ""reading"": ""たべる"", ""meaning"": ""to eat"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses a habitual action where the speaker regularly consumes breakfast. It conveys a sense of routine in the speaker's daily life."", ""steps"": [""**私** - Refers to the speaker (I)."", ""**は** - Marks “私” as the topic of the sentence."", ""**いつも** - Indicates frequency, meaning “always.”"", ""**朝ごはん** - Specifies the object of the action, which is breakfast."", ""**を** - Marks “朝ごはん” as the direct object of the verb."", ""**食べます** - The polite form of “to eat,” indicating the action being performed.""], ""sentence_pattern"": ""- [Topic] + [は] + [Frequency Adverb] + [Object] + [を] + [Verb (polite form)]\n- **Kanji**: 彼は毎日昼ごはんを食べます。\n- **Hiragana**: かれはまいにちひるごはんをたべます。\n- **English Translation**: He eats lunch every day."", ""sentence_pattern_kanji"": ""彼は毎日昼ごはんを食べます。"", ""sentence_pattern_hiragana"": ""かれはまいにちひるごはんをたべます。"", ""sentence_pattern_english"": ""He eats lunch every day."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while を marks the object of the verb. This helps clarify who is doing the action and what is being acted upon."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used to indicate the topic (the speaker), while が is typically used for the subject of a sentence."", ""alternative_expression"": {""kanji"": ""私はいつも朝食を食べます。"", ""hiragana"": ""わたしはいつもちょうしょくをたべます。"", ""english"": ""I always eat breakfast.""}, ""new_words_in_alternative"": [{""word"": ""朝食"", ""reading"": ""ちょうしょく"", ""meaning"": ""breakfast"", ""description"": ""Noun""}]}}",Vocab,11,"always, usually, every time",,私はいつも朝ごはんを食べます。,
N5,,,入れる,いれる,Ichidan verb,I put the book in the box.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""箱"", ""reading"": ""はこ"", ""meaning"": ""box"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""本"", ""reading"": ""ほん"", ""meaning"": ""book"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""入れました"", ""reading"": ""いれました"", ""meaning"": ""put"", ""role"": ""Verb, past tense"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes an action where the speaker has completed the act of putting a book into a box. It clearly indicates the subject, the action, and the location of the action."", ""steps"": [""**私** - Refers to the subject of the sentence, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**箱** - Indicates the destination where the book is being placed."", ""**に** - Indicates the direction or location of the action, meaning “in” or “to.”"", ""**本** - Refers to the object being put into the box."", ""**を** - Marks “本” as the direct object of the verb."", ""**入れました** - The past tense of “入れる,” indicating that the action of putting has been completed.""], ""sentence_pattern"": ""- [Subject] + [は] + [Destination] + [に] + [Object] + [を] + [Verb (past tense)]\n- **Kanji**: 彼は部屋に猫を入れました。\n- **Hiragana**: かれはへやにねこをいれました。\n- **English Translation**: He put the cat in the room."", ""sentence_pattern_kanji"": ""彼は部屋に猫を入れました。"", ""sentence_pattern_hiragana"": ""かれはへやにねこをいれました。"", ""sentence_pattern_english"": ""He put the cat in the room."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while を marks the direct object of the verb. This helps clarify who is doing the action and what is being acted upon."", ""common_mistake"": ""Beginners often confuse に and へ. Remember that に indicates a specific location or direction where something is placed, while へ indicates a general direction or destination."", ""alternative_expression"": {""kanji"": ""私は本を箱に入れました。"", ""hiragana"": ""わたしはほんをはこにいれました。"", ""english"": ""I put the book into the box.""}, ""new_words_in_alternative"": [{""word"": ""入れました"", ""reading"": ""いれました"", ""meaning"": ""put"", ""description"": ""Verb, past tense""}]}}",Vocab,11,to put in,,私は箱に本を入れました。,
N5,,,歌う,うたう,Godan verb with 'u' ending,I like to sing.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""歌う"", ""reading"": ""うたう"", ""meaning"": ""to sing"", ""role"": ""Verb, dictionary form"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Nominalizer]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""好き"", ""reading"": ""すき"", ""meaning"": ""like"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Polite ending]"", ""role"": ""Copula"", ""components"": [{""part"": ""歌う"", ""reading"": ""うたう"", ""meaning"": ""to sing"", ""contribution"": ""Verb""}, {""part"": ""好き"", ""reading"": ""すき"", ""meaning"": ""like"", ""contribution"": ""Adjective""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's enjoyment of singing. It indicates a personal preference and is a common way to talk about likes and dislikes in Japanese."", ""steps"": [""**私は** - “I” is marked as the topic of the sentence."", ""**歌うの** - The verb “歌う” (to sing) is nominalized by “の,” allowing it to function as a noun phrase."", ""**が** - Marks “歌うの” as the subject of the sentence."", ""**好きです** - The adjective “好き” (like) is used with “です” to express a polite statement about the speaker's preference.""], ""sentence_pattern"": ""- [Topic] + [は] + [Verb (nominalized)] + [が] + [Adjective (好き)] + [です]\n- **Kanji**: 彼はサッカーをするのが好きです。\n- **Hiragana**: かれはさっかーをするのがすきです。\n- **English Translation**: He likes to play soccer."", ""sentence_pattern_kanji"": ""彼はサッカーをするのが好きです。"", ""sentence_pattern_hiragana"": ""かれはさっかーをするのがすきです。"", ""sentence_pattern_english"": ""He likes to play soccer."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that “の” is used to nominalize verbs, turning them into noun phrases. This allows you to express likes and dislikes about actions, not just objects."", ""common_mistake"": ""Beginners often confuse the use of “の” and “が.” “の” is used to nominalize, while “が” marks the subject of the sentence. Make sure to use them in the correct context."", ""alternative_expression"": {""kanji"": ""私は歌うことが好きです。"", ""hiragana"": ""わたしはうたうことがすきです。"", ""english"": ""I like the act of singing.""}, ""new_words_in_alternative"": []}}",Vocab,11,to sing,,私は歌うのが好きです。,
N5,,,覚える,おぼえる,Ichidan verb,I will memorize new words.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""新しい"", ""reading"": ""あたらしい"", ""meaning"": ""new"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""単語"", ""reading"": ""たんご"", ""meaning"": ""words"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""覚えます"", ""reading"": ""おぼえます"", ""meaning"": ""will memorize"", ""role"": ""Verb, non-past form"", ""components"": [{""part"": ""覚える"", ""reading"": ""おぼえる"", ""meaning"": ""to memorize"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's intention to memorize new vocabulary. It indicates a future action regarding language learning."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**新しい** - Describes the noun “単語” as “new.”"", ""**単語** - The object of the action, meaning “words.”"", ""**を** - Marks “単語” as the object of the verb."", ""**覚えます** - The polite non-past form of “覚える,” indicating the action of memorizing.""], ""sentence_pattern"": ""- [Topic] + [は] + [Adjective] + [Noun] + [を] + [Verb (polite form)]\n- **Kanji**: 彼は新しい本を読みます。\n- **Hiragana**: かれはあたらしいほんをよみます。\n- **English Translation**: He will read a new book."", ""sentence_pattern_kanji"": ""彼は新しい本を読みます。"", ""sentence_pattern_hiragana"": ""かれはあたらしいほんをよみます。"", ""sentence_pattern_english"": ""He will read a new book."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which helps clarify what you are talking about. In this case, it is “I” who will memorize."", ""common_mistake"": ""Beginners often confuse を with は. Remember that を is used to mark the direct object of the verb, while は marks the topic of the sentence."", ""alternative_expression"": {""kanji"": ""私は新しい言葉を覚えます。"", ""hiragana"": ""わたしはあたらしいことばをおぼえます。"", ""english"": ""I will memorize new vocabulary.""}, ""new_words_in_alternative"": []}}",Vocab,11,"to learn, to remember, to memorize",,私は新しい単語を覚えます。,
