JLPT,Example Words,Onyomi,Word,Reading,Word Type,Example Sentence EN,breakdown,type,Lesson,Meaning,Kanji,Example Sentence JP,Kunyomi
N5,,,入口,いりぐち,Noun,Where is the entrance of this building?,"{""vocabulary"": [{""word"": ""この"", ""reading"": ""この"", ""meaning"": ""this"", ""role"": ""Demonstrative adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""建物"", ""reading"": ""たてもん"", ""meaning"": ""building"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Possessive/Attributive particle]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""入口"", ""reading"": ""いりぐち"", ""meaning"": ""entrance"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""どこ"", ""reading"": ""どこ"", ""meaning"": ""where"", ""role"": ""Interrogative pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""ですか"", ""reading"": ""ですか"", ""meaning"": ""is it?"", ""role"": ""Polite ending particle"", ""components"": [{""part"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""contribution"": ""Copula, polite form""}, {""part"": ""か"", ""reading"": ""か"", ""meaning"": ""[Question marker]"", ""contribution"": ""Particle""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is a polite inquiry about the location of the entrance to a building. It is commonly used when one is trying to find their way or gather information."", ""steps"": [""**この** - Specifies which building is being referred to, indicating proximity."", ""**建物** - The subject of the inquiry, meaning “building.”"", ""**の** - Indicates possession or attribution, linking “building” to “entrance.”"", ""**入口** - The main noun of the sentence, meaning “entrance.”"", ""**は** - Marks “入口” as the topic of the sentence."", ""**どこ** - The interrogative word asking for the location."", ""**ですか** - A polite way to end a question, indicating that the speaker is seeking information.""], ""sentence_pattern"": ""- [Demonstrative] + [Noun] + [の] + [Noun] + [は] + [Interrogative] + [ですか]\n- **Kanji**: この建物の入口はどこですか？\n- **Hiragana**: このたてもんのいりぐちはどこですか？\n- **English Translation**: Where is the entrance of this building?"", ""sentence_pattern_kanji"": ""この建物の入口はどこですか？"", ""sentence_pattern_hiragana"": ""このたてもんのいりぐちはどこですか？"", ""sentence_pattern_english"": ""Where is the entrance of this building?"", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that の is used to connect nouns, indicating possession or a relationship. In this case, it connects “building” and “entrance” to show that the entrance belongs to the building."", ""common_mistake"": ""Beginners might confuse どこ with other question words like 何 (what) or 誰 (who). Make sure to use どこ specifically when asking about locations."", ""alternative_expression"": {""kanji"": ""この建物の入り口はどこですか？"", ""hiragana"": ""このたてもんのいりぐちはどこですか？"", ""english"": ""Where is the entrance of this building?""}, ""new_words_in_alternative"": [{""word"": ""入り口"", ""reading"": ""いりぐち"", ""meaning"": ""entrance"", ""description"": ""Noun""}]}}",Vocab,13,The correct meaning is 'entrance'.,,この建物の入口はどこですか？,
N5,,,居る,いる,Ichidan verb,There is a cat.,"{""vocabulary"": [{""word"": ""猫"", ""reading"": ""ねこ"", ""meaning"": ""cat"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""居る"", ""reading"": ""いる"", ""meaning"": ""to exist (animate)"", ""role"": ""Verb"", ""components"": [{""part"": ""居"", ""reading"": ""い"", ""meaning"": ""to exist"", ""contribution"": ""Verb root""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence states that there is a cat present in the location being referred to. It is a simple declaration of existence."", ""steps"": [""**猫** - Refers to the subject of the sentence, which is the cat."", ""**が** - Marks “猫” as the subject of the sentence, indicating that it is the focus of the statement."", ""**居る** - Indicates the existence of the cat, specifically for animate beings.""], ""sentence_pattern"": ""- [Subject] + [が] + [Verb (to exist)]\n- **Kanji**: 鳥が居る。\n- **Hiragana**: とりがいる。\n- **English Translation**: There is a bird."", ""sentence_pattern_kanji"": ""鳥が居る。"", ""sentence_pattern_hiragana"": ""とりがいる。"", ""sentence_pattern_english"": ""There is a bird."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the verb 居る is used for living things, while the verb ある is used for inanimate objects. This distinction is important for correctly expressing existence."", ""common_mistake"": ""Beginners might confuse the subject marker が with は. Use が to indicate the subject of the sentence, especially when introducing new information."", ""alternative_expression"": {""kanji"": ""猫がいる。"", ""hiragana"": ""ねこがいる。"", ""english"": ""There is a cat.""}, ""new_words_in_alternative"": []}}",Vocab,13,"(humble) to be (animate), to exist",,猫が居る。,
N5,,,上,うえ,Noun,There is a book on the table.,"{""vocabulary"": [{""word"": ""テーブル"", ""reading"": ""てーぶる"", ""meaning"": ""table"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Possessive/Attributive Particle]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""上"", ""reading"": ""うえ"", ""meaning"": ""on / above"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""本"", ""reading"": ""ほん"", ""meaning"": ""book"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""あります"", ""reading"": ""あります"", ""meaning"": ""there is"", ""role"": ""Verb, non-past"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the presence of a book located on a table. It provides a clear spatial relationship between the book and the table."", ""steps"": [""**テーブル** - Refers to the object (table) where something is located."", ""**の** - Indicates that the following noun (上) is describing the location related to the table."", ""**上** - Specifies the location as \""on\"" or \""above.\"""", ""**に** - Marks the location where the existence is being stated."", ""**本** - Refers to the subject of the sentence, which is the book."", ""**が** - Marks “本” as the subject of the sentence."", ""**あります** - Indicates the existence of the book in a polite form.""], ""sentence_pattern"": ""- [Noun 1] + [の] + [Noun 2] + [に] + [Noun 3] + [が] + [Verb]\n- **Kanji**: 椅子の上に猫があります。\n- **Hiragana**: いすのうえにねこがあります。\n- **English Translation**: There is a cat on the chair."", ""sentence_pattern_kanji"": ""椅子の上に猫があります。"", ""sentence_pattern_hiragana"": ""いすのうえにねこがあります。"", ""sentence_pattern_english"": ""There is a cat on the chair."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that の connects nouns to show possession or location, while に indicates the specific location where something exists. This helps clarify relationships in sentences."", ""common_mistake"": ""Beginners often confuse the use of に and で. Remember that に is used for indicating a location where something exists, while で is used to indicate the location of an action."", ""alternative_expression"": {""kanji"": ""テーブルの上に本がある。"", ""hiragana"": ""てーぶるのうえにほんがある。"", ""english"": ""A book is on the table.""}, ""new_words_in_alternative"": []}}",Vocab,13,"above, on top of",,テーブルの上に本があります。,
N5,,,後ろ,うしろ,Noun,There is someone behind me.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Possessive particle]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""後ろ"", ""reading"": ""うしろ"", ""meaning"": ""behind"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Location particle]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""誰か"", ""reading"": ""だれか"", ""meaning"": ""someone"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""います"", ""reading"": ""います"", ""meaning"": ""there is"", ""role"": ""Verb, non-past"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence indicates that there is an unspecified person located behind the speaker. It conveys a sense of awareness of someone's presence in a specific location."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**の** - Indicates possession, linking “私” to “後ろ,” meaning “my.”"", ""**後ろ** - Specifies the location, meaning “behind.”"", ""**に** - Indicates the location where the existence is being described."", ""**誰か** - Refers to an unspecified person, meaning “someone.”"", ""**います** - The polite form of the verb indicating existence for animate beings.""], ""sentence_pattern"": ""- [Subject] + [の] + [Location] + [に] + [Someone] + [Verb (non-past)]\n- **Kanji**: 彼の隣に友達がいます。\n- **Hiragana**: かれのとなりにともだちがいます。\n- **English Translation**: There is a friend next to him."", ""sentence_pattern_kanji"": ""彼の隣に友達がいます。"", ""sentence_pattern_hiragana"": ""かれのとなりにともだちがいます。"", ""sentence_pattern_english"": ""There is a friend next to him."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that の indicates possession, so 私の means “my.” This is a common structure in Japanese to indicate ownership or relation."", ""common_mistake"": ""Beginners often confuse に and で. Remember that に indicates a specific location where something exists, while で indicates the location of an action."", ""alternative_expression"": {""kanji"": ""私の後ろに人がいます。"", ""hiragana"": ""わたしのうしろにひとがいます。"", ""english"": ""There is a person behind me.""}, ""new_words_in_alternative"": [{""word"": ""人"", ""reading"": ""ひと"", ""meaning"": ""person"", ""description"": ""Noun""}]}}",Vocab,13,"back, behind, rear",,私の後ろに誰かいます。,
N5,,,駅,えき,Noun,I will go to the station.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""駅"", ""reading"": ""えき"", ""meaning"": ""station"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""行きます"", ""reading"": ""いきます"", ""meaning"": ""will go"", ""role"": ""Verb, polite form"", ""components"": [{""part"": ""行く"", ""reading"": ""いく"", ""meaning"": ""to go"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's intention to go to a specific location, which is the station. It indicates a future action in a polite manner."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**駅** - Indicates the destination, “station.”"", ""**に** - Marks the direction or location where the action is directed."", ""**行きます** - The polite form of the verb “行く,” indicating the action of going in the future.""], ""sentence_pattern"": ""- [Topic] + [は] + [Destination] + [に] + [Verb (polite form)]\n- **Kanji**: 彼は学校に行きます。\n- **Hiragana**: かれはがっこうにいきます。\n- **English Translation**: He will go to school."", ""sentence_pattern_kanji"": ""彼は学校に行きます。"", ""sentence_pattern_hiragana"": ""かれはがっこうにいきます。"", ""sentence_pattern_english"": ""He will go to school."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while に indicates the direction or destination of the action. This structure helps clarify where you are going."", ""common_mistake"": ""Beginners often confuse に with へ. While both can indicate direction, に is used for specific locations, while へ is more general and indicates direction towards a place."", ""alternative_expression"": {""kanji"": ""私は駅へ行きます。"", ""hiragana"": ""わたしはえきへいきます。"", ""english"": ""I will go to the station.""}, ""new_words_in_alternative"": [{""word"": ""へ"", ""reading"": ""へ"", ""meaning"": ""[Direction Marker]"", ""description"": ""Particle""}]}}",Vocab,13,station,,私は駅に行きます。,
N5,,,お手洗い,おてあらい,Noun,Where is the restroom?,"{""vocabulary"": [{""word"": ""お手洗い"", ""reading"": ""おてあらい"", ""meaning"": ""restroom"", ""role"": ""Noun"", ""components"": [{""part"": ""お"", ""reading"": ""お"", ""meaning"": ""honorific prefix"", ""contribution"": ""Prefix""}, {""part"": ""手洗い"", ""reading"": ""てあらい"", ""meaning"": ""hand washing"", ""contribution"": ""Noun""}, {""part"": ""手"", ""reading"": ""て"", ""meaning"": ""hand"", ""contribution"": ""Noun""}, {""part"": ""洗い"", ""reading"": ""あらい"", ""meaning"": ""washing"", ""contribution"": ""Noun, gerund form of 洗う (あらう)""}], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""どこ"", ""reading"": ""どこ"", ""meaning"": ""where"", ""role"": ""Interrogative pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""ですか"", ""reading"": ""ですか"", ""meaning"": ""is it?"", ""role"": ""Copula + Question marker"", ""components"": [{""part"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""contribution"": ""Copula""}, {""part"": ""か"", ""reading"": ""か"", ""meaning"": ""[Question marker]"", ""contribution"": ""Particle""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is a polite inquiry about the location of the restroom. It is commonly used in public places when someone needs to find the facilities."", ""steps"": [""**お手洗い** - Refers to the restroom, using a polite term."", ""**は** - Marks “お手洗い” as the topic of the sentence."", ""**どこ** - Asks for the location, meaning “where.”"", ""**ですか** - Forms a polite question, indicating that the speaker is seeking information.""], ""sentence_pattern"": ""- [Topic] + [は] + [Location/Interrogative] + [ですか]\n- **Kanji**: 学校はどこですか？\n- **Hiragana**: がっこうはどこですか？\n- **English Translation**: Where is the school?"", ""sentence_pattern_kanji"": ""学校はどこですか？"", ""sentence_pattern_hiragana"": ""がっこうはどこですか？"", ""sentence_pattern_english"": ""Where is the school?"", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the particle は indicates the topic of the sentence, which in this case is the restroom. This helps to clarify what you are asking about."", ""common_mistake"": ""Beginners might confuse the use of ですか with other question forms. Always remember that ですか is used to make polite inquiries."", ""alternative_expression"": {""kanji"": ""トイレはどこですか？"", ""hiragana"": ""といれはどこですか？"", ""english"": ""Where is the toilet?""}, ""new_words_in_alternative"": [{""word"": ""トイレ"", ""reading"": ""といれ"", ""meaning"": ""toilet"", ""description"": ""Noun""}]}}",Vocab,13,"toilet, restroom, bathroom (a place to wash one's hands)",,お手洗いはどこですか？,
N5,,,階段,かいだん,Noun,I will go up the stairs.,"{""vocabulary"": [{""word"": ""階段"", ""reading"": ""かいだん"", ""meaning"": ""stairs"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""上がります"", ""reading"": ""あがります"", ""meaning"": ""will go up"", ""role"": ""Verb, polite form"", ""components"": [{""part"": ""上がる"", ""reading"": ""あがる"", ""meaning"": ""to go up"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's intention to ascend the stairs. It is a straightforward statement about an action that will take place."", ""steps"": [""**階段** - Refers to the object of the action, which is the stairs."", ""**を** - Marks “階段” as the direct object of the verb."", ""**上がります** - The polite form of the verb “上がる,” indicating the action of going up in a respectful manner.""], ""sentence_pattern"": ""- [Object] + [を] + [Verb (polite form)]\n- **Kanji**: 彼は階段を上がります。\n- **Hiragana**: かれはかいだんをあがります。\n- **English Translation**: He will go up the stairs."", ""sentence_pattern_kanji"": ""彼は階段を上がります。"", ""sentence_pattern_hiragana"": ""かれはかいだんをあがります。"", ""sentence_pattern_english"": ""He will go up the stairs."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that を is used to mark the direct object of the verb. In this case, it indicates that the stairs are what you are going up."", ""common_mistake"": ""Beginners often confuse the use of を with は. While を marks the object of the action, は marks the topic of the sentence. Ensure you use を when indicating what is being acted upon."", ""alternative_expression"": {""kanji"": ""階段を登ります。"", ""hiragana"": ""かいだんをのぼります。"", ""english"": ""I will climb the stairs.""}, ""new_words_in_alternative"": [{""word"": ""登ります"", ""reading"": ""のぼります"", ""meaning"": ""to climb"", ""description"": ""Verb, polite form""}]}}",Vocab,13,stairs,,階段を上がります。,
N5,,,～側,～がわ,Noun,My house is by the river.,"{""vocabulary"": [{""word"": ""私の"", ""reading"": ""わたしの"", ""meaning"": ""my"", ""role"": ""Possessive pronoun"", ""components"": [{""part"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""contribution"": ""Pronoun""}, {""part"": ""の"", ""reading"": ""の"", ""meaning"": ""[Possessive particle]"", ""contribution"": ""Particle""}], ""combined_explanation"": """"}, {""word"": ""家"", ""reading"": ""いえ"", ""meaning"": ""house"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""川"", ""reading"": ""かわ"", ""meaning"": ""river"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Genitive particle]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""側"", ""reading"": ""そば"", ""meaning"": ""side"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Location particle]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the location of the speaker's house, indicating that it is situated next to a river. It provides a clear spatial relationship between the house and the river."", ""steps"": [""**私の** - Indicates possession, meaning \""my.\"""", ""**家** - The subject of the sentence, meaning \""house.\"""", ""**は** - Marks \""家\"" as the topic of the sentence."", ""**川の** - Indicates the relationship to \""river,\"" meaning \""of the river.\"""", ""**側** - Refers to the \""side.\"""", ""**に** - Indicates the location where the house exists."", ""**あります** - The polite form of the verb \""to exist,\"" indicating that the house is present in that location.""], ""sentence_pattern"": ""- [Possessive Pronoun] + [Noun] + [は] + [Noun] + [の] + [Noun] + [に] + [Verb]\n- **Kanji**: 彼の車は駅の近くにあります。\n- **Hiragana**: かれのくるまはえきのちかくにあります。\n- **English Translation**: His car is near the station."", ""sentence_pattern_kanji"": ""彼の車は駅の近くにあります。"", ""sentence_pattern_hiragana"": ""かれのくるまはえきのちかくにあります。"", ""sentence_pattern_english"": ""His car is near the station."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the structure \""Noun + の + Noun\"" indicates a relationship, such as possession or location. This is a common pattern in Japanese that helps clarify connections between nouns."", ""common_mistake"": ""Beginners often confuse the particles は and が. In this context, は is used to mark the topic (the house), while が is typically used for the subject of a sentence."", ""alternative_expression"": {""kanji"": ""私の家は川の近くにあります。"", ""hiragana"": ""わたしのいえはかわのちかくにあります。"", ""english"": ""My house is near the river.""}, ""new_words_in_alternative"": [{""word"": ""近く"", ""reading"": ""ちかく"", ""meaning"": ""near"", ""description"": ""Noun""}]}}",Vocab,13,~ side,,私の家は川の側にあります。,
N5,,,北,きた,Noun,I will go north.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""北"", ""reading"": ""きた"", ""meaning"": ""north"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""行きます"", ""reading"": ""いきます"", ""meaning"": ""will go"", ""role"": ""Verb, polite form"", ""components"": [{""part"": ""行く"", ""reading"": ""いく"", ""meaning"": ""to go"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's intention to travel in a specific direction, which is north. It indicates a future action in a polite manner."", ""steps"": [""**私** - Refers to the speaker, marking them as the subject of the sentence."", ""**は** - Marks “私” as the topic of the sentence."", ""**北** - Indicates the direction the speaker intends to go."", ""**に** - Indicates the direction or destination of the action."", ""**行きます** - The polite form of the verb “行く,” indicating the action of going in the future.""], ""sentence_pattern"": ""- [Subject] + [は] + [Direction] + [に] + [Verb (polite form)]\n- **Kanji**: 彼は南に行きます。\n- **Hiragana**: かれはみなみにいきます。\n- **English Translation**: He will go south."", ""sentence_pattern_kanji"": ""彼は南に行きます。"", ""sentence_pattern_hiragana"": ""かれはみなみにいきます。"", ""sentence_pattern_english"": ""He will go south."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which helps clarify who is performing the action. In this case, it’s “I” who will go north."", ""common_mistake"": ""Beginners might confuse に with へ. While both can indicate direction, に is used for specific destinations, while へ is more general."", ""alternative_expression"": {""kanji"": ""私は北へ行きます。"", ""hiragana"": ""わたしはきたへいきます。"", ""english"": ""I will go to the north.""}, ""new_words_in_alternative"": [{""word"": ""へ"", ""reading"": ""へ"", ""meaning"": ""[Direction Marker]"", ""description"": ""Particle""}]}}",Vocab,13,north,,私は北に行きます。,
N5,,,銀行,ぎんこう,Noun,I will go to the bank.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""銀行"", ""reading"": ""ぎんこう"", ""meaning"": ""bank"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Target Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""行きます"", ""reading"": ""いきます"", ""meaning"": ""will go"", ""role"": ""Verb, non-past polite form"", ""components"": [{""part"": ""行く"", ""reading"": ""いく"", ""meaning"": ""to go"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's intention to go to the bank. It indicates a future action in a polite manner."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**銀行** - Indicates the destination, “bank.”"", ""**に** - Indicates the direction or target of the action, meaning “to.”"", ""**行きます** - The polite non-past form of “行く,” indicating the action of going.""], ""sentence_pattern"": ""- [Topic] + [は] + [Destination] + [に] + [Verb (polite form)]\n- **Kanji**: 彼は学校に行きます。\n- **Hiragana**: かれはがっこうにいきます。\n- **English Translation**: He will go to school."", ""sentence_pattern_kanji"": ""彼は学校に行きます。"", ""sentence_pattern_hiragana"": ""かれはがっこうにいきます。"", ""sentence_pattern_english"": ""He will go to school."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while に indicates the direction or target of the action. This helps clarify where you are going."", ""common_mistake"": ""Beginners often confuse に with へ. While both can indicate direction, に is used for specific targets (like a bank), while へ is more general."", ""alternative_expression"": {""kanji"": ""私は銀行へ行きます。"", ""hiragana"": ""わたしはぎんこうへいきます。"", ""english"": ""I will go to the bank.""}, ""new_words_in_alternative"": [{""word"": ""へ"", ""reading"": ""へ"", ""meaning"": ""[Direction Marker]"", ""description"": ""Particle""}]}}",Vocab,13,a place where money is kept and managed; a financial institution,,私は銀行に行きます。,
