JLPT,Example Words,Onyomi,Word,Reading,Word Type,Example Sentence EN,breakdown,type,Lesson,Meaning,Kanji,Example Sentence JP,Kunyomi
N5,,,朝御飯,あさごはん,Noun,I eat breakfast every morning.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""毎朝"", ""reading"": ""まいあさ"", ""meaning"": ""every morning"", ""role"": ""Adverbial phrase"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""朝御飯"", ""reading"": ""あさごはん"", ""meaning"": ""breakfast"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""食べます"", ""reading"": ""たべます"", ""meaning"": ""eat"", ""role"": ""Verb, polite present form"", ""components"": [{""part"": ""食べる"", ""reading"": ""たべる"", ""meaning"": ""to eat"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes a daily routine where the speaker regularly eats breakfast every morning. It emphasizes the habitual nature of the action."", ""steps"": [""**私** - Refers to the speaker, marking them as the subject of the sentence."", ""**は** - Marks “私” as the topic of the sentence."", ""**毎朝** - Indicates the frequency of the action, meaning “every morning.”"", ""**朝御飯** - Specifies what is being eaten, which is breakfast."", ""**を** - Marks “朝御飯” as the object of the verb."", ""**食べます** - The polite present form of “食べる,” indicating the action of eating in a respectful manner.""], ""sentence_pattern"": ""- [Subject] + [は] + [Frequency] + [Object] + [を] + [Verb (polite present)]\n- **Kanji**: 彼は毎晩夕食を食べます。\n- **Hiragana**: かれはまいばんゆうしょくをたべます。\n- **English Translation**: He eats dinner every evening."", ""sentence_pattern_kanji"": ""彼は毎晩夕食を食べます。"", ""sentence_pattern_hiragana"": ""かれはまいばんゆうしょくをたべます。"", ""sentence_pattern_english"": ""He eats dinner every evening."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which can help you identify what the sentence is about. In this case, it is about “I” and my action of eating breakfast."", ""common_mistake"": ""Beginners often confuse を with は. Remember that を is used to mark the direct object of the verb (what is being eaten), while は marks the topic of the sentence."", ""alternative_expression"": {""kanji"": ""私は毎朝ご飯を食べます。"", ""hiragana"": ""わたしはまいあさごはんをたべます。"", ""english"": ""I eat rice every morning.""}, ""new_words_in_alternative"": []}}",Vocab,16,breakfast,,私は毎朝朝御飯を食べます。,
N5,,,飴,あめ,Noun,I like candy.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""飴"", ""reading"": ""あめ"", ""meaning"": ""candy"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""好き"", ""reading"": ""すき"", ""meaning"": ""like"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Polite ending particle]"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's personal preference, indicating that they enjoy candy. It is a simple statement about likes or preferences."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**飴** - The object of the speaker's liking, meaning “candy.”"", ""**が** - Marks “飴” as the subject of the liking."", ""**好き** - An adjective that expresses the speaker's affection or preference for the subject."", ""**です** - A polite ending that adds formality to the statement.""], ""sentence_pattern"": ""- [Topic] + [は] + [Subject] + [が] + [Adjective] + [です]\n- **Kanji**: 彼はサッカーが好きです。\n- **Hiragana**: かれはさっかーがすきです。\n- **English Translation**: He likes soccer."", ""sentence_pattern_kanji"": ""彼はサッカーが好きです。"", ""sentence_pattern_hiragana"": ""かれはさっかーがすきです。"", ""sentence_pattern_english"": ""He likes soccer."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while が marks the subject. This distinction helps clarify what you are talking about versus what you are describing."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this sentence, は indicates that the speaker is talking about themselves, while が emphasizes the subject of their liking (candy)."", ""alternative_expression"": {""kanji"": ""私はお菓子が好きです。"", ""hiragana"": ""わたしはおかしがすきです。"", ""english"": ""I like sweets.""}, ""new_words_in_alternative"": []}}",Vocab,16,(hard) candy; sweets,,私は飴が好きです。,
N5,,,お菓子,おかし,Noun,I like sweets.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""お菓子"", ""reading"": ""おかし"", ""meaning"": ""sweets"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""好き"", ""reading"": ""すき"", ""meaning"": ""like"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's personal preference, indicating that they enjoy sweets. It is a simple statement about their likes."", ""steps"": [""**私** - Refers to the speaker, marking them as the topic of the sentence."", ""**は** - Marks “私” as the topic."", ""**お菓子** - The object of the speaker's liking, meaning “sweets.”"", ""**が** - Marks “お菓子” as the subject of the liking."", ""**好き** - An adjective that expresses the speaker's fondness for sweets."", ""**です** - A polite ending that functions as a copula, making the sentence more formal.""], ""sentence_pattern"": ""- [Topic] + [は] + [Subject] + [が] + [Adjective] + [です]\n- **Kanji**: 彼はサッカーが好きです。\n- **Hiragana**: かれはさっかーがすきです。\n- **English Translation**: He likes soccer."", ""sentence_pattern_kanji"": ""彼はサッカーが好きです。"", ""sentence_pattern_hiragana"": ""かれはさっかーがすきです。"", ""sentence_pattern_english"": ""He likes soccer."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は indicates the topic of the sentence, while が marks the subject of the liking. This distinction helps clarify who likes what."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used for the topic (the speaker), and が is used for the subject (the sweets)."", ""alternative_expression"": {""kanji"": ""私は甘いものが好きです。"", ""hiragana"": ""わたしはあまいものがすきです。"", ""english"": ""I like sweet things.""}, ""new_words_in_alternative"": [{""word"": ""甘い"", ""reading"": ""あまい"", ""meaning"": ""sweet"", ""description"": ""Adjective""}, {""word"": ""もの"", ""reading"": ""もの"", ""meaning"": ""things"", ""description"": ""Noun""}]}}",Vocab,16,"sweets, snacks, or confections",,私はお菓子が好きです。,
N5,,,お金,おかね,Noun,I don't have money.,"{""vocabulary"": [{""word"": ""お金"", ""reading"": ""おかね"", ""meaning"": ""money"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""ありません"", ""reading"": ""ありません"", ""meaning"": ""do not have"", ""role"": ""Verb, negative form"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses that the speaker does not possess any money. It is a straightforward declaration of a lack of financial resources."", ""steps"": [""**お金** - Refers to the noun \""money,\"" which is the subject of the sentence."", ""**が** - Marks “お金” as the subject of the sentence."", ""**ありません** - The negative form of the verb “ある,” indicating that the subject does not exist or is not possessed.""], ""sentence_pattern"": ""- [Subject] + [が] + [Verb (negative)]\n- **Kanji**: 彼にはお金がありません。\n- **Hiragana**: かれにはおかねがありません。\n- **English Translation**: He does not have money."", ""sentence_pattern_kanji"": ""彼にはお金がありません。"", ""sentence_pattern_hiragana"": ""かれにはおかねがありません。"", ""sentence_pattern_english"": ""He does not have money."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the particle が is used to mark the subject of the sentence, which is crucial for understanding who or what is being discussed."", ""common_mistake"": ""Beginners often confuse ありません with ない. While both indicate negation, ありません is used for inanimate objects, while ない is used for animate subjects or when referring to verbs."", ""alternative_expression"": {""kanji"": ""お金がない。"", ""hiragana"": ""おかねがない。"", ""english"": ""I have no money.""}, ""new_words_in_alternative"": [{""word"": ""ない"", ""reading"": ""ない"", ""meaning"": ""do not have"", ""description"": ""Verb, negative form""}]}}",Vocab,16,money,,お金がありません。,
N5,,,お酒,おさけ,Noun,I like alcohol.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""お酒"", ""reading"": ""おさけ"", ""meaning"": ""alcohol"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""好き"", ""reading"": ""すき"", ""meaning"": ""like"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Polite ending particle]"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's personal preference for alcohol. It indicates that the speaker enjoys drinking or appreciates alcoholic beverages."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**お酒** - Refers to the subject of the liking, which is “alcohol.”"", ""**が** - Marks “お酒” as the subject of the adjective “好き.”"", ""**好き** - An adjective that expresses liking or preference."", ""**です** - A polite ending that makes the sentence more formal.""], ""sentence_pattern"": ""- [Topic] + [は] + [Subject] + [が] + [Adjective] + [です]\n- **Kanji**: 彼は犬が好きです。\n- **Hiragana**: かれはいぬがすきです。\n- **English Translation**: He likes dogs."", ""sentence_pattern_kanji"": ""彼は犬が好きです。"", ""sentence_pattern_hiragana"": ""かれはいぬがすきです。"", ""sentence_pattern_english"": ""He likes dogs."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while が marks the subject that is being described or liked. This distinction helps clarify what you are talking about."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used to introduce the topic (the speaker), while が is used to indicate what the speaker likes (alcohol)."", ""alternative_expression"": {""kanji"": ""私はアルコールが好きです。"", ""hiragana"": ""わたしはあるこーるがすきです。"", ""english"": ""I like alcohol.""}, ""new_words_in_alternative"": [{""word"": ""アルコール"", ""reading"": ""あるこーる"", ""meaning"": ""alcohol"", ""description"": ""Noun""}]}}",Vocab,16,sake; alcohol; alcoholic beverage,,私はお酒が好きです。,
N5,,,お茶,おちゃ,Noun,I like (green) tea.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""お茶"", ""reading"": ""おちゃ"", ""meaning"": ""(green) tea"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""好き"", ""reading"": ""すき"", ""meaning"": ""like"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Polite ending particle]"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's personal preference for tea, indicating that they enjoy drinking it. It is a simple statement of liking something."", ""steps"": [""**私** - Refers to the speaker, marking them as the topic of the sentence."", ""**は** - Marks “私” as the topic."", ""**お茶** - Specifies what the speaker likes, which is tea."", ""**が** - Marks “お茶” as the subject of the liking."", ""**好き** - An adjective that expresses the feeling of liking."", ""**です** - A polite ending that makes the statement more formal.""], ""sentence_pattern"": ""- [Topic] + [は] + [Subject] + [が] + [Adjective] + [です]\n- **Kanji**: 彼は寿司が好きです。\n- **Hiragana**: かれはすしがすきです。\n- **English Translation**: He likes sushi."", ""sentence_pattern_kanji"": ""彼は寿司が好きです。"", ""sentence_pattern_hiragana"": ""かれはすしがすきです。"", ""sentence_pattern_english"": ""He likes sushi."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while が marks the subject. This distinction helps clarify who or what is being talked about and what is being said about them."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used to introduce the topic (私), while が is used to specify what the speaker likes (お茶)."", ""alternative_expression"": {""kanji"": ""私は緑茶が好きです。"", ""hiragana"": ""わたしはりょくちゃがすきです。"", ""english"": ""I like green tea.""}, ""new_words_in_alternative"": [{""word"": ""緑茶"", ""reading"": ""りょくちゃ"", ""meaning"": ""green tea"", ""description"": ""Noun""}]}}",Vocab,16,(green) tea,,私はお茶が好きです。,
N5,,,お弁当,おべんとう,Noun,I take a boxed lunch to school.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""お弁当"", ""reading"": ""おべんとう"", ""meaning"": ""boxed lunch"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""学校"", ""reading"": ""がっこう"", ""meaning"": ""school"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""行きます"", ""reading"": ""いきます"", ""meaning"": ""go"", ""role"": ""Verb, polite present/future tense"", ""components"": [{""part"": ""行く"", ""reading"": ""いく"", ""meaning"": ""to go"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the action of the speaker taking a boxed lunch to school. It indicates both the object being taken and the destination."", ""steps"": [""**私** - Refers to the speaker, marked as the topic with は."", ""**お弁当** - The object being taken, marked with を."", ""**持って** - The action of holding or taking, in the te-form to connect to the next action."", ""**学校** - The destination of the action, marked with に."", ""**行きます** - The polite present/future tense of “to go,” indicating the action of going to school.""], ""sentence_pattern"": ""- [Topic] + [は] + [Object] + [を] + [Verb (te-form)] + [Location] + [に] + [Verb (polite)]\n- **Kanji**: 彼は本を持って図書館に行きます。\n- **Hiragana**: かれはほんをもってとしょかんにいきます。\n- **English Translation**: He takes a book to the library."", ""sentence_pattern_kanji"": ""彼は本を持って図書館に行きます。"", ""sentence_pattern_hiragana"": ""かれはほんをもってとしょかんにいきます。"", ""sentence_pattern_english"": ""He takes a book to the library."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the te-form (持って) is used to connect actions, making it essential for forming compound sentences. It can also indicate that one action is a prerequisite for another."", ""common_mistake"": ""Beginners often confuse the use of を and に. Remember that を marks the direct object of the verb (what is being taken), while に indicates the destination (where you are going)."", ""alternative_expression"": {""kanji"": ""私はお弁当を持って学校へ行きます。"", ""hiragana"": ""わたしはおべんとうをもってがっこうへいきます。"", ""english"": ""I take a boxed lunch to school.""}, ""new_words_in_alternative"": [{""word"": ""へ"", ""reading"": ""へ"", ""meaning"": ""[Direction Marker]"", ""description"": ""Particle""}]}}",Vocab,16,a boxed lunch,,私はお弁当を持って学校に行きます。,
N5,,,音楽,おんがく,Noun,I like music.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""音楽"", ""reading"": ""おんがく"", ""meaning"": ""music"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""好き"", ""reading"": ""すき"", ""meaning"": ""like"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Polite ending particle]"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's personal preference, indicating that they enjoy music. It is a straightforward statement about their likes."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**音楽** - Refers to “music,” the subject of the liking."", ""**が** - Marks “音楽” as the subject of the adjective “好き.”"", ""**好き** - An adjective meaning “like” or “to be fond of.”"", ""**です** - A polite ending that makes the sentence more formal.""], ""sentence_pattern"": ""- [Topic] + [は] + [Subject] + [が] + [Adjective] + [です]\n- **Kanji**: 彼はサッカーが好きです。\n- **Hiragana**: かれはさっかーがすきです。\n- **English Translation**: He likes soccer."", ""sentence_pattern_kanji"": ""彼はサッカーが好きです。"", ""sentence_pattern_hiragana"": ""かれはさっかーがすきです。"", ""sentence_pattern_english"": ""He likes soccer."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は indicates the topic of the sentence, while が marks the subject that the adjective describes. This distinction is crucial for understanding the structure."", ""common_mistake"": ""Beginners often confuse the use of は and が. Use は for the topic (what you are talking about) and が for the subject (what is being described)."", ""alternative_expression"": {""kanji"": ""私は音楽が大好きです。"", ""hiragana"": ""わたしはおんがくがだいすきです。"", ""english"": ""I love music.""}, ""new_words_in_alternative"": [{""word"": ""大好き"", ""reading"": ""だいすき"", ""meaning"": ""love"", ""description"": ""Adjective""}]}}",Vocab,16,Music,,私は音楽が好きです。,
N5,,,買い物,かいもの,Noun,I will go shopping.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""買い物"", ""reading"": ""かいもの"", ""meaning"": ""shopping"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Target Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""行きます"", ""reading"": ""いきます"", ""meaning"": ""will go"", ""role"": ""Verb, polite form"", ""components"": [{""part"": ""行く"", ""reading"": ""いく"", ""meaning"": ""to go"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's intention to go out for shopping. It indicates a future action that the speaker plans to undertake."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**買い物** - Indicates the activity of shopping."", ""**に** - Indicates the direction or target of the action, meaning “to.”"", ""**行きます** - The polite form of the verb “行く,” indicating the action of going in the future.""], ""sentence_pattern"": ""- [Topic] + [は] + [Activity] + [に] + [Verb (polite form)]\n- **Kanji**: 彼は映画を見に行きます。\n- **Hiragana**: かれはえいがをみにいきます。\n- **English Translation**: He will go to watch a movie."", ""sentence_pattern_kanji"": ""彼は映画を見に行きます。"", ""sentence_pattern_hiragana"": ""かれはえいがをみにいきます。"", ""sentence_pattern_english"": ""He will go to watch a movie."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which helps to clarify what the sentence is about. In this case, it emphasizes that \""I\"" am the one going shopping."", ""common_mistake"": ""Beginners often confuse に with へ. While both can indicate direction, に is used here to specify the target of the action (shopping), while へ is more general and indicates direction."", ""alternative_expression"": {""kanji"": ""私はショッピングに行きます。"", ""hiragana"": ""わたしはしょっぴんぐにいきます。"", ""english"": ""I will go shopping (using the English loanword).""}, ""new_words_in_alternative"": [{""word"": ""ショッピング"", ""reading"": ""しょっぴんぐ"", ""meaning"": ""shopping"", ""description"": ""Noun""}]}}",Vocab,16,shopping,,私は買い物に行きます。,
N5,,,カレー,カレー,Noun,I like curry.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""カレー"", ""reading"": ""かれー"", ""meaning"": ""curry"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""好き"", ""reading"": ""すき"", ""meaning"": ""like"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Polite ending particle]"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's personal preference, indicating that they enjoy eating curry. It is a straightforward statement about likes and dislikes."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**カレー** - The object of the speaker's liking, “curry.”"", ""**が** - Marks “カレー” as the subject of the liking."", ""**好き** - An adjective that expresses the feeling of liking something."", ""**です** - A polite ending that adds formality to the sentence.""], ""sentence_pattern"": ""- [Topic] + [は] + [Subject] + [が] + [Adjective] + [です]\n- **Kanji**: 彼は寿司が好きです。\n- **Hiragana**: かれはすしがすきです。\n- **English Translation**: He likes sushi."", ""sentence_pattern_kanji"": ""彼は寿司が好きです。"", ""sentence_pattern_hiragana"": ""かれはすしがすきです。"", ""sentence_pattern_english"": ""He likes sushi."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while が marks the subject. In this case, you are stating your preference about curry, so it is important to differentiate between the two."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used to introduce the topic (私), while が is used to indicate what is liked (カレー)."", ""alternative_expression"": {""kanji"": ""カレーが好きです。"", ""hiragana"": ""かれーがすきです。"", ""english"": ""I like curry.""}, ""new_words_in_alternative"": []}}",Vocab,16,"curry (a popular dish in Japan, often served with rice)",,私はカレーが好きです。,
