JLPT,Word,Reading,Word Type,Example Sentence EN,breakdown,type,Lesson,Meaning,Example Sentence JP,Example Words
N5,まだ,まだ,Adverb (fukushi),I have not done my homework yet.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""まだ"", ""reading"": ""まだ"", ""meaning"": ""yet"", ""role"": ""Adverb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""宿題"", ""reading"": ""しゅくだい"", ""meaning"": ""homework"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""して"", ""reading"": ""して"", ""meaning"": ""doing"", ""role"": ""Verb, gerund form"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""いません"", ""reading"": ""いません"", ""meaning"": ""not (doing)"", ""role"": ""Verb, negative form"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence conveys that the speaker has not yet completed their homework. It emphasizes the current state of not having done the homework up to this point in time."", ""steps"": [""**私は** - “私” is the topic of the sentence, meaning “I.”"", ""**まだ** - This adverb indicates that the action has not happened up to the present time, translating to “yet.”"", ""**宿題を** - “宿題” is the object of the action, meaning “homework.”"", ""**して** - This is the gerund form of the verb “する” (to do), indicating the action of doing."", ""**いません** - The negative form of “いる,” indicating that the action is not happening.""], ""sentence_pattern"": ""- [Topic] + [は] + [Adverb] + [Object] + [を] + [Verb (gerund)] + [Verb (negative)]\n- **Kanji**: 彼はまだ仕事をしていません。\n- **Hiragana**: かれはまだしごとをしていません。\n- **English Translation**: He has not done his work yet."", ""sentence_pattern_kanji"": ""彼はまだ仕事をしていません。"", ""sentence_pattern_hiragana"": ""かれはまだしごとをしていません。"", ""sentence_pattern_english"": ""He has not done his work yet."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that “まだ” is used to express that something has not happened up to the present moment. It’s a useful word to indicate ongoing situations or actions that are expected to happen in the future."", ""common_mistake"": ""Beginners often confuse the use of “を” and “が.” In this context, “を” is used to mark the object of the verb (homework), while “が” is typically used for the subject of a sentence."", ""alternative_expression"": {""kanji"": ""私は宿題をまだしていません。"", ""hiragana"": ""わたしはしゅくだいをまだしていません。"", ""english"": ""I still have not done my homework.""}, ""new_words_in_alternative"": [{""word"": ""まだ"", ""reading"": ""まだ"", ""meaning"": ""still"", ""description"": ""Adverb""}]}}",Vocab,18,still; not yet,私はまだ宿題をしていません。,
N5,生まれる,うまれる,Ichidan verb,I was born in Japan.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""日本"", ""reading"": ""にほん"", ""meaning"": ""Japan"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""で"", ""reading"": ""で"", ""meaning"": ""[Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""生まれました"", ""reading"": ""うまれました"", ""meaning"": ""was born"", ""role"": ""Verb, past tense"", ""components"": [{""part"": ""生まれる"", ""reading"": ""うまれる"", ""meaning"": ""to be born"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence conveys that the speaker was born in Japan. It provides information about the speaker's origin and establishes a connection to the country."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**日本** - Indicates the location where the action took place."", ""**で** - Indicates the location marker, meaning “in.”"", ""**生まれました** - The past tense of “生まれる,” indicating that the action of being born has been completed.""], ""sentence_pattern"": ""- [Topic] + [は] + [Location] + [で] + [Verb (past tense)]\n- **Kanji**: 彼はアメリカで生まれました。\n- **Hiragana**: かれはあめりかでうまれました。\n- **English Translation**: He was born in America."", ""sentence_pattern_kanji"": ""彼はアメリカで生まれました。"", ""sentence_pattern_hiragana"": ""かれはあめりかでうまれました。"", ""sentence_pattern_english"": ""He was born in America."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which is often the subject, but not always. It helps to focus on what the sentence is about."", ""common_mistake"": ""Beginners might confuse で with へ or に. Remember that で indicates the location where an action takes place, while へ and に indicate direction or destination."", ""alternative_expression"": {""kanji"": ""私は日本に生まれました。"", ""hiragana"": ""わたしはにほんにうまれました。"", ""english"": ""I was born in Japan.""}, ""new_words_in_alternative"": [{""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction Marker]"", ""description"": ""Particle""}]}}",Vocab,18,to be born,私は日本で生まれました。,
N5,知る,しる,Godan verb with 'ru' ending,I know his name.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""彼"", ""reading"": ""かれ"", ""meaning"": ""he / him"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Possessive Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""名前"", ""reading"": ""なまえ"", ""meaning"": ""name"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""知っています"", ""reading"": ""しっています"", ""meaning"": ""know"", ""role"": ""Verb, present continuous"", ""components"": [{""part"": ""知る"", ""reading"": ""しる"", ""meaning"": ""to know"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's knowledge of someone else's name. It indicates a relationship where the speaker is aware of the identity of another person."", ""steps"": [""**私** - Refers to the speaker, marking them as the subject of the sentence."", ""**は** - Marks “私” as the topic of the sentence."", ""**彼** - Refers to the person whose name is being discussed."", ""**の** - Indicates possession, linking “彼” (he) to “名前” (name)."", ""**名前** - The noun that is the object of the knowledge."", ""**を** - Marks “名前” as the direct object of the verb."", ""**知っています** - The present continuous form of “知る,” indicating that the speaker currently knows the name.""], ""sentence_pattern"": ""- [Topic] + [は] + [Possessor] + [の] + [Object] + [を] + [Verb (present continuous)]\n- **Kanji**: 彼女は私の電話番号を知っています。\n- **Hiragana**: かのじょはわたしのでんわばんごうをしっています。\n- **English Translation**: She knows my phone number."", ""sentence_pattern_kanji"": ""彼女は私の電話番号を知っています。"", ""sentence_pattern_hiragana"": ""かのじょはわたしのでんわばんごうをしっています。"", ""sentence_pattern_english"": ""She knows my phone number."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which is often the subject, but it helps to focus on what the sentence is about."", ""common_mistake"": ""Beginners might confuse the use of を and は. Remember that を is used to mark the direct object of the verb, while は is used to mark the topic of the sentence."", ""alternative_expression"": {""kanji"": ""彼の名前を知っている。"", ""hiragana"": ""かれのなまえをしっている。"", ""english"": ""I know his name.""}, ""new_words_in_alternative"": [{""word"": ""知っている"", ""reading"": ""しっている"", ""meaning"": ""know"", ""description"": ""Verb, present continuous""}]}}",Vocab,18,to know,私は彼の名前を知っています。,
N5,初めて,はじめて,Adverb (fukushi),I went to Japan for the first time.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""初めて"", ""reading"": ""はじめて"", ""meaning"": ""for the first time"", ""role"": ""Adverbial phrase"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""日本"", ""reading"": ""にほん"", ""meaning"": ""Japan"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""行きました"", ""reading"": ""いきました"", ""meaning"": ""went"", ""role"": ""Verb, past tense"", ""components"": [{""part"": ""行く"", ""reading"": ""いく"", ""meaning"": ""to go"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses that the speaker has traveled to Japan for the first time. It conveys a sense of novelty and experience related to the trip."", ""steps"": [""**私** - Refers to the subject of the sentence, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**初めて** - Indicates that this is the first time the speaker has done something."", ""**日本** - Specifies the destination, Japan."", ""**に** - Indicates the direction or location of the action, meaning “to.”"", ""**行きました** - The past tense of “行く,” indicating that the action of going has been completed.""], ""sentence_pattern"": ""- [Subject] + [は] + [Adverbial Phrase] + [Location] + [に] + [Verb (past tense)]\n- **Kanji**: 彼は初めてアメリカに行きました。\n- **Hiragana**: かれははじめてあめりかにいきました。\n- **English Translation**: He went to America for the first time."", ""sentence_pattern_kanji"": ""彼は初めてアメリカに行きました。"", ""sentence_pattern_hiragana"": ""かれははじめてあめりかにいきました。"", ""sentence_pattern_english"": ""He went to America for the first time."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that 初めて emphasizes the novelty of the experience. It’s a great way to express that something is new or unique for you."", ""common_mistake"": ""Beginners often confuse the use of に and へ. In this context, に is used to indicate the destination, while へ is more about direction and is less common in this type of sentence."", ""alternative_expression"": {""kanji"": ""私は日本に行くのは初めてです。"", ""hiragana"": ""わたしはにほんにいくのははじめてです。"", ""english"": ""It is my first time going to Japan.""}, ""new_words_in_alternative"": [{""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Nominalizer]"", ""description"": ""Particle""}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Copula]"", ""description"": ""Particle""}]}}",Vocab,18,for the first time,私は初めて日本に行きました。,
N5,もう,もう,Adverb (fukushi),Have you already eaten?,"{""vocabulary"": [{""word"": ""もう"", ""reading"": ""もう"", ""meaning"": ""already"", ""role"": ""Adverb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""食べました"", ""reading"": ""たべました"", ""meaning"": ""have eaten"", ""role"": ""Verb, past tense"", ""components"": [{""part"": ""食べる"", ""reading"": ""たべる"", ""meaning"": ""to eat"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}, {""word"": ""か"", ""reading"": ""か"", ""meaning"": ""[Question Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is a polite inquiry asking if someone has already completed the action of eating. It implies that the speaker is checking on the listener's status regarding a meal."", ""steps"": [""**もう** - Indicates that the action is expected to have been completed by now."", ""**食べました** - The past tense of “食べる,” indicating that the action of eating has occurred."", ""**か** - Marks the sentence as a question, prompting a response.""], ""sentence_pattern"": ""- [Adverb] + [Verb (past tense)] + [Question Marker]\n- **Kanji**: もう食べましたか？\n- **Hiragana**: もうたべましたか？\n- **English Translation**: Have you already eaten?"", ""sentence_pattern_kanji"": ""もう食べましたか？"", ""sentence_pattern_hiragana"": ""もうたべましたか？"", ""sentence_pattern_english"": ""Have you already eaten?"", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that もう is used to express that something is expected to have happened already. It’s a useful word to know when asking about completed actions."", ""common_mistake"": ""Beginners might forget to use か at the end of a question. Always include it to indicate that you are asking something."", ""alternative_expression"": {""kanji"": ""もうご飯を食べましたか？"", ""hiragana"": ""もうごはんをたべましたか？"", ""english"": ""Have you already eaten (your meal)?""}, ""new_words_in_alternative"": []}}",Vocab,18,already; again; more,もう食べましたか？,
N5,昨夜,ゆうべ,Noun,"Last night, I watched a movie with my friend.","{""vocabulary"": [{""word"": ""昨夜"", ""reading"": ""ゆうべ"", ""meaning"": ""last night"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""友達"", ""reading"": ""ともだち"", ""meaning"": ""friend"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""と"", ""reading"": ""と"", ""meaning"": ""with"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""映画"", ""reading"": ""えいが"", ""meaning"": ""movie"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""見ました"", ""reading"": ""みました"", ""meaning"": ""watched"", ""role"": ""Verb, past tense"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes an action that took place in the past, specifically the speaker watching a movie with a friend the previous night. It provides a clear timeframe and context for the action."", ""steps"": [""**昨夜** - Refers to the time when the action took place, meaning \""last night.\"""", ""**友達** - Indicates the companion with whom the action was performed, meaning \""friend.\"""", ""**と** - A particle that connects nouns, indicating \""with.\"""", ""**映画** - The object of the action, meaning \""movie.\"""", ""**を** - Marks \""映画\"" as the direct object of the verb."", ""**見ました** - The past tense of \""見る,\"" indicating that the action of watching has been completed.""], ""sentence_pattern"": ""- [Time] + [Noun (with particle)] + [Noun (object)] + [を] + [Verb (past tense)]\n- **Kanji**: 昨夜、彼は本を読んだ。\n- **Hiragana**: ゆうべ、かれはほんをよんだ。\n- **English Translation**: Last night, he read a book."", ""sentence_pattern_kanji"": ""昨夜、彼は本を読んだ。"", ""sentence_pattern_hiragana"": ""ゆうべ、かれはほんをよんだ。"", ""sentence_pattern_english"": ""Last night, he read a book."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the particle を marks the direct object of the verb. In this case, 映画 is what was watched, so it is marked with を."", ""common_mistake"": ""Beginners often confuse the use of と and に. Remember that と indicates companionship or association (with), while に indicates direction or a target of an action."", ""alternative_expression"": {""kanji"": ""昨夜、友達と一緒に映画を見ました。"", ""hiragana"": ""ゆうべ、ともだちといっしょにえいがをみました。"", ""english"": ""Last night, I watched a movie together with my friend.""}, ""new_words_in_alternative"": [{""word"": ""一緒に"", ""reading"": ""いっしょに"", ""meaning"": ""together"", ""description"": ""Adverb""}]}}",Vocab,18,last night,昨夜、友達と映画を見ました。,
N5,ころ; ごろ,～ころ; ～ごろ,Noun,"Around the time I went to Japan, I met a friend.","{""vocabulary"": [{""word"": ""日本"", ""reading"": ""にほん"", ""meaning"": ""Japan"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""行った"", ""reading"": ""いった"", ""meaning"": ""went"", ""role"": ""Verb, past tense"", ""components"": [{""part"": ""行く"", ""reading"": ""いく"", ""meaning"": ""to go"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}, {""word"": ""ころ"", ""reading"": ""ころ"", ""meaning"": ""around the time"", ""role"": ""Noun/Adverbial phrase"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""友達"", ""reading"": ""ともだち"", ""meaning"": ""friend"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Target Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""会いました"", ""reading"": ""あいました"", ""meaning"": ""met"", ""role"": ""Verb, past tense"", ""components"": [{""part"": ""会う"", ""reading"": ""あう"", ""meaning"": ""to meet"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes a past event where the speaker went to Japan and met a friend during that time. It provides a temporal context for the meeting."", ""steps"": [""**日本に** - Indicates the destination of the action (going to Japan)."", ""**行った** - The past tense of “行く,” showing that the action of going has been completed."", ""**ころ** - Indicates a time frame, suggesting that the meeting occurred around the time of going to Japan."", ""**友達に** - Indicates the target of the action (meeting a friend)."", ""**会いました** - The polite past tense of “会う,” indicating that the action of meeting has been completed.""], ""sentence_pattern"": ""- [Location] + [に] + [Verb (past tense)] + [ころ] + [Target] + [に] + [Verb (past tense)]\n- **Kanji**: 彼はアメリカに行ったころ、友達に会った。\n- **Hiragana**: かれはあめりかにいったころ、ともだちにあった。\n- **English Translation**: Around the time he went to America, he met a friend."", ""sentence_pattern_kanji"": ""彼はアメリカに行ったころ、友達に会った。"", ""sentence_pattern_hiragana"": ""かれはあめりかにいったころ、ともだちにあった。"", ""sentence_pattern_english"": ""Around the time he went to America, he met a friend."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that ころ is used to indicate a time frame and can often be paired with past actions to give context. It helps to think of it as “around the time of.”"", ""common_mistake"": ""Beginners might confuse に as a location marker with other particles like へ or で. Remember that に indicates the direction or target of an action, while へ indicates direction towards a destination."", ""alternative_expression"": {""kanji"": ""日本に行った時、友達に会いました。"", ""hiragana"": ""にほんにいったとき、ともだちにあいました。"", ""english"": ""When I went to Japan, I met a friend.""}, ""new_words_in_alternative"": []}}",Grammar,18,"about, around (time)",日本に行ったころ、友達に会いました。,
N5,まだ〜ていません,まだ〜ていません,Expression,I have not yet done my homework.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""まだ"", ""reading"": ""まだ"", ""meaning"": ""yet"", ""role"": ""Adverb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""宿題"", ""reading"": ""しゅくだい"", ""meaning"": ""homework"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""して"", ""reading"": ""して"", ""meaning"": ""doing"", ""role"": ""Verb, て-form"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""いません"", ""reading"": ""いません"", ""meaning"": ""not exist / not doing"", ""role"": ""Verb, negative form"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses that the speaker has not yet completed their homework. It indicates a current state of not having done the task, emphasizing the word \""yet.\"""", ""steps"": [""**私は** - “I” is marked as the topic of the sentence."", ""**まだ** - Indicates that the action has not been completed up to the present moment."", ""**宿題を** - “homework” is marked as the object of the verb."", ""**して** - The て-form of the verb “する” (to do), which connects to the following verb."", ""**いません** - The negative form of “いる,” indicating that the action of doing homework is not happening.""], ""sentence_pattern"": ""- [Topic] + [は] + [まだ] + [Object] + [を] + [Verb (て-form)] + [いません]\n- **Kanji**: 彼はまだ仕事をしていません。\n- **Hiragana**: かれはまだしごとをしていません。\n- **English Translation**: He has not yet done his work."", ""sentence_pattern_kanji"": ""彼はまだ仕事をしていません。"", ""sentence_pattern_hiragana"": ""かれはまだしごとをしていません。"", ""sentence_pattern_english"": ""He has not yet done his work."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that “まだ” is used to express that something has not happened up to the present time, making it a key word for indicating incomplete actions."", ""common_mistake"": ""Beginners often confuse the use of “を” and “は.” Remember that “を” marks the object of the verb, while “は” marks the topic of the sentence."", ""alternative_expression"": {""kanji"": ""私は宿題をまだしていません。"", ""hiragana"": ""わたしはしゅくだいをまだしていません。"", ""english"": ""I still have not done my homework.""}, ""new_words_in_alternative"": [{""word"": ""まだ"", ""reading"": ""まだ"", ""meaning"": ""still"", ""description"": ""Adverb""}]}}",Grammar,18,have not yet,私はまだ宿題をしていません。,
N5,もう,もう,Adverb (fukushi),Have you already eaten?,"{""vocabulary"": [{""word"": ""もう"", ""reading"": ""もう"", ""meaning"": ""already"", ""role"": ""Adverb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""食べました"", ""reading"": ""たべました"", ""meaning"": ""have eaten"", ""role"": ""Verb, past tense, polite"", ""components"": [{""part"": ""食べる"", ""reading"": ""たべる"", ""meaning"": ""to eat"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}, {""word"": ""か"", ""reading"": ""か"", ""meaning"": ""[Question Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is a polite inquiry about whether someone has already completed the action of eating. It suggests that the speaker is checking on the listener's status regarding a meal."", ""steps"": [""**もう** - Indicates that the action may have already occurred."", ""**食べました** - The polite past tense of “食べる,” indicating that the action of eating has been completed."", ""**か** - Marks the sentence as a question.""], ""sentence_pattern"": ""- [Adverb] + [Verb (past tense, polite)] + [Question Marker]\n- **Kanji**: もう食べましたか？\n- **Hiragana**: もうたべましたか？\n- **English Translation**: Have you already eaten?"", ""sentence_pattern_kanji"": ""もう食べましたか？"", ""sentence_pattern_hiragana"": ""もうたべましたか？"", ""sentence_pattern_english"": ""Have you already eaten?"", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that もう is used to express that something has already happened. It’s a useful word to know when asking about completed actions."", ""common_mistake"": ""Beginners might forget to use か at the end of a question. Always remember to include it to indicate that you are asking something."", ""alternative_expression"": {""kanji"": ""もう食べた？"", ""hiragana"": ""もうたべた？"", ""english"": ""Have you eaten already?""}, ""new_words_in_alternative"": [{""word"": ""食べた"", ""reading"": ""たべた"", ""meaning"": ""ate"", ""description"": ""Verb, past tense""}]}}",Grammar,18,already; anymore; again,もう食べましたか？,
N5,のが下手,のがへた,Expression,I am bad at cooking.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""料理"", ""reading"": ""りょうり"", ""meaning"": ""cooking"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Possessive/Attributive particle]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""下手"", ""reading"": ""へた"", ""meaning"": ""bad at"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's self-assessment regarding their cooking skills, indicating that they consider themselves to be poor at cooking."", ""steps"": [""**私** - Refers to the speaker, marking them as the topic of the sentence."", ""**は** - Marks “私” as the topic of the sentence."", ""**料理** - Indicates the subject matter, which is cooking."", ""**の** - Connects “料理” to the following adjective, indicating that the adjective describes the cooking."", ""**が** - Marks the subject of the adjective phrase, which is “料理の.”"", ""**下手** - Describes the speaker's skill level regarding cooking, meaning “bad at.”"", ""**です** - A polite ending particle that functions as the copula, linking the subject to the description.""], ""sentence_pattern"": ""- [Topic] + [は] + [Noun] + [の] + [が] + [Adjective] + [です]\n- **Kanji**: 彼は日本語が上手です。\n- **Hiragana**: かれはにほんごがじょうずです。\n- **English Translation**: He is good at Japanese."", ""sentence_pattern_kanji"": ""彼は日本語が上手です。"", ""sentence_pattern_hiragana"": ""かれはにほんごがじょうずです。"", ""sentence_pattern_english"": ""He is good at Japanese."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the structure “NounのがAdjectiveです” is used to describe a skill or ability related to that noun. It helps to think of it as saying “I am [adjective] at [noun].”"", ""common_mistake"": ""Beginners often confuse the use of の and が. In this context, の connects the noun (料理) to the adjective (下手), while が marks the subject of the adjective phrase."", ""alternative_expression"": {""kanji"": ""私は料理が下手です。"", ""hiragana"": ""わたしはりょうりがへたです。"", ""english"": ""I am bad at cooking.""}, ""new_words_in_alternative"": [{""word"": ""料理が"", ""reading"": ""りょうりが"", ""meaning"": ""cooking"", ""description"": ""Noun + Subject Marker""}]}}",Grammar,18,to be bad at doing something,私は料理のが下手です。,
