JLPT,Example Words,Onyomi,Word,Reading,Word Type,Example Sentence EN,breakdown,type,Lesson,Meaning,Kanji,Example Sentence JP,Kunyomi
N5,,,本,ほん,Noun,I read a book every day.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""毎日"", ""reading"": ""まいにち"", ""meaning"": ""every day"", ""role"": ""Adverbial phrase"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""本"", ""reading"": ""ほん"", ""meaning"": ""book"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""読みます"", ""reading"": ""よみます"", ""meaning"": ""read"", ""role"": ""Verb, polite form"", ""components"": [{""part"": ""読む"", ""reading"": ""よむ"", ""meaning"": ""to read"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses a habitual action where the speaker reads a book daily. It conveys a routine aspect of the speaker's life."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**毎日** - Indicates the frequency of the action, meaning “every day.”"", ""**本** - The object of the action, meaning “book.”"", ""**を** - Marks “本” as the direct object of the verb."", ""**読みます** - The polite form of the verb “読む,” indicating the action of reading.""], ""sentence_pattern"": ""- [Topic] + [は] + [Frequency] + [Object] + [を] + [Verb (polite form)]\n- **Kanji**: 彼は毎日新聞を読みます。\n- **Hiragana**: かれはまいにちしんぶんをよみます。\n- **English Translation**: He reads the newspaper every day."", ""sentence_pattern_kanji"": ""彼は毎日新聞を読みます。"", ""sentence_pattern_hiragana"": ""かれはまいにちしんぶんをよみます。"", ""sentence_pattern_english"": ""He reads the newspaper every day."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which is often the subject, but not always. It helps to focus on what the sentence is about."", ""common_mistake"": ""Beginners might confuse を with は. Remember that を is used to mark the direct object of the verb, while は is used to indicate the topic of the sentence."", ""alternative_expression"": {""kanji"": ""私は毎日本を読んでいます。"", ""hiragana"": ""わたしはまいにちほんをよんでいます。"", ""english"": ""I am reading a book every day.""}, ""new_words_in_alternative"": [{""word"": ""読んでいます"", ""reading"": ""よんでいます"", ""meaning"": ""am reading"", ""description"": ""Verb, present continuous form""}]}}",Vocab,2,book,,私は毎日本を読みます。,
N5,,,何,なん; なに,Pronoun,What is this?,"{""vocabulary"": [{""word"": ""これ"", ""reading"": ""これ"", ""meaning"": ""this"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""何"", ""reading"": ""なに"", ""meaning"": ""what"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""か"", ""reading"": ""か"", ""meaning"": ""[Question Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is a simple inquiry asking for identification or clarification about an object that is close to the speaker. It is commonly used in everyday conversation when someone wants to know more about something."", ""steps"": [""**これ** - Refers to something that is near the speaker, meaning “this.”"", ""**は** - Marks “これ” as the topic of the sentence."", ""**何** - Asks for information about the topic, meaning “what.”"", ""**です** - A polite form of the verb “to be,” linking the subject to the predicate."", ""**か** - Indicates that the sentence is a question.""], ""sentence_pattern"": ""- [Topic] + [は] + [Question Word] + [ですか]\n- **Kanji**: それは何ですか？\n- **Hiragana**: それはなんですか？\n- **English Translation**: What is that?"", ""sentence_pattern_kanji"": ""それは何ですか？"", ""sentence_pattern_hiragana"": ""それはなんですか？"", ""sentence_pattern_english"": ""What is that?"", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that これ refers to something close to you, while それ refers to something further away. This distinction helps in choosing the correct pronoun based on context."", ""common_mistake"": ""Beginners often forget to include か at the end of a question. Always remember to use か to indicate that you are asking a question."", ""alternative_expression"": {""kanji"": ""これは何ですか？"", ""hiragana"": ""これはなんですか？"", ""english"": ""What is this?""}, ""new_words_in_alternative"": []}}",Vocab,2,what,,これは何ですか？,
N5,,,バス,バス,Noun,I will take the bus.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""バス"", ""reading"": ""ばす"", ""meaning"": ""bus"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Target Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""乗ります"", ""reading"": ""のります"", ""meaning"": ""will take"", ""role"": ""Verb, non-past form"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's intention to take the bus. It indicates a future action in a polite manner."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**バス** - Indicates the vehicle that the speaker will take."", ""**に** - Marks the direction or target of the action, meaning “to” or “at.”"", ""**乗ります** - The polite form of the verb “乗る,” indicating the action of taking or riding will occur.""], ""sentence_pattern"": ""- [Topic] + [は] + [Vehicle] + [に] + [Verb (polite form)]\n- **Kanji**: 彼は電車に乗ります。\n- **Hiragana**: かれはでんしゃにのります。\n- **English Translation**: He will take the train."", ""sentence_pattern_kanji"": ""彼は電車に乗ります。"", ""sentence_pattern_hiragana"": ""かれはでんしゃにのります。"", ""sentence_pattern_english"": ""He will take the train."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which is often the subject. In this case, it emphasizes that “I” am the one taking the bus."", ""common_mistake"": ""Beginners might confuse に with へ. Remember that に indicates the target or direction of the action, while へ indicates direction more generally."", ""alternative_expression"": {""kanji"": ""私はバスに乗る。"", ""hiragana"": ""わたしはばすにのる。"", ""english"": ""I take the bus.""}, ""new_words_in_alternative"": []}}",Vocab,2,bus,,私はバスに乗ります。,
N5,,,話,はなし,Noun,I had an interesting talk with him.,"{""vocabulary"": [{""word"": ""彼"", ""reading"": ""かれ"", ""meaning"": ""he / him"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""と"", ""reading"": ""と"", ""meaning"": ""with"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""面白い"", ""reading"": ""おもしろい"", ""meaning"": ""interesting"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""話"", ""reading"": ""はなし"", ""meaning"": ""talk / story"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [{""part"": ""する"", ""reading"": ""する"", ""meaning"": ""to do"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes an interaction where the speaker had a conversation with someone else (him). It emphasizes that the conversation was interesting."", ""steps"": [""**彼** - Refers to the person the speaker is talking about (him)."", ""**と** - Indicates the companion with whom the action is taking place."", ""**面白い** - Describes the nature of the talk, indicating it was interesting."", ""**話** - The noun that represents the subject of the conversation."", ""**を** - Marks “話” as the object of the verb."", ""**しました** - The past tense of “する,” indicating that the action of having a talk has been completed.""], ""sentence_pattern"": ""- [Subject] + [と] + [Adjective] + [Noun] + [を] + [Verb (past tense)]\n- **Kanji**: 彼と楽しい時間を過ごしました。\n- **Hiragana**: かれとたのしいじかんをすごしました。\n- **English Translation**: I spent a fun time with him."", ""sentence_pattern_kanji"": ""彼と楽しい時間を過ごしました。"", ""sentence_pattern_hiragana"": ""かれとたのしいじかんをすごしました。"", ""sentence_pattern_english"": ""I spent a fun time with him."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that と is used to indicate companionship or association, so it’s often translated as “with.” This helps clarify who you are talking about in the sentence."", ""common_mistake"": ""Beginners sometimes confuse を with は. Remember that を marks the direct object of the verb, while は marks the topic of the sentence."", ""alternative_expression"": {""kanji"": ""彼と面白い会話をしました。"", ""hiragana"": ""かれとおもしろいかいわをしました。"", ""english"": ""I had an interesting conversation with him.""}, ""new_words_in_alternative"": [{""word"": ""会話"", ""reading"": ""かいわ"", ""meaning"": ""conversation"", ""description"": ""Noun""}]}}",Vocab,2,"talk (chat), story",,彼と面白い話をしました。,
N5,,,名前,なまえ,Noun,My name is Tanaka.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Possessive particle]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""名前"", ""reading"": ""なまえ"", ""meaning"": ""name"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""田中"", ""reading"": ""たなか"", ""meaning"": ""Tanaka"", ""role"": ""Proper noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Copula]"", ""role"": ""Auxiliary verb"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence introduces the speaker by stating their name. It is a simple self-introduction commonly used in Japanese."", ""steps"": [""**私** - Refers to the speaker, meaning \""I.\"""", ""**の** - Indicates possession, linking \""私\"" (I) to \""名前\"" (name), meaning \""my.\"""", ""**名前** - Refers to the concept of a name."", ""**は** - Marks \""名前\"" as the topic of the sentence."", ""**田中** - The specific name of the speaker."", ""**です** - A polite ending that functions as a copula, similar to \""is\"" in English.""], ""sentence_pattern"": ""- [Pronoun] + [の] + [Noun] + [は] + [Proper Noun] + [です]\n- **Kanji**: 彼の名前は佐藤です。\n- **Hiragana**: かれのなまえはさとうです。\n- **English Translation**: His name is Sato."", ""sentence_pattern_kanji"": ""彼の名前は佐藤です。"", ""sentence_pattern_hiragana"": ""かれのなまえはさとうです。"", ""sentence_pattern_english"": ""His name is Sato."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that の is used to indicate possession, so 私の means \""my.\"" This structure is very common in Japanese for self-introductions."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used to mark the topic of the sentence (the name), while が would typically be used to indicate the subject of a sentence."", ""alternative_expression"": {""kanji"": ""私の名前は田中です。"", ""hiragana"": ""わたしのなまえはたなかです。"", ""english"": ""My name is Tanaka.""}, ""new_words_in_alternative"": []}}",Vocab,2,name,,私の名前は田中です。,
N5,,,平仮名,ひらがな,Noun,I am studying hiragana.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""平仮名"", ""reading"": ""ひらがな"", ""meaning"": ""hiragana"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""勉強しています"", ""reading"": ""べんきょうしています"", ""meaning"": ""am studying"", ""role"": ""Verb, present continuous"", ""components"": [{""part"": ""勉強"", ""reading"": ""べんきょう"", ""meaning"": ""study"", ""contribution"": ""Noun/Verb""}, {""part"": ""して"", ""reading"": ""して"", ""meaning"": ""doing"", ""contribution"": ""Verb, te-form of する (to do)""}, {""part"": ""います"", ""reading"": ""います"", ""meaning"": ""am"", ""contribution"": ""Auxiliary verb, present continuous form""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence conveys that the speaker is currently engaged in the activity of studying hiragana, which is one of the two main phonetic scripts used in Japanese writing."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**平仮名** - The object of the study, meaning “hiragana.”"", ""**を** - Marks “平仮名” as the direct object of the verb."", ""**勉強しています** - The present continuous form of the verb “勉強する,” indicating that the action of studying is currently happening.""], ""sentence_pattern"": ""- [Topic] + [は] + [Object] + [を] + [Verb (present continuous)]\n- **Kanji**: 彼は日本語を勉強しています。\n- **Hiragana**: かれはにほんごをべんきょうしています。\n- **English Translation**: He is studying Japanese."", ""sentence_pattern_kanji"": ""彼は日本語を勉強しています。"", ""sentence_pattern_hiragana"": ""かれはにほんごをべんきょうしています。"", ""sentence_pattern_english"": ""He is studying Japanese."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while を marks the direct object of the verb. This helps clarify who is doing the action and what the action is directed towards."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used to indicate the topic (the speaker), while が is typically used for the subject of a sentence."", ""alternative_expression"": {""kanji"": ""私はひらがなを学んでいます。"", ""hiragana"": ""わたしはひらがなをまなんでいます。"", ""english"": ""I am learning hiragana.""}, ""new_words_in_alternative"": [{""word"": ""学んで"", ""reading"": ""まなんで"", ""meaning"": ""learning"", ""description"": ""Verb, te-form of 学ぶ (to learn)""}]}}",Vocab,2,a Japanese syllabary used for native Japanese words and grammatical elements,,私は平仮名を勉強しています。,
N5,学生(がくせい): student; 生まれる(うまれる): to be born; 生きる(いきる): to live,せい,,,,,,Kanji,2,life/birth,生,,い
N5,,,ゼロ,ゼロ,Noun,My score was zero.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Possessive particle]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""点数"", ""reading"": ""てんすう"", ""meaning"": ""score"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""ゼロ"", ""reading"": ""ぜろ"", ""meaning"": ""zero"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""でした"", ""reading"": ""でした"", ""meaning"": ""was"", ""role"": ""Verb, past tense"", ""components"": [{""part"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""contribution"": ""Copula""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence conveys that the speaker received a score of zero on a test or assignment. It reflects a completed action or state regarding their performance."", ""steps"": [""**私** - Refers to the speaker, indicating who the score belongs to."", ""**の** - Indicates possession, linking “私” (I) to “点数” (score)."", ""**点数** - The subject of the sentence, meaning “score.”"", ""**は** - Marks “点数” as the topic of the sentence."", ""**ゼロ** - Specifies the value of the score, which is zero."", ""**でした** - The past tense of “です,” indicating that the state of having a score of zero is in the past.""], ""sentence_pattern"": ""- [Subject] + [の] + [Topic] + [は] + [Value] + [でした]\n- **Kanji**: 彼の点数は100でした。\n- **Hiragana**: かれのてんすうはひゃくでした。\n- **English Translation**: His score was 100."", ""sentence_pattern_kanji"": ""彼の点数は100でした。"", ""sentence_pattern_hiragana"": ""かれのてんすうはひゃくでした。"", ""sentence_pattern_english"": ""His score was 100."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that の indicates possession, so 私の means “my.” This is a common structure in Japanese to show ownership."", ""common_mistake"": ""Beginners might confuse the use of は and が. In this context, は is used to mark the topic (the score), while が would typically indicate the subject of a sentence."", ""alternative_expression"": {""kanji"": ""私の点数はゼロだった。"", ""hiragana"": ""わたしのてんすうはぜろだった。"", ""english"": ""My score was zero (informal).""}, ""new_words_in_alternative"": [{""word"": ""だった"", ""reading"": ""だった"", ""meaning"": ""was"", ""description"": ""Verb, informal past tense""}]}}",Vocab,2,zero,,私の点数はゼロでした。,
N5,,,授業,じゅぎょう,Noun,I take classes every day.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""毎日"", ""reading"": ""まいにち"", ""meaning"": ""every day"", ""role"": ""Adverbial phrase"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""授業"", ""reading"": ""じゅぎょう"", ""meaning"": ""class"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""受けます"", ""reading"": ""うけます"", ""meaning"": ""take"", ""role"": ""Verb, polite form"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's routine of attending classes daily. It indicates a regular action in the speaker's life."", ""steps"": [""**私** - Refers to the subject of the sentence, meaning \""I.\"""", ""**は** - Marks “私” as the topic of the sentence."", ""**毎日** - Indicates the frequency of the action, meaning \""every day.\"""", ""**授業** - Refers to the object of the action, meaning \""class.\"""", ""**を** - Marks “授業” as the object of the verb."", ""**受けます** - The polite form of “受ける,” indicating the action of taking classes.""], ""sentence_pattern"": ""- [Subject] + [は] + [Frequency] + [Object] + [を] + [Verb (polite form)]\n- **Kanji**: 彼は毎日仕事をします。\n- **Hiragana**: かれはまいにちしごとをします。\n- **English Translation**: He works every day."", ""sentence_pattern_kanji"": ""彼は毎日仕事をします。"", ""sentence_pattern_hiragana"": ""かれはまいにちしごとをします。"", ""sentence_pattern_english"": ""He works every day."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which helps to clarify what the sentence is about. In this case, it emphasizes that \""I\"" am the one taking classes."", ""common_mistake"": ""Beginners often confuse を with は. Remember that を is used to mark the direct object of the verb, while は marks the topic of the sentence."", ""alternative_expression"": {""kanji"": ""私は毎日クラスを受けます。"", ""hiragana"": ""わたしはまいにちくらすをうけます。"", ""english"": ""I take classes every day.""}, ""new_words_in_alternative"": [{""word"": ""クラス"", ""reading"": ""くらす"", ""meaning"": ""class"", ""description"": ""Noun""}]}}",Vocab,2,a class (in school),,私は毎日授業を受けます。,
N5,学生(がくせい): student; 学校(がっこう): school; 留学(りゅうがく): study abroad,がく,,,,,,Kanji,2,study/learning,学,,まな
