JLPT,Example Words,Onyomi,Word,Reading,Word Type,Example Sentence EN,breakdown,type,Lesson,Meaning,Kanji,Example Sentence JP,Kunyomi
N5,,,あそこ,あそこ,Pronoun,Let's go over there.,"{""vocabulary"": [{""word"": ""あそこ"", ""reading"": ""あそこ"", ""meaning"": ""over there"", ""role"": ""Adverb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""行きましょう"", ""reading"": ""いきましょう"", ""meaning"": ""let's go"", ""role"": ""Verb, volitional form"", ""components"": [{""part"": ""行く"", ""reading"": ""いく"", ""meaning"": ""to go"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses a suggestion or invitation to go to a location indicated by \""あそこ,\"" which means \""over there.\"" It is a friendly way to propose moving to a different place."", ""steps"": [""**あそこ** - Indicates the location being referred to, meaning \""over there.\"""", ""**に** - Marks the direction or destination of the action."", ""**行きましょう** - The volitional form of the verb \""行く,\"" suggesting a collective action or invitation to go.""], ""sentence_pattern"": ""- [Location] + [に] + [Verb (volitional form)]\n- **Kanji**: そこに行きましょう。\n- **Hiragana**: そこにいきましょう。\n- **English Translation**: Let's go there."", ""sentence_pattern_kanji"": ""そこに行きましょう。"", ""sentence_pattern_hiragana"": ""そこにいきましょう。"", ""sentence_pattern_english"": ""Let's go there."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that \""行きましょう\"" is a polite way to suggest doing something together. It’s often used in social situations to invite others."", ""common_mistake"": ""Beginners might confuse \""に\"" with \""へ.\"" While both can indicate direction, \""に\"" is more about the destination, while \""へ\"" can imply direction without a specific endpoint."", ""alternative_expression"": {""kanji"": ""あそこへ行こう。"", ""hiragana"": ""あそこへいこう。"", ""english"": ""Let's go to over there.""}, ""new_words_in_alternative"": [{""word"": ""行こう"", ""reading"": ""いこう"", ""meaning"": ""let's go"", ""description"": ""Verb, volitional form""}]}}",Vocab,3,"that place, over there",,あそこに行きましょう。,
N5,,,あちら,あちら,Pronoun,Let's go that way.,"{""vocabulary"": [{""word"": ""あちら"", ""reading"": ""あちら"", ""meaning"": ""that way"", ""role"": ""Adverb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""行きましょう"", ""reading"": ""いきましょう"", ""meaning"": ""let's go"", ""role"": ""Verb, volitional form"", ""components"": [{""part"": ""行く"", ""reading"": ""いく"", ""meaning"": ""to go"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is a suggestion or invitation to go in a specific direction, indicated by \""あちら.\"" It implies that the speaker is encouraging the listener to accompany them."", ""steps"": [""**あちら** - Indicates the direction or location, meaning \""that way.\"""", ""**に** - Marks the direction of the action, indicating where to go."", ""**行きましょう** - The volitional form of \""行く,\"" suggesting \""let's go.\"" It is a polite way to propose an action.""], ""sentence_pattern"": ""- [Direction] + [に] + [Verb (volitional form)]\n- **Kanji**: こちらに行きましょう。\n- **Hiragana**: こちらにいきましょう。\n- **English Translation**: Let's go this way."", ""sentence_pattern_kanji"": ""こちらに行きましょう。"", ""sentence_pattern_hiragana"": ""こちらにいきましょう。"", ""sentence_pattern_english"": ""Let's go this way."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the volitional form (like 行きましょう) is used to make suggestions or invitations. It’s a friendly way to propose an action together."", ""common_mistake"": ""Beginners might confuse the direction markers. Make sure to use に for indicating direction, as using へ (which indicates direction but is less common in this context) can change the nuance."", ""alternative_expression"": {""kanji"": ""あちらへ行きましょう。"", ""hiragana"": ""あちらへいきましょう。"", ""english"": ""Let's go that way.""}, ""new_words_in_alternative"": [{""word"": ""へ"", ""reading"": ""へ"", ""meaning"": ""[Direction Marker]"", ""description"": ""Particle""}]}}",Vocab,3,"that way (over there, polite)",,あちらに行きましょう。,
N5,,,あっち,あっち,Pronoun,Let's go over there.,"{""vocabulary"": [{""word"": ""あっち"", ""reading"": ""あっち"", ""meaning"": ""over there"", ""role"": ""Adverb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""行きましょう"", ""reading"": ""いきましょう"", ""meaning"": ""let's go"", ""role"": ""Verb, volitional form"", ""components"": [{""part"": ""行く"", ""reading"": ""いく"", ""meaning"": ""to go"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is an invitation or suggestion to go to a specific location indicated by “あっち,” which means “over there.” It implies a shared intention to move in that direction."", ""steps"": [""**あっち** - Indicates the direction or location, meaning “over there.”"", ""**に** - Marks the direction or destination of the action."", ""**行きましょう** - The volitional form of “行く,” suggesting a collective action, meaning “let's go.”""], ""sentence_pattern"": ""- [Direction/Location] + [に] + [Verb (volitional form)]\n- **Kanji**: そこに行きましょう。\n- **Hiragana**: そこにいきましょう。\n- **English Translation**: Let's go there."", ""sentence_pattern_kanji"": ""そこに行きましょう。"", ""sentence_pattern_hiragana"": ""そこにいきましょう。"", ""sentence_pattern_english"": ""Let's go there."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that “行きましょう” is a polite way to suggest doing something together. It’s a friendly invitation, so use it when you want to include others in your plans."", ""common_mistake"": ""Beginners might confuse the particles に and へ. While both can indicate direction, に is used for specific destinations, whereas へ is more general."", ""alternative_expression"": {""kanji"": ""あそこに行こう。"", ""hiragana"": ""あそこにいこう。"", ""english"": ""Let's go over there.""}, ""new_words_in_alternative"": [{""word"": ""あそこ"", ""reading"": ""あそこ"", ""meaning"": ""over there"", ""description"": ""Adverb""}]}}",Vocab,3,over there,,あっちに行きましょう。,
N5,,,あなた,あなた,Pronoun,Are you a student?,"{""vocabulary"": [{""word"": ""あなた"", ""reading"": ""あなた"", ""meaning"": ""you"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""学生"", ""reading"": ""がくせい"", ""meaning"": ""student"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""か"", ""reading"": ""か"", ""meaning"": ""[Question Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is a simple question asking someone if they are a student. It is a polite way to inquire about the person's status or occupation."", ""steps"": [""**あなた** - Refers to the person being addressed, meaning \""you.\"""", ""**は** - Marks “あなた” as the topic of the sentence."", ""**学生** - Indicates the subject of the inquiry, which is \""student.\"""", ""**です** - A polite ending that functions like \""is\"" in English, linking the subject to the predicate."", ""**か** - Indicates that the sentence is a question.""], ""sentence_pattern"": ""- [Topic] + [は] + [Noun] + [です] + [か]\n- **Kanji**: 彼は先生ですか？\n- **Hiragana**: かれはせんせいですか？\n- **English Translation**: Is he a teacher?"", ""sentence_pattern_kanji"": ""彼は先生ですか？"", ""sentence_pattern_hiragana"": ""かれはせんせいですか？"", ""sentence_pattern_english"": ""Is he a teacher?"", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which is often the subject but can also be broader. In this case, it emphasizes the person being asked about."", ""common_mistake"": ""Beginners might confuse the use of は and が. In this context, は is used to indicate the topic (you), while が is typically used for the subject of a sentence."", ""alternative_expression"": {""kanji"": ""あなたは学んでいますか？"", ""hiragana"": ""あなたはまなんでいますか？"", ""english"": ""Are you studying?""}, ""new_words_in_alternative"": [{""word"": ""学んでいます"", ""reading"": ""まなんでいます"", ""meaning"": ""are studying"", ""description"": ""Verb, present continuous form""}]}}",Vocab,3,you,,あなたは学生ですか？,
N5,,,あれ,あれ,Pronoun,That is my book.,"{""vocabulary"": [{""word"": ""あれ"", ""reading"": ""あれ"", ""meaning"": ""that"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I / my"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Possessive Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""本"", ""reading"": ""ほん"", ""meaning"": ""book"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence identifies an object (a book) and states that it belongs to the speaker. It is a simple declarative sentence that conveys possession."", ""steps"": [""**あれ** - Refers to something that is not close to the speaker, meaning \""that.\"""", ""**は** - Marks \""あれ\"" as the topic of the sentence."", ""**私** - Indicates the speaker, meaning \""I\"" or \""my.\"""", ""**の** - Indicates possession, linking \""私\"" to \""本.\"""", ""**本** - Refers to the object in question, meaning \""book.\"""", ""**です** - A polite ending that functions as the verb \""is.\""""], ""sentence_pattern"": ""- [Topic] + [は] + [Possessor] + [の] + [Possessed Item] + [です]\n- **Kanji**: これは私のペンです。\n- **Hiragana**: これはわたしのぺんです。\n- **English Translation**: This is my pen."", ""sentence_pattern_kanji"": ""これは私のペンです。"", ""sentence_pattern_hiragana"": ""これはわたしのぺんです。"", ""sentence_pattern_english"": ""This is my pen."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the particle の indicates possession, similar to the English \""'s\"" (as in \""my\""). This helps clarify relationships between nouns."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used to mark the topic (the thing being talked about), while が is typically used for the subject of a sentence."", ""alternative_expression"": {""kanji"": ""あれは私の書籍です。"", ""hiragana"": ""あれはわたしのしょせきです。"", ""english"": ""That is my publication/book.""}, ""new_words_in_alternative"": [{""word"": ""書籍"", ""reading"": ""しょせき"", ""meaning"": ""publication/book"", ""description"": ""Noun""}]}}",Vocab,3,that one (over there),,あれは私の本です。,
N5,,,行く,いく; ゆく,Godan verb - Iku/Yuku special class,I go to school.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""学校"", ""reading"": ""がっこう"", ""meaning"": ""school"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""行く"", ""reading"": ""いく"", ""meaning"": ""to go"", ""role"": ""Verb, dictionary form"", ""components"": [{""part"": ""行"", ""reading"": ""い"", ""meaning"": ""go"", ""contribution"": ""Verb root""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's action of going to school. It indicates a routine or planned activity, commonly used in everyday conversation."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**学校** - Indicates the destination, “school.”"", ""**に** - Indicates the direction or location where the action is directed, meaning “to.”"", ""**行く** - The dictionary form of the verb meaning “to go,” indicating the action being taken.""], ""sentence_pattern"": ""- [Topic] + [は] + [Destination] + [に] + [Verb (dictionary form)]\n- **Kanji**: 彼は公園に行く。\n- **Hiragana**: かれはこうえんにいく。\n- **English Translation**: He goes to the park."", ""sentence_pattern_kanji"": ""彼は公園に行く。"", ""sentence_pattern_hiragana"": ""かれはこうえんにいく。"", ""sentence_pattern_english"": ""He goes to the park."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while に indicates the direction or destination of the action. This structure helps clarify where you are going."", ""common_mistake"": ""Beginners often confuse に with へ. While both can indicate direction, に is used for specific locations, while へ is more general and indicates direction towards a place."", ""alternative_expression"": {""kanji"": ""私は学校へ行く。"", ""hiragana"": ""わたしはがっこうへいく。"", ""english"": ""I go to school.""}, ""new_words_in_alternative"": [{""word"": ""へ"", ""reading"": ""へ"", ""meaning"": ""[Direction Marker]"", ""description"": ""Particle""}]}}",Vocab,3,to go,,私は学校に行く。,
N5,,,いつ,いつ,Pronoun,When do you go to school?,"{""vocabulary"": [{""word"": ""いつ"", ""reading"": ""いつ"", ""meaning"": ""when"", ""role"": ""Adverb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""学校"", ""reading"": ""がっこう"", ""meaning"": ""school"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Target Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""行きます"", ""reading"": ""いきます"", ""meaning"": ""go"", ""role"": ""Verb, polite form"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""か"", ""reading"": ""か"", ""meaning"": ""[Question Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is a question asking about the time when someone goes to school. It is a polite way to inquire about the schedule or routine of the listener."", ""steps"": [""**いつ** - Asks for the time or date."", ""**学校** - Specifies the place being referred to, which is school."", ""**に** - Indicates the direction or target of the action (going to school)."", ""**行きます** - The polite form of the verb “行く” (to go), indicating the action of going."", ""**か** - Marks the sentence as a question.""], ""sentence_pattern"": ""- [Question Word] + [Place] + [に] + [Verb (polite form)] + [Question Marker]\n- **Kanji**: いつ学校に行きますか？\n- **Hiragana**: いつがっこうにいきますか？\n- **English Translation**: When do you go to school?"", ""sentence_pattern_kanji"": ""いつ学校に行きますか？"", ""sentence_pattern_hiragana"": ""いつがっこうにいきますか？"", ""sentence_pattern_english"": ""When do you go to school?"", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that いつ is always used to ask about time. Pairing it with a place and a verb helps you form a complete question about when an action occurs."", ""common_mistake"": ""Beginners often forget to use the question marker か at the end of a question. Always include it to indicate that you are asking something."", ""alternative_expression"": {""kanji"": ""学校に行くのはいつですか？"", ""hiragana"": ""がっこうにいくのはいつですか？"", ""english"": ""When do you go to school?""}, ""new_words_in_alternative"": [{""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Nominalizer]"", ""description"": ""Particle""}]}}",Vocab,3,when,,いつ学校に行きますか？,
N5,,,帰る,かえる,Godan verb with 'ru' ending,I go home from school.,"{""vocabulary"": [{""word"": ""学校"", ""reading"": ""がっこう"", ""meaning"": ""school"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""から"", ""reading"": ""から"", ""meaning"": ""from"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""帰る"", ""reading"": ""かえる"", ""meaning"": ""to go home"", ""role"": ""Verb, dictionary form"", ""components"": [{""part"": ""帰"", ""reading"": ""かえ"", ""meaning"": ""return"", ""contribution"": ""Verb root""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the action of returning home after being at school. It indicates the direction of the action, emphasizing the starting point (school) and the destination (home)."", ""steps"": [""**学校** - Refers to the place where the speaker is coming from, which is school."", ""**から** - Indicates the starting point of the action, meaning “from.”"", ""**帰る** - The dictionary form of the verb meaning “to go home” or “to return.”""], ""sentence_pattern"": ""- [Place] + [から] + [Verb]\n- **Kanji**: 彼は会社から帰る。\n- **Hiragana**: かれはかいしゃからかえる。\n- **English Translation**: He goes home from the company."", ""sentence_pattern_kanji"": ""彼は会社から帰る。"", ""sentence_pattern_hiragana"": ""かれはかいしゃからかえる。"", ""sentence_pattern_english"": ""He goes home from the company."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that から indicates the starting point of an action. In this case, it shows that the action of going home starts from school."", ""common_mistake"": ""Beginners might confuse から with へ or に. Remember that から is used to indicate the origin of the action, while へ and に indicate direction or destination."", ""alternative_expression"": {""kanji"": ""学校を出て帰る。"", ""hiragana"": ""がっこうをでてかえる。"", ""english"": ""I leave school and go home.""}, ""new_words_in_alternative"": [{""word"": ""出て"", ""reading"": ""でて"", ""meaning"": ""to leave"", ""description"": ""Verb, te-form""}]}}",Vocab,3,"to go back, to go home, to return",,学校から帰る。,
N5,,,来る,くる,Verb,My friend is coming.,"{""vocabulary"": [{""word"": ""友達"", ""reading"": ""ともだち"", ""meaning"": ""friend"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""来る"", ""reading"": ""くる"", ""meaning"": ""to come"", ""role"": ""Verb, dictionary form"", ""components"": [{""part"": ""来"", ""reading"": ""く"", ""meaning"": ""come"", ""contribution"": ""Verb root""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence indicates that a friend is on their way or is expected to arrive. It conveys a simple action happening in the present or near future."", ""steps"": [""**友達** - Refers to the subject of the sentence, meaning “friend.”"", ""**が** - Marks “友達” as the subject of the sentence."", ""**来る** - The dictionary form of the verb meaning “to come,” indicating the action that the subject is performing.""], ""sentence_pattern"": ""- [Subject] + [が] + [Verb (dictionary form)]\n- **Kanji**: 彼が来る。\n- **Hiragana**: かれがくる。\n- **English Translation**: He is coming."", ""sentence_pattern_kanji"": ""彼が来る。"", ""sentence_pattern_hiragana"": ""かれがくる。"", ""sentence_pattern_english"": ""He is coming."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that が is used to mark the subject of the sentence, which is important for understanding who is performing the action."", ""common_mistake"": ""Beginners often confuse が with は. While は indicates the topic of the sentence, が specifically marks the subject performing the action."", ""alternative_expression"": {""kanji"": ""友達が来ます。"", ""hiragana"": ""ともだちがきます。"", ""english"": ""My friend will come.""}, ""new_words_in_alternative"": [{""word"": ""来ます"", ""reading"": ""きます"", ""meaning"": ""will come"", ""description"": ""Verb, polite form""}]}}",Vocab,3,to come,,友達が来る。,
N5,,,こちら,こちら,Pronoun,Please come this way.,"{""vocabulary"": [{""word"": ""こちら"", ""reading"": ""こちら"", ""meaning"": ""this way"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Target Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""来て"", ""reading"": ""きて"", ""meaning"": ""come"", ""role"": ""Verb, te-form"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""ください"", ""reading"": ""ください"", ""meaning"": ""please"", ""role"": ""Polite request expression"", ""components"": [{""part"": ""来る"", ""reading"": ""くる"", ""meaning"": ""to come"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is a polite request asking someone to approach or move towards the speaker. It is often used in situations where guidance or direction is needed."", ""steps"": [""**こちら** - Refers to the direction or location that is close to the speaker, meaning \""this way.\"""", ""**に** - Indicates the target direction of the action, which is \""to this way.\"""", ""**来て** - The te-form of the verb 来る (くる), which means \""to come.\"" The te-form is used here to connect to the next part of the sentence."", ""**ください** - A polite way to make a request, meaning \""please.\""""], ""sentence_pattern"": ""- [Direction/Location] + [に] + [Verb (te-form)] + [ください]\n- **Kanji**: そちらに来てください。\n- **Hiragana**: そちらにきてください。\n- **English Translation**: Please come that way."", ""sentence_pattern_kanji"": ""そちらに来てください。"", ""sentence_pattern_hiragana"": ""そちらにきてください。"", ""sentence_pattern_english"": ""Please come that way."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the te-form (来て) is essential for making polite requests in Japanese. It connects the action to the request smoothly."", ""common_mistake"": ""Beginners often forget to use the polite form ください after the te-form. Always include it when making requests to sound polite."", ""alternative_expression"": {""kanji"": ""こちらへ来てください。"", ""hiragana"": ""こちらへきてください。"", ""english"": ""Please come this way.""}, ""new_words_in_alternative"": [{""word"": ""へ"", ""reading"": ""へ"", ""meaning"": ""[Direction Marker]"", ""description"": ""Particle""}]}}",Vocab,3,this way (polite); this person (polite),,こちらに来てください。,
