JLPT,Example Words,Onyomi,Word,Reading,Word Type,Example Sentence EN,breakdown,type,Lesson,Meaning,Kanji,Example Sentence JP,Kunyomi
N5,,,兄,あに,Noun,My older brother is a student.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Possessive Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""兄"", ""reading"": ""あに"", ""meaning"": ""older brother"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""学生"", ""reading"": ""がくせい"", ""meaning"": ""student"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Copula]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence introduces the speaker's older brother and states his current status as a student. It establishes a relationship and provides information about the brother's role."", ""steps"": [""**私** - Refers to the speaker, indicating possession."", ""**の** - Indicates that the following noun (兄) belongs to the speaker."", ""**兄** - Specifies the subject of the sentence, the older brother."", ""**は** - Marks “兄” as the topic of the sentence."", ""**学生** - Indicates the occupation or status of the brother."", ""**です** - A polite ending particle that functions as a copula, linking the subject to the predicate.""], ""sentence_pattern"": ""- [Possessor] + [の] + [Possessed] + [は] + [Predicate] + [です]\n- **Kanji**: 彼の弟は学生です。\n- **Hiragana**: かれのいもうとはがくせいです。\n- **English Translation**: His younger brother is a student."", ""sentence_pattern_kanji"": ""彼の弟は学生です。"", ""sentence_pattern_hiragana"": ""かれのいもうとはがくせいです。"", ""sentence_pattern_english"": ""His younger brother is a student."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that の is used to show possession, similar to the English apostrophe-s ('s). It connects the possessor (私) to the possessed (兄)."", ""common_mistake"": ""Beginners often confuse は and が. In this sentence, は is used to mark the topic (兄), while が would typically be used to emphasize the subject or introduce new information."", ""alternative_expression"": {""kanji"": ""兄は学生です。"", ""hiragana"": ""あにはがくせいです。"", ""english"": ""My older brother is a student.""}, ""new_words_in_alternative"": [{""word"": ""兄"", ""reading"": ""あに"", ""meaning"": ""older brother"", ""description"": ""Noun""}]}}",Vocab,6,(my) older brother,,私の兄は学生です。,
N5,,,姉,あね,Noun,My older sister is a student.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Possessive particle]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""姉"", ""reading"": ""あね"", ""meaning"": ""older sister"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""学生"", ""reading"": ""がくせい"", ""meaning"": ""student"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence introduces the speaker's older sister and states her status as a student. It provides a simple identification of a family member and her role."", ""steps"": [""**私** - Refers to the speaker, meaning \""I.\"""", ""**の** - Indicates possession, linking \""私\"" (I) to \""姉\"" (older sister), meaning \""my.\"""", ""**姉** - Refers to the speaker's older sister."", ""**は** - Marks \""姉\"" as the topic of the sentence."", ""**学生** - Refers to the subject's status, meaning \""student.\"""", ""**です** - A polite ending that indicates the state of being, equivalent to \""is.\""""], ""sentence_pattern"": ""- [Possessor] + [の] + [Possessed] + [は] + [Noun] + [です]\n- **Kanji**: 彼の兄は先生です。\n- **Hiragana**: かれのあにはせんせいです。\n- **English Translation**: His older brother is a teacher."", ""sentence_pattern_kanji"": ""彼の兄は先生です。"", ""sentence_pattern_hiragana"": ""かれのあにはせんせいです。"", ""sentence_pattern_english"": ""His older brother is a teacher."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that の is used to show possession, linking the speaker to their family member. This structure is common in Japanese for indicating relationships."", ""common_mistake"": ""Beginners often confuse は and が. In this context, は is used to mark the topic (the older sister), while が would typically be used to emphasize the subject or introduce new information."", ""alternative_expression"": {""kanji"": ""私の姉は大学生です。"", ""hiragana"": ""わたしのあねはだいがくせいです。"", ""english"": ""My older sister is a university student.""}, ""new_words_in_alternative"": [{""word"": ""大学生"", ""reading"": ""だいがくせい"", ""meaning"": ""university student"", ""description"": ""Noun""}]}}",Vocab,6,(my) older sister,,私の姉は学生です。,
N5,,,医者,いしゃ,Noun,I want to become a doctor.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""医者"", ""reading"": ""いしゃ"", ""meaning"": ""doctor"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Goal Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""なりたい"", ""reading"": ""なりたい"", ""meaning"": ""want to become"", ""role"": ""Verb, potential form"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Polite ending particle]"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's desire to pursue a career as a doctor. It conveys a personal aspiration and is stated in a polite manner."", ""steps"": [""**私** - Refers to the speaker, indicating who wants to become a doctor."", ""**は** - Marks “私” as the topic of the sentence."", ""**医者** - Specifies the profession the speaker wants to pursue."", ""**に** - Indicates the direction or goal of the action, which is becoming a doctor."", ""**なりたい** - The potential form of the verb “なる” (to become), indicating desire."", ""**です** - A polite ending that adds formality to the statement.""], ""sentence_pattern"": ""- [Topic] + [は] + [Noun] + [に] + [Verb (potential form)] + [です]\n- **Kanji**: 彼はエンジニアになりたいです。\n- **Hiragana**: かれはえんじにあになりたいです。\n- **English Translation**: He wants to become an engineer."", ""sentence_pattern_kanji"": ""彼はエンジニアになりたいです。"", ""sentence_pattern_hiragana"": ""かれはえんじにあになりたいです。"", ""sentence_pattern_english"": ""He wants to become an engineer."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the structure “[Noun] に なりたい” is a common way to express a desire to become something. It’s a straightforward pattern to follow."", ""common_mistake"": ""Beginners often confuse the use of に and へ. In this context, に is used to indicate the goal of becoming a doctor, while へ indicates direction towards a place."", ""alternative_expression"": {""kanji"": ""私は医者になりたがっています。"", ""hiragana"": ""わたしはいしゃになりたがっています。"", ""english"": ""I am wanting to become a doctor.""}, ""new_words_in_alternative"": [{""word"": ""なりたがっています"", ""reading"": ""なりたがっています"", ""meaning"": ""wanting to become"", ""description"": ""Verb, potential form with desire nuance""}]}}",Vocab,6,doctor; physician,,私は医者になりたいです。,
N5,,,妹,いもうと,Noun,My younger sister is a student.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Possessive particle]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""妹"", ""reading"": ""いもうと"", ""meaning"": ""younger sister"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""学生"", ""reading"": ""がくせい"", ""meaning"": ""student"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Copula]"", ""role"": ""Auxiliary verb"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence states that the speaker's younger sister is a student. It provides information about the speaker's family and the current status of the younger sister."", ""steps"": [""**私の** - \""My\"" indicates possession, showing that the younger sister belongs to the speaker."", ""**妹** - Refers to the younger sister, the subject of the sentence."", ""**は** - Marks “妹” as the topic of the sentence."", ""**学生** - Indicates the role or status of the younger sister."", ""**です** - A polite ending that functions as the verb “to be,” linking the subject to its description.""], ""sentence_pattern"": ""- [Possessor] + [の] + [Topic] + [は] + [Noun] + [です]\n- **Kanji**: 彼の兄は先生です。\n- **Hiragana**: かれのあにはせんせいです。\n- **English Translation**: His older brother is a teacher."", ""sentence_pattern_kanji"": ""彼の兄は先生です。"", ""sentence_pattern_hiragana"": ""かれのあにはせんせいです。"", ""sentence_pattern_english"": ""His older brother is a teacher."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that の indicates possession, so 私の means \""my.\"" This structure is common in Japanese to show relationships or ownership."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used to mark the topic (the younger sister), while が would typically be used to emphasize the subject."", ""alternative_expression"": {""kanji"": ""私の妹は勉強しています。"", ""hiragana"": ""わたしのいもうとはべんきょうしています。"", ""english"": ""My younger sister is studying.""}, ""new_words_in_alternative"": [{""word"": ""勉強"", ""reading"": ""べんきょう"", ""meaning"": ""study"", ""description"": ""Noun/Verb""}, {""word"": ""しています"", ""reading"": ""しています"", ""meaning"": ""is doing"", ""description"": ""Verb, present continuous""}]}}",Vocab,6,younger sister,,私の妹は学生です。,
N5,,,お母さん,おかあさん,Noun,My mother is good at cooking.,"{""vocabulary"": [{""word"": ""お母さん"", ""reading"": ""おかあさん"", ""meaning"": ""mother"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""料理"", ""reading"": ""りょうり"", ""meaning"": ""cooking"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""上手"", ""reading"": ""じょうず"", ""meaning"": ""good at"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula/Polite ending"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses a positive statement about the speaker's mother, specifically highlighting her skill in cooking. It conveys admiration for her culinary abilities."", ""steps"": [""**お母さん** - Refers to the subject of the sentence, the mother."", ""**は** - Marks “お母さん” as the topic of the sentence."", ""**料理** - Indicates the activity in which she excels, which is cooking."", ""**が** - Marks “料理” as the subject of the adjective “上手.”"", ""**上手** - Describes the skill level, meaning “good at.”"", ""**です** - A polite ending that confirms the statement.""], ""sentence_pattern"": ""- [Topic] + [は] + [Subject] + [が] + [Adjective] + [です]\n- **Kanji**: 彼はサッカーが上手です。\n- **Hiragana**: かれはさっかーがじょうずです。\n- **English Translation**: He is good at soccer."", ""sentence_pattern_kanji"": ""彼はサッカーが上手です。"", ""sentence_pattern_hiragana"": ""かれはさっかーがじょうずです。"", ""sentence_pattern_english"": ""He is good at soccer."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while が marks the subject of the adjective. This helps clarify who or what is being described."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は indicates the topic (the mother), while が specifies the subject of the adjective (cooking)."", ""alternative_expression"": {""kanji"": ""お母さんは料理が得意です。"", ""hiragana"": ""おかあさんはりょうりがとくいです。"", ""english"": ""My mother is skilled at cooking.""}, ""new_words_in_alternative"": [{""word"": ""得意"", ""reading"": ""とくい"", ""meaning"": ""skilled at"", ""description"": ""Adjective""}]}}",Vocab,6,mother,,お母さんは料理が上手です。,
N5,,,伯父; 叔父さん,おじさん,Noun,My uncle is very kind.,"{""vocabulary"": [{""word"": ""おじさん"", ""reading"": ""おじさん"", ""meaning"": ""uncle"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""とても"", ""reading"": ""とても"", ""meaning"": ""very"", ""role"": ""Adverb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""優しい"", ""reading"": ""やさしい"", ""meaning"": ""kind"", ""role"": ""Adjective, i-adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes a characteristic of the speaker's uncle, emphasizing that he is very kind. It provides a positive attribute about him."", ""steps"": [""**おじさん** - Refers to the subject of the sentence, the uncle."", ""**は** - Marks “おじさん” as the topic of the sentence."", ""**とても** - An adverb that intensifies the adjective that follows, meaning “very.”"", ""**優しい** - An i-adjective that describes the uncle as kind."", ""**です** - A copula used to end the sentence politely, indicating the state of being.""], ""sentence_pattern"": ""- [Topic] + [は] + [Adverb] + [Adjective] + [です]\n- **Kanji**: 彼はとても面白いです。\n- **Hiragana**: かれはとてもおもしろいです。\n- **English Translation**: He is very interesting."", ""sentence_pattern_kanji"": ""彼はとても面白いです。"", ""sentence_pattern_hiragana"": ""かれはとてもおもしろいです。"", ""sentence_pattern_english"": ""He is very interesting."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which is often the subject but can also be other elements. The use of とても helps to emphasize the quality described by the adjective."", ""common_mistake"": ""Beginners sometimes confuse the use of です with other forms of the verb \""to be.\"" In Japanese, です is used for politeness and is often added at the end of sentences."", ""alternative_expression"": {""kanji"": ""おじさんはすごく優しいです。"", ""hiragana"": ""おじさんはすごくやさしいです。"", ""english"": ""My uncle is really kind.""}, ""new_words_in_alternative"": [{""word"": ""すごく"", ""reading"": ""すごく"", ""meaning"": ""really"", ""description"": ""Adverb""}]}}",Vocab,6,uncle,,おじさんはとても優しいです。,
N5,,,おじいさん,おじいさん,Noun,My grandfather is taking a walk in the park.,"{""vocabulary"": [{""word"": ""おじいさん"", ""reading"": ""おじいさん"", ""meaning"": ""grandfather"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""公園"", ""reading"": ""こうえん"", ""meaning"": ""park"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""で"", ""reading"": ""で"", ""meaning"": ""[Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""散歩"", ""reading"": ""さんぽ"", ""meaning"": ""walk"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""しています"", ""reading"": ""しています"", ""meaning"": ""is doing"", ""role"": ""Verb, present continuous"", ""components"": [{""part"": ""する"", ""reading"": ""する"", ""meaning"": ""to do"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes an action where the speaker's grandfather is currently engaged in taking a walk at a park. It conveys a sense of ongoing activity."", ""steps"": [""**おじいさん** - Refers to the subject of the sentence, the grandfather."", ""**は** - Marks “おじいさん” as the topic of the sentence."", ""**公園** - Indicates the location where the action is taking place."", ""**で** - Indicates that the action is occurring at the park."", ""**散歩** - Refers to the activity of walking."", ""**しています** - The present continuous form of “する,” indicating that the action of walking is currently in progress.""], ""sentence_pattern"": ""- [Topic] + [は] + [Location] + [で] + [Noun] + [Verb (present continuous)]\n- **Kanji**: 彼は学校で勉強しています。\n- **Hiragana**: かれはがっこうでべんきょうしています。\n- **English Translation**: He is studying at school."", ""sentence_pattern_kanji"": ""彼は学校で勉強しています。"", ""sentence_pattern_hiragana"": ""かれはがっこうでべんきょうしています。"", ""sentence_pattern_english"": ""He is studying at school."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while で indicates the location of the action. This helps clarify where the action is taking place."", ""common_mistake"": ""Beginners often confuse で with へ or に. Remember that で is used to indicate the location where an action occurs, while へ and に indicate direction or destination."", ""alternative_expression"": {""kanji"": ""おじいさんは公園を散歩しています。"", ""hiragana"": ""おじいさんはこうえんをさんぽしています。"", ""english"": ""My grandfather is taking a walk in the park.""}, ""new_words_in_alternative"": [{""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""description"": ""Particle""}]}}",Vocab,6,"grandfather, elderly man",,おじいさんは公園で散歩しています。,
N5,,,お父さん,おとうさん,Noun,My father went to work.,"{""vocabulary"": [{""word"": ""お父さん"", ""reading"": ""おとうさん"", ""meaning"": ""father"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""仕事"", ""reading"": ""しごと"", ""meaning"": ""work"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Target Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""行きました"", ""reading"": ""いきました"", ""meaning"": ""went"", ""role"": ""Verb, past tense"", ""components"": [{""part"": ""行く"", ""reading"": ""いく"", ""meaning"": ""to go"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes an action where the speaker's father has completed the act of going to work. It indicates a routine or a specific event in the past."", ""steps"": [""**お父さん** - Refers to the subject of the sentence, the father."", ""**は** - Marks “お父さん” as the topic of the sentence."", ""**仕事** - Indicates the destination or purpose of the action, meaning “work.”"", ""**に** - Indicates the direction or target of the action, meaning “to.”"", ""**行きました** - The past tense of “行く,” indicating that the action of going has been completed.""], ""sentence_pattern"": ""- [Topic] + [は] + [Destination] + [に] + [Verb (past tense)]\n- **Kanji**: 彼は学校に行きました。\n- **Hiragana**: かれはがっこうにいきました。\n- **English Translation**: He went to school."", ""sentence_pattern_kanji"": ""彼は学校に行きました。"", ""sentence_pattern_hiragana"": ""かれはがっこうにいきました。"", ""sentence_pattern_english"": ""He went to school."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which is often the subject, but not always. It helps to focus on what the sentence is about."", ""common_mistake"": ""Beginners might confuse に with へ. Remember that に indicates the target or destination of an action, while へ indicates direction."", ""alternative_expression"": {""kanji"": ""お父さんは仕事へ行きました。"", ""hiragana"": ""おとうさんはしごとへいきました。"", ""english"": ""My father went to work.""}, ""new_words_in_alternative"": [{""word"": ""へ"", ""reading"": ""へ"", ""meaning"": ""[Direction Marker]"", ""description"": ""Particle""}]}}",Vocab,6,"father (informal, used by children)",,お父さんは仕事に行きました。,
N5,,,弟,おとうと,Noun,My younger brother likes soccer.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Possessive particle]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""弟"", ""reading"": ""おとうと"", ""meaning"": ""younger brother"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""サッカー"", ""reading"": ""さっかー"", ""meaning"": ""soccer"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": "" **好き (すき)**: “like” or “fond of” - [Adjective]""}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Polite ending]"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's observation or statement about their younger brother's preference for soccer. It indicates a liking or fondness for the sport."", ""steps"": [""**私の** - Indicates possession, meaning \""my.\"""", ""**弟** - Refers to the subject, \""younger brother.\"""", ""**は** - Marks \""弟\"" as the topic of the sentence."", ""**サッカー** - The object of the liking, \""soccer.\"""", ""**が** - Marks \""サッカー\"" as the subject of the liking."", ""**好き** - An adjective that expresses fondness or liking."", ""**です** - A polite ending that makes the sentence more formal.""], ""sentence_pattern"": ""- [Possessor] + [の] + [Possessed] + [は] + [Object] + [が] + [Adjective] + [です]\n- **Kanji**: 彼の友達は映画が好きです。\n- **Hiragana**: かれのともだちはえいががすきです。\n- **English Translation**: His friend likes movies."", ""sentence_pattern_kanji"": ""彼の友達は映画が好きです。"", ""sentence_pattern_hiragana"": ""かれのともだちはえいががすきです。"", ""sentence_pattern_english"": ""His friend likes movies."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that の indicates possession, so 私の means \""my.\"" This structure is common in Japanese to show ownership."", ""common_mistake"": ""Beginners often confuse は and が. In this sentence, は marks the topic (弟), while が marks the subject of the liking (サッカー)."", ""alternative_expression"": {""kanji"": ""弟はサッカーが好きです。"", ""hiragana"": ""おとうとはさっかーがすきです。"", ""english"": ""My younger brother likes soccer. (without 私)""}, ""new_words_in_alternative"": [{""word"": ""弟"", ""reading"": ""おとうと"", ""meaning"": ""younger brother"", ""description"": ""Noun""}]}}",Vocab,6,younger brother,,私の弟はサッカーが好きです。,
N5,,,おととし,おととし,Noun,"The year before last, I went to Japan.","{""vocabulary"": [{""word"": ""おととし"", ""reading"": ""おととし"", ""meaning"": ""the year before last"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""日本"", ""reading"": ""にほん"", ""meaning"": ""Japan"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""行きました"", ""reading"": ""いきました"", ""meaning"": ""went"", ""role"": ""Verb, past tense"", ""components"": [{""part"": ""行く"", ""reading"": ""いく"", ""meaning"": ""to go"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes an event where the speaker went to Japan two years ago. It establishes a specific time reference in the past."", ""steps"": [""**おととし** - Refers to the year before last, indicating a specific time frame."", ""**は** - Marks “おととし” as the topic of the sentence."", ""**私** - Refers to the speaker, indicating who performed the action."", ""**に** - Indicates the direction or destination of the action."", ""**日本** - Specifies the location to which the speaker went."", ""**行きました** - The past tense of “行く,” indicating that the action of going has been completed.""], ""sentence_pattern"": ""- [Time Reference] + [Topic] + [は] + [Subject] + [に] + [Location] + [Verb (past tense)]\n- **Kanji**: 昨年、私はアメリカに行きました。\n- **Hiragana**: さくねん、わたしはあめりかにいきました。\n- **English Translation**: Last year, I went to America."", ""sentence_pattern_kanji"": ""昨年、私はアメリカに行きました。"", ""sentence_pattern_hiragana"": ""さくねん、わたしはあめりかにいきました。"", ""sentence_pattern_english"": ""Last year, I went to America."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which helps to clarify what the sentence is about. In this case, it emphasizes the time reference of \""the year before last.\"""", ""common_mistake"": ""Beginners might confuse に with へ. Remember that に is used to indicate the destination of the action, while へ indicates direction but is less specific about the destination."", ""alternative_expression"": {""kanji"": ""一昨年、私は日本へ行きました。"", ""hiragana"": ""いっさくねん、わたしはにほんへいきました。"", ""english"": ""The year before last, I went to Japan.""}, ""new_words_in_alternative"": [{""word"": ""一昨年"", ""reading"": ""いっさくねん"", ""meaning"": ""the year before last"", ""description"": ""Noun""}, {""word"": ""へ"", ""reading"": ""へ"", ""meaning"": ""[Direction Marker]"", ""description"": ""Particle""}]}}",Vocab,6,the year before last,,おととし、私は日本に行きました。,
