JLPT,Example Words,Onyomi,Word,Reading,Word Type,Example Sentence EN,breakdown,type,Lesson,Meaning,Kanji,Example Sentence JP,Kunyomi
N5,,,終る,おわる,Godan verb,"When the class finishes, I play with my friends.","{""vocabulary"": [{""word"": ""授業"", ""reading"": ""じゅぎょう"", ""meaning"": ""class"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""終る"", ""reading"": ""おわる"", ""meaning"": ""to finish"", ""role"": ""Verb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""と"", ""reading"": ""と"", ""meaning"": ""when"", ""role"": ""Conjunction/Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""友達"", ""reading"": ""ともだち"", ""meaning"": ""friends"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""と"", ""reading"": ""と"", ""meaning"": ""with"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""遊びます"", ""reading"": ""あそびます"", ""meaning"": ""play"", ""role"": ""Verb, polite form"", ""components"": [{""part"": ""遊ぶ"", ""reading"": ""あそぶ"", ""meaning"": ""to play"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes a sequence of events where the speaker plays with friends after their class has finished. It indicates a cause-and-effect relationship between the completion of the class and the subsequent action of playing."", ""steps"": [""**授業** - Refers to the subject of the sentence, the class."", ""**が** - Marks “授業” as the subject of the verb “終る.”"", ""**終る** - Indicates the action of finishing, which is the main action in the first clause."", ""**と** - A conjunction that indicates a conditional or temporal relationship, meaning “when.”"", ""**友達** - Refers to the friends with whom the speaker will play."", ""**と** - Indicates the company or accompaniment in the action of playing."", ""**遊びます** - The polite form of the verb “遊ぶ,” indicating the action of playing.""], ""sentence_pattern"": ""- [Subject] + [が] + [Verb (to finish)] + [と] + [Object] + [と] + [Verb (polite form)]\n- **Kanji**: 雨が降ると、傘を持ちます。\n- **Hiragana**: あめがふると、かさをもちます。\n- **English Translation**: When it rains, I take an umbrella."", ""sentence_pattern_kanji"": ""雨が降ると、傘を持ちます。"", ""sentence_pattern_hiragana"": ""あめがふると、かさをもちます。"", ""sentence_pattern_english"": ""When it rains, I take an umbrella."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the particle **と** can indicate both a conditional relationship (as in \""when\"") and companionship (as in \""with\""). Context will help you determine its meaning."", ""common_mistake"": ""Beginners often confuse **が** and **は**. In this context, **が** is used to mark the subject of the verb “終る,” while **は** would indicate the topic of the sentence."", ""alternative_expression"": {""kanji"": ""授業が終わったら、友達と遊びます。"", ""hiragana"": ""じゅぎょうがおわったら、ともだちとあそびます。"", ""english"": ""After the class finishes, I play with my friends.""}, ""new_words_in_alternative"": [{""word"": ""終わったら"", ""reading"": ""おわったら"", ""meaning"": ""after finishing"", ""description"": ""Verb, conditional form""}]}}",Vocab,7,"to finish, to end",,授業が終ると、友達と遊びます。,
N5,,,取る,とる,Godan verb,I will take a Japanese class.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""日本語"", ""reading"": ""にほんご"", ""meaning"": ""Japanese (language)"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Possessive/Attributive Particle]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""クラス"", ""reading"": ""くらす"", ""meaning"": ""class"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""取ります"", ""reading"": ""とります"", ""meaning"": ""will take"", ""role"": ""Verb, polite form"", ""components"": [{""part"": ""取る"", ""reading"": ""とる"", ""meaning"": ""to take"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's intention to enroll in or attend a Japanese language class. It indicates a future action."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**日本語** - Specifies the language of the class."", ""**の** - Connects “日本語” to “クラス,” indicating that it is a class of Japanese."", ""**クラス** - Refers to the class itself."", ""**を** - Marks “クラス” as the object of the verb."", ""**取ります** - The polite future form of “取る,” indicating the action of taking a class.""], ""sentence_pattern"": ""- [Topic] + [は] + [Language] + [の] + [Class] + [を] + [Verb (polite form)]\n- **Kanji**: 彼は英語のクラスを取ります。\n- **Hiragana**: かれはえいごのくらすをとります。\n- **English Translation**: He will take an English class."", ""sentence_pattern_kanji"": ""彼は英語のクラスを取ります。"", ""sentence_pattern_hiragana"": ""かれはえいごのくらすをとります。"", ""sentence_pattern_english"": ""He will take an English class."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the particle は marks the topic of the sentence, while を marks the object of the verb. This helps clarify who is doing what in the sentence."", ""common_mistake"": ""Beginners often confuse the use of の and が. In this context, の is used to indicate possession or description (the class of Japanese), while が is typically used to mark the subject of a sentence."", ""alternative_expression"": {""kanji"": ""私は日本語の授業を受けます。"", ""hiragana"": ""わたしはにほんごのじゅぎょうをうけます。"", ""english"": ""I will take a Japanese lesson.""}, ""new_words_in_alternative"": [{""word"": ""授業"", ""reading"": ""じゅぎょう"", ""meaning"": ""lesson"", ""description"": ""Noun""}, {""word"": ""受けます"", ""reading"": ""うけます"", ""meaning"": ""will take"", ""description"": ""Verb, polite form""}]}}",Vocab,7,to take (a class); to get (a grade),,私は日本語のクラスを取ります。,
N5,,,洗う,あらう,Godan verb with 'u' ending,I wash my hands.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""手"", ""reading"": ""て"", ""meaning"": ""hands"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""洗います"", ""reading"": ""あらいます"", ""meaning"": ""wash"", ""role"": ""Verb, non-past polite form"", ""components"": [{""part"": ""洗う"", ""reading"": ""あらう"", ""meaning"": ""to wash"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes a simple action where the speaker is stating that they wash their hands. It is a straightforward expression of a daily activity."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**手** - Indicates the object of the action, which is “hands.”"", ""**を** - Marks “手” as the direct object of the verb."", ""**洗います** - The polite non-past form of “洗う,” indicating the action of washing is performed regularly or is about to happen.""], ""sentence_pattern"": ""- [Subject] + [は] + [Object] + [を] + [Verb (non-past polite)]\n- **Kanji**: 彼は水を飲みます。\n- **Hiragana**: かれはみずをのみます。\n- **English Translation**: He drinks water."", ""sentence_pattern_kanji"": ""彼は水を飲みます。"", ""sentence_pattern_hiragana"": ""かれはみずをのみます。"", ""sentence_pattern_english"": ""He drinks water."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while を marks the object of the action. This helps clarify who is doing what in the sentence."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used to indicate the topic (the speaker), while が is typically used to emphasize the subject of the action."", ""alternative_expression"": {""kanji"": ""私は手を洗う。"", ""hiragana"": ""わたしはてをあらう。"", ""english"": ""I wash my hands.""}, ""new_words_in_alternative"": [{""word"": ""洗う"", ""reading"": ""あらう"", ""meaning"": ""to wash"", ""description"": ""Verb""}]}}",Vocab,7,to wash,,私は手を洗います。,
N5,,,磨く,みがく,Godan verb with 'ku' ending,I brush my teeth every morning.,"{""vocabulary"": [{""word"": ""毎朝"", ""reading"": ""まいあさ"", ""meaning"": ""every morning"", ""role"": ""Noun/Adverbial phrase"", ""components"": [{""part"": ""毎"", ""reading"": ""まい"", ""meaning"": ""every"", ""contribution"": ""Adverb""}, {""part"": ""朝"", ""reading"": ""あさ"", ""meaning"": ""morning"", ""contribution"": ""Noun""}], ""combined_explanation"": """"}, {""word"": ""歯"", ""reading"": ""は"", ""meaning"": ""teeth"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""磨きます"", ""reading"": ""みがきます"", ""meaning"": ""brush"", ""role"": ""Verb, polite form"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes a daily routine where the speaker brushes their teeth every morning. It emphasizes the habitual nature of the action."", ""steps"": [""**毎朝** - Indicates the time frame, meaning “every morning.”"", ""**歯** - The object of the action, meaning “teeth.”"", ""**を** - Marks “歯” as the object of the verb."", ""**磨きます** - The polite form of the verb “磨く,” indicating the action of brushing.""], ""sentence_pattern"": ""- [Time Frame] + [Object] + [を] + [Verb (polite form)]\n- **Kanji**: 毎朝水を飲みます。\n- **Hiragana**: まいあさみずをのみます。\n- **English Translation**: I drink water every morning."", ""sentence_pattern_kanji"": ""毎朝水を飲みます。"", ""sentence_pattern_hiragana"": ""まいあさみずをのみます。"", ""sentence_pattern_english"": ""I drink water every morning."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that 毎朝 sets the time context for the action, while を marks the object of the verb. This structure helps clarify what action is being performed and when."", ""common_mistake"": ""Beginners often confuse the use of を with が. Use を to indicate the direct object of the action (what is being brushed), while が is used to mark the subject of the sentence."", ""alternative_expression"": {""kanji"": ""毎朝歯を磨いています。"", ""hiragana"": ""まいあさはをみがいています。"", ""english"": ""I am brushing my teeth every morning.""}, ""new_words_in_alternative"": [{""word"": ""磨いています"", ""reading"": ""みがいています"", ""meaning"": ""am brushing"", ""description"": ""Verb, present continuous form""}]}}",Vocab,7,to brush (teeth); to polish,,毎朝歯を磨きます。,
N5,,,出かける,でかける,Ichidan verb,I will go out with my friend.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""友達"", ""reading"": ""ともだち"", ""meaning"": ""friend"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""と"", ""reading"": ""と"", ""meaning"": ""with"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""出かけます"", ""reading"": ""でかけます"", ""meaning"": ""will go out"", ""role"": ""Verb, polite form"", ""components"": [{""part"": ""出かける"", ""reading"": ""でかける"", ""meaning"": ""to go out"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's intention to go out and indicates that they will be doing so in the company of a friend. It conveys a social activity."", ""steps"": [""**私** - Refers to the speaker, marking them as the subject of the sentence."", ""**は** - Marks “私” as the topic of the sentence."", ""**友達** - Refers to the friend with whom the speaker will go out."", ""**と** - Indicates companionship, meaning “with.”"", ""**出かけます** - The polite form of “出かける,” indicating the future action of going out.""], ""sentence_pattern"": ""- [Subject] + [は] + [Friend] + [と] + [Verb (polite form)]\n- **Kanji**: 彼は公園に行きます。\n- **Hiragana**: かれはこうえんにいきます。\n- **English Translation**: He will go to the park."", ""sentence_pattern_kanji"": ""彼は公園に行きます。"", ""sentence_pattern_hiragana"": ""かれはこうえんにいきます。"", ""sentence_pattern_english"": ""He will go to the park."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which helps clarify who is performing the action. In this case, it’s the speaker who will go out."", ""common_mistake"": ""Beginners often confuse the use of と and へ. Remember that と is used to indicate companionship (with someone), while へ indicates direction (to a place)."", ""alternative_expression"": {""kanji"": ""私は友達と遊びに行きます。"", ""hiragana"": ""わたしはともだちとあそびにいきます。"", ""english"": ""I will go to play with my friend.""}, ""new_words_in_alternative"": [{""word"": ""遊び"", ""reading"": ""あそび"", ""meaning"": ""play"", ""description"": ""Noun""}]}}",Vocab,7,to go out; to leave,,私は友達と出かけます。,
N5,,,住む,すむ,Godan verb with 'mu' ending,I live in Tokyo.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""東京"", ""reading"": ""とうきょう"", ""meaning"": ""Tokyo"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""住んでいます"", ""reading"": ""すんでいます"", ""meaning"": ""am living"", ""role"": ""Verb, present continuous"", ""components"": [{""part"": ""住む"", ""reading"": ""すむ"", ""meaning"": ""to live"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's current residence, indicating that they are living in Tokyo. It provides information about the speaker's location."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**東京** - Specifies the location, Tokyo."", ""**に** - Indicates the direction or location where the action takes place."", ""**住んでいます** - The present continuous form of “住む,” indicating that the speaker is currently living in Tokyo.""], ""sentence_pattern"": ""- [Topic] + [は] + [Location] + [に] + [Verb (present continuous)]\n- **Kanji**: 彼は大阪に住んでいます。\n- **Hiragana**: かれはおおさかにすんでいます。\n- **English Translation**: He lives in Osaka."", ""sentence_pattern_kanji"": ""彼は大阪に住んでいます。"", ""sentence_pattern_hiragana"": ""かれはおおさかにすんでいます。"", ""sentence_pattern_english"": ""He lives in Osaka."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the particle は marks the topic of the sentence, while に indicates the specific location where the action occurs. This structure helps clarify where someone is living."", ""common_mistake"": ""Beginners often confuse に with で. Remember that に is used for indicating the location of existence or direction, while で is used to indicate the location of an action."", ""alternative_expression"": {""kanji"": ""私は東京にいます。"", ""hiragana"": ""わたしはとうきょうにいます。"", ""english"": ""I am in Tokyo.""}, ""new_words_in_alternative"": [{""word"": ""います"", ""reading"": ""います"", ""meaning"": ""am"", ""description"": ""Verb, present tense""}]}}",Vocab,7,"to reside, to live in",,私は東京に住んでいます。,
N5,,,持つ,もつ,Godan verb with 'tsu' ending,I have a book.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""本"", ""reading"": ""ほん"", ""meaning"": ""book"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""持っています"", ""reading"": ""もっています"", ""meaning"": ""have"", ""role"": ""Verb, present continuous"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses that the speaker possesses a book. It indicates an ongoing state of having something rather than a completed action."", ""steps"": [""**私** - Refers to the speaker, marking them as the subject of the sentence."", ""**は** - Marks “私” as the topic of the sentence."", ""**本** - The object of the sentence, indicating what the speaker has."", ""**を** - Marks “本” as the direct object of the verb."", ""**持っています** - The present continuous form of “持つ,” indicating that the speaker currently has or is holding the book.""], ""sentence_pattern"": ""- [Subject] + [は] + [Object] + [を] + [Verb (present continuous)]\n- **Kanji**: 彼はペンを持っています。\n- **Hiragana**: かれはぺんをもっています。\n- **English Translation**: He has a pen."", ""sentence_pattern_kanji"": ""彼はペンを持っています。"", ""sentence_pattern_hiragana"": ""かれはぺんをもっています。"", ""sentence_pattern_english"": ""He has a pen."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the structure of the sentence follows a clear pattern: subject + topic marker + object + object marker + verb. This helps in identifying the roles of each word."", ""common_mistake"": ""Beginners often confuse the use of を and は. Remember that を is used to mark the direct object of the verb, while は marks the topic of the sentence."", ""alternative_expression"": {""kanji"": ""私は本を持っている。"", ""hiragana"": ""わたしはほんをもっている。"", ""english"": ""I have a book.""}, ""new_words_in_alternative"": [{""word"": ""持っている"", ""reading"": ""もっている"", ""meaning"": ""have"", ""description"": ""Verb, present continuous""}]}}",Vocab,7,"to hold, to carry; to possess",,私は本を持っています。,
N5,,,引く,ひく,Godan verb with 'ku' ending,I will pull the door.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""ドア"", ""reading"": ""どあ"", ""meaning"": ""door"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""引きます"", ""reading"": ""ひきます"", ""meaning"": ""will pull"", ""role"": ""Verb, polite form"", ""components"": [{""part"": ""引く"", ""reading"": ""ひく"", ""meaning"": ""to pull"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's intention to perform the action of pulling a door. It indicates a future action in a polite manner."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**ドア** - Indicates the object of the action, “door.”"", ""**を** - Marks “ドア” as the direct object of the verb."", ""**引きます** - The polite form of the verb “引く,” indicating the action of pulling in the future tense.""], ""sentence_pattern"": ""- [Topic] + [は] + [Object] + [を] + [Verb (polite form)]\n- **Kanji**: 彼は本を読みます。\n- **Hiragana**: かれはほんをよみます。\n- **English Translation**: He will read a book."", ""sentence_pattern_kanji"": ""彼は本を読みます。"", ""sentence_pattern_hiragana"": ""かれはほんをよみます。"", ""sentence_pattern_english"": ""He will read a book."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while を marks the direct object of the verb. This structure helps clarify who is doing the action and what is being acted upon."", ""common_mistake"": ""Beginners often confuse the use of を and は. Make sure to use を to indicate the object of the action (the door) and は to indicate the topic (the speaker)."", ""alternative_expression"": {""kanji"": ""私はドアを開けます。"", ""hiragana"": ""わたしはどあをあけます。"", ""english"": ""I will open the door.""}, ""new_words_in_alternative"": [{""word"": ""開けます"", ""reading"": ""あけます"", ""meaning"": ""will open"", ""description"": ""Verb, polite form""}]}}",Vocab,7,to pull; to draw; to subtract,,私はドアを引きます。,
N5,,,やる,やる,Godan verb with 'ru' ending,I give food to the dog.,"{""vocabulary"": [{""word"": ""犬"", ""reading"": ""いぬ"", ""meaning"": ""dog"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Target Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""餌"", ""reading"": ""えさ"", ""meaning"": ""food"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""やる"", ""reading"": ""やる"", ""meaning"": ""to give"", ""role"": ""Verb, dictionary form"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes an action where the speaker is giving food to a dog. It emphasizes the act of providing nourishment to the animal."", ""steps"": [""**犬** - Refers to the subject (the dog) that is receiving the action."", ""**に** - Indicates that the dog is the target of the action."", ""**餌** - Specifies what is being given (food)."", ""**を** - Marks “餌” as the object of the verb."", ""**やる** - The verb that describes the action of giving.""], ""sentence_pattern"": ""- [Recipient] + [に] + [Object] + [を] + [Verb]\n- **Kanji**: 彼は猫に魚をやる。\n- **Hiragana**: かれはねこにさかなをやる。\n- **English Translation**: He gives fish to the cat."", ""sentence_pattern_kanji"": ""彼は猫に魚をやる。"", ""sentence_pattern_hiragana"": ""かれはねこにさかなをやる。"", ""sentence_pattern_english"": ""He gives fish to the cat."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that に indicates the target of the action, while を marks the object being acted upon. This structure helps clarify who is receiving what in the sentence."", ""common_mistake"": ""Beginners often confuse に and へ. While both can indicate direction, に is specifically used for the target of an action, whereas へ indicates direction towards a place."", ""alternative_expression"": {""kanji"": ""犬に食べ物をあげる。"", ""hiragana"": ""いぬにたべものをあげる。"", ""english"": ""I give food to the dog.""}, ""new_words_in_alternative"": [{""word"": ""食べ物"", ""reading"": ""たべもの"", ""meaning"": ""food"", ""description"": ""Noun""}, {""word"": ""あげる"", ""reading"": ""あげる"", ""meaning"": ""to give"", ""description"": ""Verb""}]}}",Vocab,7,"to do; to give (to pets, parents, siblings, etc.)",,犬に餌をやる。,
N5,,,開ける,あける,Ichidan verb,I open the door.,"{""vocabulary"": [{""word"": ""ドア"", ""reading"": ""どあ"", ""meaning"": ""door"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""開ける"", ""reading"": ""あける"", ""meaning"": ""to open"", ""role"": ""Verb, dictionary form"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes a simple action where the speaker is actively opening a door. It conveys a straightforward and common action in daily life."", ""steps"": [""**ドア** - Refers to the object being acted upon, which is the door."", ""**を** - Marks “ドア” as the direct object of the verb, indicating what is being opened."", ""**開ける** - The verb in its dictionary form, indicating the action of opening.""], ""sentence_pattern"": ""- [Object] + [を] + [Verb (dictionary form)]\n- **Kanji**: 本を読む。\n- **Hiragana**: ほんをよむ。\n- **English Translation**: I read a book."", ""sentence_pattern_kanji"": ""本を読む。"", ""sentence_pattern_hiragana"": ""ほんをよむ。"", ""sentence_pattern_english"": ""I read a book."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that を is used to mark the direct object of the verb. In this case, it shows that the door is the object being opened."", ""common_mistake"": ""Beginners often confuse the use of を with は. While を marks the object of the action, は marks the topic of the sentence."", ""alternative_expression"": {""kanji"": ""ドアを開けます。"", ""hiragana"": ""どあをあけます。"", ""english"": ""I will open the door.""}, ""new_words_in_alternative"": [{""word"": ""開けます"", ""reading"": ""あけます"", ""meaning"": ""will open"", ""description"": ""Verb, polite form""}]}}",Vocab,7,to open (transitive verb),,ドアを開ける。,
