JLPT,Example Words,Onyomi,Word,Reading,Word Type,Example Sentence EN,breakdown,type,Lesson,Meaning,Kanji,Example Sentence JP,Kunyomi
N5,,,服,ふく,Noun,I bought new clothes.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""新しい"", ""reading"": ""あたらしい"", ""meaning"": ""new"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""服"", ""reading"": ""ふく"", ""meaning"": ""clothes"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""買いました"", ""reading"": ""かいました"", ""meaning"": ""bought"", ""role"": ""Verb, past tense"", ""components"": [{""part"": ""買う"", ""reading"": ""かう"", ""meaning"": ""to buy"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes a completed action where the speaker has purchased new clothes. It conveys a straightforward statement about a recent activity."", ""steps"": [""**私** - Refers to the speaker, marking them as the subject of the sentence."", ""**は** - Marks “私” as the topic of the sentence."", ""**新しい** - Describes the noun “服,” indicating that the clothes are new."", ""**服** - The object of the action, which is being bought."", ""**を** - Marks “服” as the direct object of the verb."", ""**買いました** - The past tense of “買う,” indicating that the action of buying has been completed.""], ""sentence_pattern"": ""- [Subject] + [は] + [Adjective] + [Noun] + [を] + [Verb (past tense)]\n- **Kanji**: 彼は美味しい料理を作りました。\n- **Hiragana**: かれはおいしいりょうりをつくりました。\n- **English Translation**: He made delicious food."", ""sentence_pattern_kanji"": ""彼は美味しい料理を作りました。"", ""sentence_pattern_hiragana"": ""かれはおいしいりょうりをつくりました。"", ""sentence_pattern_english"": ""He made delicious food."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which helps to clarify who is performing the action. In this case, it’s the speaker who bought something."", ""common_mistake"": ""Beginners often confuse を with は. Remember that を is used to mark the direct object of the verb, while は indicates the topic of the sentence."", ""alternative_expression"": {""kanji"": ""私は新しい衣服を買いました。"", ""hiragana"": ""わたしはあたらしいいふくをかいました。"", ""english"": ""I bought new garments.""}, ""new_words_in_alternative"": [{""word"": ""衣服"", ""reading"": ""いふく"", ""meaning"": ""garments"", ""description"": ""Noun""}]}}",Vocab,9,clothes,,私は新しい服を買いました。,
N5,,,ボールペン,ボールペン,Noun,I write a letter with a ballpoint pen.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""ボールペン"", ""reading"": ""ぼーるぺん"", ""meaning"": ""ballpoint pen"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""で"", ""reading"": ""で"", ""meaning"": ""[Means/Method Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""手紙"", ""reading"": ""てがみ"", ""meaning"": ""letter"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""書きます"", ""reading"": ""かきます"", ""meaning"": ""write"", ""role"": ""Verb, polite form"", ""components"": [{""part"": ""書く"", ""reading"": ""かく"", ""meaning"": ""to write"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the action of the speaker writing a letter using a ballpoint pen. It emphasizes the method used for writing."", ""steps"": [""**私** - Refers to the speaker, marking them as the subject of the sentence."", ""**は** - Marks “私” as the topic of the sentence."", ""**ボールペン** - Indicates the tool used for writing."", ""**で** - Indicates the means by which the action is performed, meaning “with.”"", ""**手紙** - Refers to the object of the action, which is the letter being written."", ""**を** - Marks “手紙” as the direct object of the verb."", ""**書きます** - The polite form of the verb “書く,” indicating the action of writing.""], ""sentence_pattern"": ""- [Topic] + [は] + [Means/Method] + [で] + [Object] + [を] + [Verb (polite form)]\n- **Kanji**: 彼はペンで絵を描きます。\n- **Hiragana**: かれはぺんでえをかきます。\n- **English Translation**: He draws a picture with a pen."", ""sentence_pattern_kanji"": ""彼はペンで絵を描きます。"", ""sentence_pattern_hiragana"": ""かれはぺんでえをかきます。"", ""sentence_pattern_english"": ""He draws a picture with a pen."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while を marks the direct object. This helps clarify who is doing what in the sentence."", ""common_mistake"": ""Beginners often confuse で with other particles like に or へ. Remember that で indicates the means or method of the action, while に and へ indicate direction or destination."", ""alternative_expression"": {""kanji"": ""私はペンで手紙を書きます。"", ""hiragana"": ""わたしはぺんでてがみをかきます。"", ""english"": ""I write a letter with a pen.""}, ""new_words_in_alternative"": [{""word"": ""ペン"", ""reading"": ""ぺん"", ""meaning"": ""pen"", ""description"": ""Noun""}]}}",Vocab,9,a pen that uses a ballpoint to write,,私はボールペンで手紙を書きます。,
N5,,,テーブル,テーブル,Noun,There is a book on the table.,"{""vocabulary"": [{""word"": ""テーブル"", ""reading"": ""てーぶる"", ""meaning"": ""table"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Possessive/Attributive Particle]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""上"", ""reading"": ""うえ"", ""meaning"": ""on / above"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""本"", ""reading"": ""ほん"", ""meaning"": ""book"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""あります"", ""reading"": ""あります"", ""meaning"": ""there is"", ""role"": ""Verb, non-past"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the presence of a book located on a table. It provides a clear spatial relationship between the book and the table."", ""steps"": [""**テーブル** - Refers to the object (table) where something is located."", ""**の** - Indicates possession or attribution, linking the table to the location."", ""**上** - Specifies the position as \""on\"" or \""above.\"""", ""**に** - Marks the location where the book exists."", ""**本** - Refers to the subject of the sentence, which is the book."", ""**が** - Marks “本” as the subject of the sentence."", ""**あります** - Indicates the existence of the book in a polite form.""], ""sentence_pattern"": ""- [Location] + [の] + [Position] + [に] + [Subject] + [が] + [Verb]\n- **Kanji**: 机の上に猫がいます。\n- **Hiragana**: つくえのうえにねこがいます。\n- **English Translation**: There is a cat on the desk."", ""sentence_pattern_kanji"": ""机の上に猫がいます。"", ""sentence_pattern_hiragana"": ""つくえのうえにねこがいます。"", ""sentence_pattern_english"": ""There is a cat on the desk."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that の connects nouns to show relationships, like possession or location. In this case, it connects \""table\"" and \""on\"" to indicate where the book is."", ""common_mistake"": ""Beginners might confuse the use of に and で. Use に to indicate a specific location where something exists, while で indicates the location of an action."", ""alternative_expression"": {""kanji"": ""テーブルの上に本があります。"", ""hiragana"": ""てーぶるのうえにほんがあります。"", ""english"": ""There is a book on the table.""}, ""new_words_in_alternative"": []}}",Vocab,9,"a piece of furniture with a flat top and one or more legs, used for various purposes such as eating or working",,テーブルの上に本があります。,
N5,,,遠い,とおい,I-adjective (keiyoushi),That mountain is far away.,"{""vocabulary"": [{""word"": ""あの"", ""reading"": ""あの"", ""meaning"": ""that"", ""role"": ""Demonstrative adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""山"", ""reading"": ""やま"", ""meaning"": ""mountain"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""遠い"", ""reading"": ""とおい"", ""meaning"": ""far away"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the distance of a specific mountain, indicating that it is not close to the speaker. It provides a simple observation about the location of the mountain."", ""steps"": [""**あの** - A demonstrative adjective that specifies which mountain is being referred to, indicating it is at a distance from the speaker."", ""**山** - The noun that identifies the subject of the sentence, which is the mountain."", ""**は** - Marks “山” as the topic of the sentence, indicating that the sentence is about this mountain."", ""**遠い** - An adjective that describes the mountain, indicating its distance."", ""**です** - A copula used to link the subject and the predicate, making the sentence polite.""], ""sentence_pattern"": ""- [Demonstrative] + [Noun] + [は] + [Adjective] + [です]\n- **Kanji**: あの山は高いです。\n- **Hiragana**: あのやまはたかいです。\n- **English Translation**: That mountain is high."", ""sentence_pattern_kanji"": ""あの山は高いです。"", ""sentence_pattern_hiragana"": ""あのやまはたかいです。"", ""sentence_pattern_english"": ""That mountain is high."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that あの is used for something that is not close to the speaker, while この (this) is used for something that is close. This helps in distinguishing between different distances."", ""common_mistake"": ""Beginners might confuse the use of は and が. In this context, は is used to mark the topic (the mountain), while が is typically used for the subject of a sentence."", ""alternative_expression"": {""kanji"": ""あの山は遠いですね。"", ""hiragana"": ""あのやまはとおいですね。"", ""english"": ""That mountain is far away, isn't it?""}, ""new_words_in_alternative"": [{""word"": ""ね"", ""reading"": ""ね"", ""meaning"": ""[Sentence-ending particle]"", ""description"": ""Particle""}]}}",Vocab,9,"far (away), distant",,あの山は遠いです。,
N5,,,木,き,Noun,There is a big tree in the park.,"{""vocabulary"": [{""word"": ""公園"", ""reading"": ""こうえん"", ""meaning"": ""park"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Location/Direction Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""大きな"", ""reading"": ""おおきな"", ""meaning"": ""big"", ""role"": ""Adjective, attributive form"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""木"", ""reading"": ""き"", ""meaning"": ""tree"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""あります"", ""reading"": ""あります"", ""meaning"": ""there is"", ""role"": ""Verb, non-past form"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the presence of a big tree located within a park. It conveys a simple observation about the environment."", ""steps"": [""**公園** - Refers to the location, the park."", ""**に** - Indicates the direction or location where something exists."", ""**大きな** - Describes the noun “木” (tree) as being big."", ""**木** - The subject of the sentence, which is the tree."", ""**が** - Marks “木” as the subject of the verb."", ""**あります** - Indicates the existence of the tree in the park.""], ""sentence_pattern"": ""- [Location] + [に] + [Adjective] + [Noun] + [が] + [Verb (non-past)]\n- **Kanji**: 学校に新しい本があります。\n- **Hiragana**: がっこうにあたらしいほんがあります。\n- **English Translation**: There is a new book at school."", ""sentence_pattern_kanji"": ""学校に新しい本があります。"", ""sentence_pattern_hiragana"": ""がっこうにあたらしいほんがあります。"", ""sentence_pattern_english"": ""There is a new book at school."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that に is used to indicate the location where something exists, while が marks the subject of the sentence. This structure helps clarify where and what is being discussed."", ""common_mistake"": ""Beginners might confuse に with で. Remember that に indicates a static location (where something exists), while で indicates the place where an action takes place."", ""alternative_expression"": {""kanji"": ""公園に木があります。"", ""hiragana"": ""こうえんにきがあります。"", ""english"": ""There is a tree in the park.""}, ""new_words_in_alternative"": [{""word"": ""木"", ""reading"": ""き"", ""meaning"": ""tree"", ""description"": ""Noun""}]}}",Vocab,9,tree; wood,,公園に大きな木があります。,
N5,,,強い,つよい,I-adjective (keiyoushi),He is very strong.,"{""vocabulary"": [{""word"": ""彼"", ""reading"": ""かれ"", ""meaning"": ""he"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""とても"", ""reading"": ""とても"", ""meaning"": ""very"", ""role"": ""Adverb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""強い"", ""reading"": ""つよい"", ""meaning"": ""strong"", ""role"": ""Adjective, present tense"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes a characteristic of a male individual, stating that he possesses a high level of strength. It emphasizes his strength using the adverb \""very.\"""", ""steps"": [""**彼** - Refers to the subject of the sentence, meaning \""he.\"""", ""**は** - Marks \""彼\"" as the topic of the sentence."", ""**とても** - An adverb that intensifies the adjective that follows, meaning \""very.\"""", ""**強い** - An adjective that describes the subject, meaning \""strong.\"""", ""**です** - A polite ending particle that functions as the copula, linking the subject and the adjective.""], ""sentence_pattern"": ""- [Subject] + [は] + [Adverb] + [Adjective] + [です]\n- **Kanji**: 彼は優しいです。\n- **Hiragana**: かれはやさしいです。\n- **English Translation**: He is kind."", ""sentence_pattern_kanji"": ""彼は優しいです。"", ""sentence_pattern_hiragana"": ""かれはやさしいです。"", ""sentence_pattern_english"": ""He is kind."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which is often the subject, but not always. It helps to focus on what the sentence is about."", ""common_mistake"": ""Beginners might confuse the use of です with other forms of \""to be.\"" In Japanese, です is used for polite statements, while other forms may be used in casual speech."", ""alternative_expression"": {""kanji"": ""彼は非常に強いです。"", ""hiragana"": ""かれはひじょうにつよいです。"", ""english"": ""He is extremely strong.""}, ""new_words_in_alternative"": [{""word"": ""非常に"", ""reading"": ""ひじょうに"", ""meaning"": ""extremely"", ""description"": ""Adverb""}]}}",Vocab,9,"strong, powerful",,彼はとても強いです。,
N5,,,いい; よい,いい; よい,I-adjective (keiyoushi),This apple is good.,"{""vocabulary"": [{""word"": ""この"", ""reading"": ""この"", ""meaning"": ""this"", ""role"": ""Demonstrative adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""りんご"", ""reading"": ""りんご"", ""meaning"": ""apple"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""いい"", ""reading"": ""いい"", ""meaning"": ""good"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Polite ending particle]"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses a positive opinion about a specific apple that is close to the speaker. It is a simple statement of quality."", ""steps"": [""**この** - Specifies which apple is being discussed (the one near the speaker)."", ""**りんご** - The noun that is the subject of the sentence."", ""**は** - Marks “りんご” as the topic of the sentence."", ""**いい** - The adjective that describes the quality of the apple."", ""**です** - A polite ending that confirms the statement.""], ""sentence_pattern"": ""- [Demonstrative] + [Noun] + [は] + [Adjective] + [です]\n- **Kanji**: そのりんごは美味しいです。\n- **Hiragana**: そのりんごはおいしいです。\n- **English Translation**: That apple is delicious."", ""sentence_pattern_kanji"": ""そのりんごは美味しいです。"", ""sentence_pattern_hiragana"": ""そのりんごはおいしいです。"", ""sentence_pattern_english"": ""That apple is delicious."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that the structure of the sentence is straightforward: you first identify what you are talking about (the apple), then describe it (good), and finally use です to make it polite."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used to mark the topic (the apple), while が is typically used for the subject of a sentence."", ""alternative_expression"": {""kanji"": ""このりんごは美味しいです。"", ""hiragana"": ""このりんごはおいしいです。"", ""english"": ""This apple is delicious.""}, ""new_words_in_alternative"": [{""word"": ""美味しい"", ""reading"": ""おいしい"", ""meaning"": ""delicious"", ""description"": ""Adjective""}]}}",Vocab,9,good,,このりんごはいいです。,
N5,,,魚,さかな,Noun,I like fish.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""魚"", ""reading"": ""さかな"", ""meaning"": ""fish"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""好き"", ""reading"": ""すき"", ""meaning"": ""like"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Polite ending particle]"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses the speaker's personal preference, indicating that they enjoy eating or being around fish. It is a simple declarative statement about their likes."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**魚** - The object of the speaker's liking, meaning “fish.”"", ""**が** - Marks “魚” as the subject of the liking."", ""**好き** - An adjective that expresses the feeling of liking or preference."", ""**です** - A polite ending that adds formality to the statement.""], ""sentence_pattern"": ""- [Topic] + [は] + [Subject] + [が] + [Adjective] + [です]\n- **Kanji**: 彼は日本が好きです。\n- **Hiragana**: かれはにほんがすきです。\n- **English Translation**: He likes Japan."", ""sentence_pattern_kanji"": ""彼は日本が好きです。"", ""sentence_pattern_hiragana"": ""かれはにほんがすきです。"", ""sentence_pattern_english"": ""He likes Japan."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, while が marks the subject. In this case, the topic is “I,” and the subject is “fish” that the speaker likes."", ""common_mistake"": ""Beginners often confuse the use of は and が. Use は to introduce the topic and が to specify what the topic is about, especially when expressing likes or dislikes."", ""alternative_expression"": {""kanji"": ""魚が好きです。"", ""hiragana"": ""さかながすきです。"", ""english"": ""I like fish. (without explicitly stating \""I\"")""}, ""new_words_in_alternative"": [{""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""description"": ""Particle""}]}}",Vocab,9,fish,,私は魚が好きです。,
N5,高い(たかい): tall/expensive; 高校(こうこう): high school; 高校生(こうこうせい): high school student,こう,,,,,,Kanji,9,high/expensive,高,,たか
N5,木(き): tree; 木曜日(もくようび): Thursday; 大木(たいぼく): big tree,ぼく,,,,,,Kanji,9,tree/wood,木,,き
