question,duplicate_type,line_numbers,flashcard_ids
公園に____がいます。,cross_id,14;87;731;1036;1112;1124,33f84ad9-a6f3-44e7-8e8f-2aa4caa67f1b;4f013eef-9d0d-410d-a2e7-992c67f2a9a7;626bcd5f-de9e-492f-832d-6feceb8fae1b;85083ab5-676c-46ce-ad95-080d8e639f44;e7e6b3fb-2442-447a-9731-934afd68b10a;f91c12d5-1137-4d04-aca3-280745ad09f9
____本は面白いです。,cross_id,20;176;1529,03e52abb-9f24-4856-bee0-d17c58a14a30;bef65e07-dd1c-4949-8353-933850f730d3;effbc9c0-15c5-409f-ac58-2aed4621c71b
____車は私のです。,cross_id,21;177,03e52abb-9f24-4856-bee0-d17c58a14a30;bef65e07-dd1c-4949-8353-933850f730d3
学校の____はとても長いです。,cross_id,23;420,5c68cd3d-f622-4381-a036-0316fcc1168f;b8ef80f6-208b-4a20-b6a6-15113845cd69
彼は新しい____を買いました。,cross_id,27;35;39;53;63;861;1127;1323;1346;1595;1601;1631;1649;1679;1759;1760;1763;1829;2231,0ce57d90-90a9-4727-99f9-935ed3582b72;0dd26102-34ef-4601-83fb-c4fa32f7ce5d;1a7761c7-c13a-4fbc-a8fb-1bd632a4a433;1b9998cb-229b-4061-a0cf-9e4cdbb29fa0;4b4f2052-ec9d-4f82-8318-bd0fbd440ad4;50a8f1ed-f24a-4ebd-9399-223e9e190e99;5e5141c5-9a28-4a7f-a17f-83805c4e72e1;5e8b5663-729b-43be-ba1f-e495336b18ca;85c12c75-93ec-49bd-95f9-89a7acbacfde;899f1370-440b-4539-af18-87dafa95ac0f;927a3a5d-68b4-4826-aaba-96b566d878c6;a11feda3-c547-40a9-9850-dfdd00f0bb98;ac120e70-c648-4465-ad1e-09905723eb3d;b6047a5a-8726-4dea-b357-4d7ecf3a17af;be94170b-ffba-4b6b-b287-a2ea42ded1a3;d56d35ea-1a49-4fa8-9733-c9ce353a3117;ec1740fd-a7e0-4d59-a3c2-24238e06409e;f8d3dce0-da32-4a11-8c62-7a2aa7a72aba;fb994546-416d-464a-96a1-5025d089215a
テーブルの上に____があります。,cross_id,38;383;782;1514;1598;1604;1713,07a5ee48-ab5d-439c-95aa-f6da67fae90c;3de15d8a-5120-45f3-92a2-f849ba2f4505;ac120e70-c648-4465-ad1e-09905723eb3d;bc70cc26-8bd9-43f6-a21c-95875c464148;c0c3bc47-b129-4ac0-9dfc-8a538ec135bf;dce44fed-1806-487c-b44e-f6304ef2e9cb;eec30366-db26-4657-bc76-6f5d6ebbd3ef
私の____はとても大切です。,cross_id,40;1888;1979,423aac3d-10c9-442a-b5b6-7b7b2ab4a5cc;ac120e70-c648-4465-ad1e-09905723eb3d;bd597ed2-2110-4819-ac10-b3be0b48c365
彼のシャツは____です。,cross_id,48;363;1739,74522c16-0020-487f-aff1-dc174b1e5968;c5f4b42c-ef0b-4c91-809c-40b3131024e5;f3d63637-79a4-446a-95e3-c930d4ea3e88
今日はとても____です。,cross_id,50;1559;1815,4d316519-67aa-46a3-8ccd-1ae14949d9af;899c2b5f-55c4-44a5-8a9b-e51f37db49ac;944f2812-aa7d-40d9-b854-43efa267a796
この____はとても高いです。,cross_id,54;396;877;1347;1380;1597;1651;1734;1768,087c32a5-9ed8-4f72-a4ed-a8b7fa7cb85b;4b4f2052-ec9d-4f82-8318-bd0fbd440ad4;670ba06d-0dc4-4c9d-8e77-f03462980c33;8a1238fd-6843-415d-a6ab-858fea404a1b;be94170b-ffba-4b6b-b287-a2ea42ded1a3;d56d35ea-1a49-4fa8-9733-c9ce353a3117;df8d5928-d1e2-4c2f-bbd6-94e7597d2299;f07ed789-638c-4503-a598-269fdd6ac4d5;fb994546-416d-464a-96a1-5025d089215a
