issue,details
wrong_count,"8650b718-c133-43ad-9555-efd4cdd93648 (has 2, expected 3)"
answer_mismatch,id=1ff3bd2e-815a-4222-a1bc-521d6b2045b9 line=41 answer='あります' expected='があります'
answer_mismatch,id=1ff3bd2e-815a-4222-a1bc-521d6b2045b9 line=42 answer='あります' expected='があります'
answer_mismatch,id=1ff3bd2e-815a-4222-a1bc-521d6b2045b9 line=43 answer='あります' expected='があります'
answer_mismatch,id=1a51d9fa-5942-4fcf-a89c-20e40e8565aa line=92 answer='こと' expected='こんな'
answer_mismatch,id=1a51d9fa-5942-4fcf-a89c-20e40e8565aa line=93 answer='音楽' expected='こんな'
answer_mismatch,id=1a51d9fa-5942-4fcf-a89c-20e40e8565aa line=94 answer='寒い' expected='こんな'
answer_mismatch,id=884d51b1-eb89-42f3-92ec-a49e05510e9c line=161 answer='元気' expected='な-adjectives'
answer_mismatch,id=884d51b1-eb89-42f3-92ec-a49e05510e9c line=162 answer='面白い' expected='な-adjectives'
answer_mismatch,id=884d51b1-eb89-42f3-92ec-a49e05510e9c line=163 answer='静か' expected='な-adjectives'
answer_mismatch,id=0fec3e0a-8194-44db-bfb7-a9ff6926ff12 line=182 answer='聞きます' expected='聞く'
answer_mismatch,id=0fec3e0a-8194-44db-bfb7-a9ff6926ff12 line=183 answer='聞きます' expected='聞く'
answer_mismatch,id=0fec3e0a-8194-44db-bfb7-a9ff6926ff12 line=184 answer='聞きます' expected='聞く'
answer_mismatch,id=e6abe0cc-3377-43a4-ba84-bbd34e9c1e52 line=218 answer='勉強したい' expected='たい'
answer_mismatch,id=e6abe0cc-3377-43a4-ba84-bbd34e9c1e52 line=219 answer='したい' expected='たい'
answer_mismatch,id=e6abe0cc-3377-43a4-ba84-bbd34e9c1e52 line=220 answer='見たい' expected='たい'
answer_mismatch,id=8e4ee19a-972f-44c9-9ee2-48ab57bfb835 line=230 answer='してから' expected='てから'
answer_mismatch,id=8e4ee19a-972f-44c9-9ee2-48ab57bfb835 line=231 answer='食べてから' expected='てから'
answer_mismatch,id=8e4ee19a-972f-44c9-9ee2-48ab57bfb835 line=232 answer='から' expected='てから'
answer_mismatch,id=1345c5f2-a649-4a94-a2a2-3e581c47ddc6 line=233 answer='降ります' expected='降りる'
answer_mismatch,id=1345c5f2-a649-4a94-a2a2-3e581c47ddc6 line=235 answer='降りている' expected='降りる'
answer_mismatch,id=017235eb-7614-4d6b-b79c-76b647685a25 line=262 answer='読んでいる' expected='ている'
answer_mismatch,id=017235eb-7614-4d6b-b79c-76b647685a25 line=263 answer='遊んでいる' expected='ている'
answer_mismatch,id=017235eb-7614-4d6b-b79c-76b647685a25 line=264 answer='聞いている' expected='ている'
answer_mismatch,id=06c2ba22-a11c-4b88-922c-20820fe5da3b line=265 answer='中' expected='～中'
answer_mismatch,id=06c2ba22-a11c-4b88-922c-20820fe5da3b line=266 answer='中' expected='～中'
answer_mismatch,id=06c2ba22-a11c-4b88-922c-20820fe5da3b line=267 answer='中' expected='～中'
answer_mismatch,id=4a664a33-fdc8-4134-b50c-132d39d89f52 line=271 answer='差します' expected='差す'
answer_mismatch,id=4a664a33-fdc8-4134-b50c-132d39d89f52 line=272 answer='差した' expected='差す'
answer_mismatch,id=4a664a33-fdc8-4134-b50c-132d39d89f52 line=273 answer='差しています' expected='差す'
answer_mismatch,id=58f6afcc-50a8-4f29-9b59-6132f855d049 line=280 answer='渡ります' expected='渡る'
answer_mismatch,id=58f6afcc-50a8-4f29-9b59-6132f855d049 line=281 answer='渡った' expected='渡る'
answer_mismatch,id=58f6afcc-50a8-4f29-9b59-6132f855d049 line=282 answer='渡ります' expected='渡る'
answer_mismatch,id=3068651e-7459-493c-8f9e-a1df5e436b3a line=319 answer='答えます' expected='答える'
answer_mismatch,id=3068651e-7459-493c-8f9e-a1df5e436b3a line=320 answer='答えた' expected='答える'
answer_mismatch,id=3068651e-7459-493c-8f9e-a1df5e436b3a line=321 answer='答えます' expected='答える'
answer_mismatch,id=d092b5eb-19ad-4754-a6a0-bc867756b2a9 line=322 answer='入れます' expected='入れる'
answer_mismatch,id=d092b5eb-19ad-4754-a6a0-bc867756b2a9 line=323 answer='入れました' expected='入れる'
answer_mismatch,id=d092b5eb-19ad-4754-a6a0-bc867756b2a9 line=324 answer='入れます' expected='入れる'
answer_mismatch,id=7c84e1a3-ae45-4ac1-a4dd-96b44e5a67d0 line=328 answer='出します' expected='出す'
answer_mismatch,id=7c84e1a3-ae45-4ac1-a4dd-96b44e5a67d0 line=329 answer='出しました' expected='出す'
answer_mismatch,id=7c84e1a3-ae45-4ac1-a4dd-96b44e5a67d0 line=330 answer='出します' expected='出す'
answer_mismatch,id=a54d30ee-e845-4a04-b7d2-3b9a78960e44 line=331 answer='何時' expected='始まる'
answer_mismatch,id=31c06391-d50b-4c14-b17c-b5dd6bb1f881 line=340 answer='借ります' expected='借りる'
answer_mismatch,id=a6058c14-29d0-4111-bafe-e6faef38dcbe line=379 answer='丸い' expected='丸い; 円い'
answer_mismatch,id=a6058c14-29d0-4111-bafe-e6faef38dcbe line=380 answer='円い' expected='丸い; 円い'
answer_mismatch,id=a6058c14-29d0-4111-bafe-e6faef38dcbe line=381 answer='丸い' expected='丸い; 円い'
answer_mismatch,id=9971f4ba-b01e-4082-a1ad-488c4601c456 line=385 answer='会' expected='に/へ'
answer_mismatch,id=9971f4ba-b01e-4082-a1ad-488c4601c456 line=386 answer='行' expected='に/へ'
answer_mismatch,id=9971f4ba-b01e-4082-a1ad-488c4601c456 line=387 answer='帰' expected='に/へ'
answer_mismatch,id=451c6bda-9dfd-4d3c-a06d-33940efe80a9 line=412 answer='前' expected='～前'
answer_mismatch,id=451c6bda-9dfd-4d3c-a06d-33940efe80a9 line=413 answer='前' expected='～前'
answer_mismatch,id=451c6bda-9dfd-4d3c-a06d-33940efe80a9 line=414 answer='前' expected='～前'
answer_mismatch,id=da6e39b1-2300-4de4-8fc0-0c40d7d97b7b line=433 answer='います' expected='がいます'
answer_mismatch,id=da6e39b1-2300-4de4-8fc0-0c40d7d97b7b line=434 answer='います' expected='がいます'
answer_mismatch,id=da6e39b1-2300-4de4-8fc0-0c40d7d97b7b line=435 answer='います' expected='がいます'
answer_mismatch,id=9d56351f-960d-4a22-8908-568eca8b810f line=445 answer='側' expected='～側'
answer_mismatch,id=9d56351f-960d-4a22-8908-568eca8b810f line=446 answer='側' expected='～側'
answer_mismatch,id=9d56351f-960d-4a22-8908-568eca8b810f line=447 answer='側' expected='～側'
answer_mismatch,id=268e9cf7-0899-42d9-859a-70b660e2ce28 line=460 answer='学生' expected='～人'
answer_mismatch,id=268e9cf7-0899-42d9-859a-70b660e2ce28 line=461 answer='三人' expected='～人'
answer_mismatch,id=268e9cf7-0899-42d9-859a-70b660e2ce28 line=462 answer='人' expected='～人'
answer_mismatch,id=33a0fbd5-78f2-4f8e-a23e-4fa1903eb859 line=496 answer='着きます' expected='着く'
answer_mismatch,id=33a0fbd5-78f2-4f8e-a23e-4fa1903eb859 line=497 answer='着きました' expected='着く'
answer_mismatch,id=33a0fbd5-78f2-4f8e-a23e-4fa1903eb859 line=498 answer='着きます' expected='着く'
answer_mismatch,id=e2e0300a-2ffb-4696-aa15-e1ccccacf84f line=514 answer='本' expected='ある'
answer_mismatch,id=e2e0300a-2ffb-4696-aa15-e1ccccacf84f line=515 answer='きれいな' expected='ある'
answer_mismatch,id=e2e0300a-2ffb-4696-aa15-e1ccccacf84f line=516 answer='大きい' expected='ある'
answer_mismatch,id=935777f1-e2bf-4fd1-ac27-fe3b63ea3d01 line=526 answer='えんぴつ' expected='～本'
answer_mismatch,id=935777f1-e2bf-4fd1-ac27-fe3b63ea3d01 line=527 answer='ジュース' expected='～本'
answer_mismatch,id=935777f1-e2bf-4fd1-ac27-fe3b63ea3d01 line=528 answer='かさ' expected='～本'
answer_mismatch,id=266eb48d-faf1-41cf-a965-a803a181a177 line=529 answer='一キロ' expected='キロ; キログラム'
answer_mismatch,id=266eb48d-faf1-41cf-a965-a803a181a177 line=530 answer='三キロ' expected='キロ; キログラム'
answer_mismatch,id=266eb48d-faf1-41cf-a965-a803a181a177 line=531 answer='五キロ' expected='キロ; キログラム'
answer_mismatch,id=c4464426-7cc9-4807-8f47-15068c65cd9d line=535 answer='四月' expected='～月'
answer_mismatch,id=c4464426-7cc9-4807-8f47-15068c65cd9d line=536 answer='三月' expected='～月'
answer_mismatch,id=c4464426-7cc9-4807-8f47-15068c65cd9d line=537 answer='九月' expected='～月'
answer_mismatch,id=f4f2a40d-8369-4ac1-a239-02a22c631869 line=550 answer='一時間' expected='～くらい; ぐらい'
answer_mismatch,id=f4f2a40d-8369-4ac1-a239-02a22c631869 line=551 answer='千円' expected='～くらい; ぐらい'
answer_mismatch,id=f4f2a40d-8369-4ac1-a239-02a22c631869 line=552 answer='十分' expected='～くらい; ぐらい'
answer_mismatch,id=e8d939cd-0b89-4aea-b58a-fbe5525c5470 line=556 answer='おもしろい' expected='[A]は[B]より・・・です'
answer_mismatch,id=e8d939cd-0b89-4aea-b58a-fbe5525c5470 line=557 answer='背が高い' expected='[A]は[B]より・・・です'
answer_mismatch,id=e8d939cd-0b89-4aea-b58a-fbe5525c5470 line=558 answer='速い' expected='[A]は[B]より・・・です'
answer_mismatch,id=03249a7a-57db-4a38-9cb0-0782039aec69 line=565 answer='三回' expected='～回'
answer_mismatch,id=03249a7a-57db-4a38-9cb0-0782039aec69 line=566 answer='五回' expected='～回'
answer_mismatch,id=03249a7a-57db-4a38-9cb0-0782039aec69 line=567 answer='二回' expected='～回'
answer_mismatch,id=7f43efd4-0be2-44a1-8d87-acbf6338acae line=568 answer='キロ' expected='キロ; キロメートル'
answer_mismatch,id=7f43efd4-0be2-44a1-8d87-acbf6338acae line=569 answer='キロ' expected='キロ; キロメートル'
answer_mismatch,id=7f43efd4-0be2-44a1-8d87-acbf6338acae line=570 answer='キロ' expected='キロ; キロメートル'
answer_mismatch,id=62f2b811-2cf3-4096-84fd-3084f518f42d line=571 answer='台' expected='～台'
answer_mismatch,id=62f2b811-2cf3-4096-84fd-3084f518f42d line=572 answer='台' expected='～台'
answer_mismatch,id=62f2b811-2cf3-4096-84fd-3084f518f42d line=573 answer='台' expected='～台'
answer_mismatch,id=3511c2de-1bac-41c1-84bb-fba4ed3cfd1d line=574 answer='三週間' expected='～週間'
answer_mismatch,id=3511c2de-1bac-41c1-84bb-fba4ed3cfd1d line=575 answer='二週間' expected='～週間'
answer_mismatch,id=3511c2de-1bac-41c1-84bb-fba4ed3cfd1d line=576 answer='四週間' expected='～週間'
answer_mismatch,id=1f31fd11-84e7-425d-8f73-fde64c658435 line=580 answer='二匹' expected='～匹'
answer_mismatch,id=1f31fd11-84e7-425d-8f73-fde64c658435 line=581 answer='三匹' expected='～匹'
